"time","power_consumption.power","target"
"2021-10-26T23:22:21.196+05:00","0.39300775881010447","/firefox"
"2021-10-26T23:22:21.699+05:00","0","/firefox"
"2021-10-26T23:22:22.203+05:00","0","/firefox"
"2021-10-26T23:22:22.706+05:00","0","/firefox"
"2021-10-26T23:22:23.210+05:00","0.024152028036580543","/firefox"
"2021-10-26T23:22:23.714+05:00","0","/firefox"
"2021-10-26T23:22:24.218+05:00","0","/firefox"
"2021-10-26T23:22:24.722+05:00","0","/firefox"
"2021-10-26T23:22:25.727+05:00","0","/firefox"
"2021-10-26T23:22:26.732+05:00","0.09234880864836302","/firefox"
"2021-10-26T23:22:27.235+05:00","0","/firefox"
"2021-10-26T23:22:27.738+05:00","0","/firefox"
"2021-10-26T23:22:28.241+05:00","0","/firefox"
"2021-10-26T23:22:28.743+05:00","0","/firefox"
"2021-10-26T23:22:29.749+05:00","0","/firefox"
"2021-10-26T23:22:30.253+05:00","0.09219151833948623","/firefox"
"2021-10-26T23:22:30.757+05:00","0","/firefox"
"2021-10-26T23:22:31.764+05:00","0","/firefox"
"2021-10-26T23:22:32.268+05:00","0","/firefox"
"2021-10-26T23:22:32.772+05:00","0","/firefox"
"2021-10-26T23:22:33.276+05:00","0","/firefox"
"2021-10-26T23:22:33.780+05:00","0","/firefox"
"2021-10-26T23:22:34.284+05:00","0","/firefox"
"2021-10-26T23:22:34.788+05:00","0","/firefox"
"2021-10-26T23:22:35.291+05:00","0.07681649992184031","/firefox"
"2021-10-26T23:22:35.795+05:00","0","/firefox"
"2021-10-26T23:22:36.299+05:00","0.01368378375048998","/firefox"
"2021-10-26T23:22:37.306+05:00","0","/firefox"
"2021-10-26T23:22:37.809+05:00","0","/firefox"
"2021-10-26T23:22:38.817+05:00","0","/firefox"
"2021-10-26T23:22:39.321+05:00","0","/firefox"
"2021-10-26T23:22:39.822+05:00","0","/firefox"
"2021-10-26T23:22:57.873+05:00","0.59697749229168","/firefox"
"2021-10-26T23:22:59.376+05:00","5.554660819411303","/firefox"
"2021-10-26T23:23:00.379+05:00","28.584895060246865","/firefox"
"2021-10-26T23:23:00.880+05:00","9.039014307023384","/firefox"
"2021-10-26T23:23:01.881+05:00","12.003041737890024","/firefox"
"2021-10-26T23:23:03.385+05:00","4.644237819130012","/firefox"
"2021-10-26T23:23:03.886+05:00","6.168271998490652","/firefox"
"2021-10-26T23:23:04.889+05:00","0.7391956073619532","/firefox"
"2021-10-26T23:23:05.893+05:00","3.6131061859394755","/firefox"
"2021-10-26T23:23:06.395+05:00","1.4815997264271505","/firefox"
"2021-10-26T23:23:06.898+05:00","4.496254047946468","/firefox"
"2021-10-26T23:23:07.401+05:00","2.786033859946171","/firefox"
"2021-10-26T23:23:08.906+05:00","0.8619104190235547","/firefox"
"2021-10-26T23:23:09.408+05:00","0.3562341569991594","/firefox"
"2021-10-26T23:23:09.911+05:00","0.3060720856377409","/firefox"
"2021-10-26T23:23:10.917+05:00","0.7958235718637233","/firefox"
"2021-10-26T23:23:11.419+05:00","0.25599502583194195","/firefox"
"2021-10-26T23:23:11.920+05:00","4.378781133266837","/firefox"
"2021-10-26T23:23:12.925+05:00","5.01197758465664","/firefox"
"2021-10-26T23:23:14.428+05:00","10.623079445736321","/firefox"
"2021-10-26T23:23:14.929+05:00","3.1270602807311776","/firefox"
"2021-10-26T23:23:15.932+05:00","23.249681522183756","/firefox"
"2021-10-26T23:23:16.441+05:00","29.624921332070436","/firefox"
"2021-10-26T23:23:16.943+05:00","32.01240934631113","/firefox"
"2021-10-26T23:23:17.945+05:00","29.08284345655402","/firefox"
"2021-10-26T23:23:18.446+05:00","5.992635334055441","/firefox"
"2021-10-26T23:23:18.947+05:00","6.335588064348005","/firefox"
"2021-10-26T23:23:19.447+05:00","1.6054375895167017","/firefox"
"2021-10-26T23:23:19.950+05:00","0.8320739047126646","/firefox"
"2021-10-26T23:23:20.452+05:00","1.0483224694187778","/firefox"
"2021-10-26T23:23:21.456+05:00","3.4157236356256484","/firefox"
"2021-10-26T23:23:21.958+05:00","3.8373554398949383","/firefox"
"2021-10-26T23:23:22.460+05:00","26.428861229943937","/firefox"
"2021-10-26T23:23:22.962+05:00","3.86360064345085","/firefox"
"2021-10-26T23:23:23.465+05:00","0.33387375816692283","/firefox"
"2021-10-26T23:23:23.967+05:00","0.8002416006458162","/firefox"
"2021-10-26T23:23:24.470+05:00","0.6828772294595836","/firefox"
"2021-10-26T23:23:24.972+05:00","3.0882102685823507","/firefox"
"2021-10-26T23:23:25.474+05:00","0.8058681568983045","/firefox"
