time,power_consumption.power
2021-11-03T21:37:58.599+05:00,0
2021-11-03T21:37:59.103+05:00,0.981249483
2021-11-03T21:37:59.605+05:00,0
2021-11-03T21:38:00.106+05:00,0.510590829
2021-11-03T21:38:00.609+05:00,0
2021-11-03T21:38:01.112+05:00,6.150481468
2021-11-03T21:38:01.614+05:00,0
2021-11-03T21:38:02.117+05:00,1.081802716
2021-11-03T21:38:02.620+05:00,0.054890145
2021-11-03T21:38:03.123+05:00,1.412272625
2021-11-03T21:38:03.626+05:00,0
2021-11-03T21:38:04.129+05:00,0.758576184
2021-11-03T21:38:04.632+05:00,0
2021-11-03T21:38:05.135+05:00,4.258140328
2021-11-03T21:38:05.638+05:00,1.532716652
2021-11-03T21:38:06.141+05:00,3.269565968
2021-11-03T21:38:06.644+05:00,0.164461975
2021-11-03T21:38:07.148+05:00,0.636902673
2021-11-03T21:38:07.653+05:00,0.115053569
2021-11-03T21:38:08.157+05:00,0.272156844
2021-11-03T21:38:08.661+05:00,0
2021-11-03T21:38:09.165+05:00,0.972843901
2021-11-03T21:38:09.668+05:00,0
2021-11-03T21:38:10.170+05:00,0.927277865
2021-11-03T21:38:10.674+05:00,0.070117394
2021-11-03T21:38:11.177+05:00,1.675892377
2021-11-03T21:38:11.681+05:00,0.037863386
2021-11-03T21:38:12.184+05:00,0.100121072
2021-11-03T21:38:12.688+05:00,0.159113657
2021-11-03T21:38:13.192+05:00,0.731548463
2021-11-03T21:38:13.695+05:00,0.844666107
2021-11-03T21:38:14.197+05:00,0.629110218
2021-11-03T21:38:14.700+05:00,1.130933396
2021-11-03T21:38:15.204+05:00,0.464343246
2021-11-03T21:38:15.708+05:00,0.124234143
2021-11-03T21:38:16.212+05:00,2.383674218
2021-11-03T21:38:16.716+05:00,0.036152149
2021-11-03T21:38:17.220+05:00,0.770535597
2021-11-03T21:38:17.724+05:00,0.073714661
2021-11-03T21:38:18.226+05:00,0.252971851
2021-11-03T21:38:18.728+05:00,0.314484109
2021-11-03T21:38:19.230+05:00,11.42112614
2021-11-03T21:38:19.731+05:00,6.89279246
2021-11-03T21:38:20.232+05:00,21.02324866
2021-11-03T21:38:20.733+05:00,13.91237473
2021-11-03T21:38:21.234+05:00,20.12693495
2021-11-03T21:38:21.736+05:00,22.42000613
2021-11-03T21:38:22.237+05:00,20.99523033
2021-11-03T21:38:22.739+05:00,18.74402501
2021-11-03T21:38:23.240+05:00,28.10727945
2021-11-03T21:38:23.742+05:00,8.600008322
2021-11-03T21:38:24.245+05:00,8.349010344
2021-11-03T21:38:24.748+05:00,3.882476261
2021-11-03T21:38:25.252+05:00,2.920516479
2021-11-03T21:38:25.753+05:00,10.36477621
2021-11-03T21:38:26.256+05:00,10.57165016
2021-11-03T21:38:26.757+05:00,29.19114668
2021-11-03T21:38:27.258+05:00,19.04759056
2021-11-03T21:38:27.759+05:00,16.50248634
2021-11-03T21:38:28.263+05:00,6.215810593
2021-11-03T21:38:28.765+05:00,4.244853666
2021-11-03T21:38:29.267+05:00,7.355183033
2021-11-03T21:38:29.768+05:00,4.920239514
2021-11-03T21:38:30.271+05:00,9.204072506
2021-11-03T21:38:30.775+05:00,4.459057917
