time,power_consumption.power,URL,URL Opening Time,Total Time,Number of Readings,Average Time
2021-10-25T22:42:14.268+05:00,2.685090605,gmw.cn,2021-10-25T22:42:14.252+0500,307.3929923,37,8.307918711
2021-10-25T22:42:14.770+05:00,18.06712412,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:15.271+05:00,3.816626618,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:15.773+05:00,3.318025937,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:16.275+05:00,3.343291124,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:16.777+05:00,3.201114666,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:17.278+05:00,3.912972984,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:17.780+05:00,4.478552928,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:18.281+05:00,5.007606164,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:18.783+05:00,4.524193217,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:19.284+05:00,11.22257123,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:19.786+05:00,32.88372153,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:20.287+05:00,4.956625032,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:20.789+05:00,5.019505954,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:21.290+05:00,4.112426836,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:21.791+05:00,5.427317142,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:22.292+05:00,1.714678976,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:22.793+05:00,6.27306002,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:23.294+05:00,2.349571153,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:23.795+05:00,2.395566231,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:24.295+05:00,3.747722931,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:24.797+05:00,4.889682805,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:25.298+05:00,8.707224291,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:25.799+05:00,4.307192476,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:26.300+05:00,6.232178282,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:26.801+05:00,6.016095206,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:27.302+05:00,5.175380956,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:27.803+05:00,9.45882295,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:28.304+05:00,9.057243624,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:28.805+05:00,20.18701263,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:29.306+05:00,35.93934459,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:29.807+05:00,14.81210136,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:30.308+05:00,23.03741137,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:30.809+05:00,15.5079842,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:31.310+05:00,6.120221879,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:31.811+05:00,3.107006046,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:32.312+05:00,2.38072424,gmw.cn,2021-10-25T22:42:14.252+0500,,,-
2021-10-25T22:42:32.813+05:00,4.229124436,shaparak.ir,2021-10-25T22:42:32.701+0500,148.6339215,36,4.12872004
2021-10-25T22:42:33.314+05:00,6.875988316,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:33.815+05:00,6.05733114,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:34.315+05:00,5.7868322,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:34.816+05:00,2.225253731,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:35.317+05:00,4.604566486,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:35.818+05:00,2.066794896,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:36.319+05:00,2.343607211,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:36.821+05:00,2.246045177,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:37.322+05:00,2.217790899,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:37.823+05:00,2.876399543,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:38.324+05:00,2.471863445,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:38.825+05:00,2.483179236,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:39.326+05:00,3.194729095,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:39.827+05:00,3.887730817,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:40.329+05:00,4.532806857,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:40.831+05:00,4.504092126,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:41.332+05:00,4.373636375,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:41.833+05:00,4.732028211,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:42.334+05:00,4.515386756,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:42.836+05:00,3.571141573,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:43.338+05:00,5.497610846,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:43.839+05:00,4.041901662,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:44.341+05:00,4.653607376,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:44.843+05:00,4.806749738,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:45.345+05:00,4.553694572,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:45.847+05:00,4.803164876,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:46.349+05:00,4.625320518,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:46.851+05:00,4.084368583,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:47.353+05:00,3.325475134,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:47.854+05:00,18.37078212,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:48.357+05:00,4.68594942,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:48.860+05:00,1.75991505,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:49.361+05:00,0.713893182,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:49.864+05:00,2.013429154,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:50.367+05:00,0.901730704,shaparak.ir,2021-10-25T22:42:32.701+0500,,,-
2021-10-25T22:42:50.868+05:00,6.286309928,marketwatch.com,2021-10-25T22:42:50.789+0500,611.1517838,44,13.88981327
2021-10-25T22:42:51.369+05:00,14.92040964,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:51.871+05:00,4.811415015,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:52.372+05:00,17.25514566,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:52.873+05:00,15.65646918,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:53.374+05:00,11.88792606,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:53.875+05:00,13.92890629,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:54.376+05:00,22.84754707,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:54.877+05:00,26.5489091,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:55.383+05:00,32.59432749,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:55.884+05:00,33.79241706,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:56.385+05:00,27.3975754,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:56.886+05:00,23.94373945,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:57.387+05:00,12.08968297,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:57.888+05:00,20.17782051,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:58.388+05:00,32.02519047,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:58.890+05:00,24.19793185,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:59.391+05:00,2.286655671,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:42:59.892+05:00,2.523124606,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:00.393+05:00,3.505516286,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:00.894+05:00,5.176894436,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:01.395+05:00,30.68481423,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:01.896+05:00,13.73379442,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:02.397+05:00,16.58423976,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:02.898+05:00,20.38140586,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:03.399+05:00,20.04902494,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:03.900+05:00,14.32911785,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:04.401+05:00,13.997626,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:04.902+05:00,11.81484762,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:05.403+05:00,10.51897947,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:05.904+05:00,9.519468171,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:06.405+05:00,11.49514552,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:06.906+05:00,13.0776645,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:07.406+05:00,11.95708846,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:07.907+05:00,10.90745466,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:08.408+05:00,17.26802183,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:08.911+05:00,4.715498485,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:09.412+05:00,10.47065899,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:09.915+05:00,1.999842975,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:10.417+05:00,0.514540633,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:10.919+05:00,4.770592298,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:11.420+05:00,3.368776375,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:11.921+05:00,2.506668118,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:12.422+05:00,2.632598517,marketwatch.com,2021-10-25T22:42:50.789+0500,,,-
2021-10-25T22:43:12.923+05:00,3.223804197,docusign.net,2021-10-25T22:43:12.433+0500,251.2147135,36,6.978186487
2021-10-25T22:43:13.424+05:00,4.362357392,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:13.925+05:00,6.1637285,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:14.426+05:00,4.715759115,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:14.927+05:00,5.00440306,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:15.428+05:00,4.247555005,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:15.929+05:00,2.676437628,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:16.433+05:00,9.539389512,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:16.934+05:00,6.131722895,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:17.435+05:00,11.72955228,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:17.936+05:00,7.295169464,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:18.437+05:00,7.337092452,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:18.938+05:00,1.683014949,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:19.439+05:00,7.358998984,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:19.941+05:00,4.824077385,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:20.442+05:00,21.13544639,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:20.943+05:00,16.66168284,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:21.445+05:00,5.111255487,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:21.947+05:00,4.805874616,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:22.449+05:00,4.147745839,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:22.951+05:00,3.388649599,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:23.452+05:00,3.518898828,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:23.953+05:00,9.590928024,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:24.454+05:00,19.03328321,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:24.956+05:00,8.902498239,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:25.457+05:00,16.22924104,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:25.958+05:00,15.2738847,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:26.459+05:00,8.047152075,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:26.959+05:00,2.996199087,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:27.460+05:00,7.19933547,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:27.961+05:00,10.42255981,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:28.462+05:00,1.073186489,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:28.963+05:00,0.5141677,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:29.464+05:00,2.411563988,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:29.965+05:00,1.64394154,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:30.466+05:00,2.814155753,docusign.net,2021-10-25T22:43:12.433+0500,,,-
2021-10-25T22:43:30.967+05:00,16.80788675,zendesk.com,2021-10-25T22:43:30.487+0500,483.4014025,36,13.42781674
2021-10-25T22:43:31.468+05:00,6.723055509,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
2021-10-25T22:43:31.970+05:00,5.340323423,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
2021-10-25T22:43:32.471+05:00,11.39235827,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
2021-10-25T22:43:32.972+05:00,19.08956741,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
2021-10-25T22:43:33.473+05:00,16.42150705,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
2021-10-25T22:43:33.974+05:00,19.69313279,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
2021-10-25T22:43:34.475+05:00,33.28153981,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
2021-10-25T22:43:34.976+05:00,27.57097866,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
2021-10-25T22:43:35.477+05:00,20.66693228,zendesk.com,2021-10-25T22:43:30.487+0500,,,-
