time,power_consumption.power,URL,test start time,Sum,Count,Avg
2021-10-25T06:02:27.751+05:00,0.365307647,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:28.253+05:00,0.441814161,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:28.756+05:00,0.357392688,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:29.258+05:00,1.809534569,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:30.263+05:00,2.480198285,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:30.766+05:00,0.474540122,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:31.268+05:00,0.594857001,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:31.770+05:00,2.656122132,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:32.272+05:00,0.516056163,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:32.773+05:00,12.65296248,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:33.276+05:00,3.429881746,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:33.779+05:00,1.592327258,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:34.281+05:00,1.095018548,bestbuy.com,2021-10-25T06:02:12.624+0500,,,
2021-10-25T06:02:35.785+05:00,25.78775449,researchgate.net,2021-10-25T06:02:34.711+0500,104.4498742,37,2.822969572
2021-10-25T06:02:36.286+05:00,24.09873975,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:37.297+05:00,10.62331458,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:37.800+05:00,5.678233019,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:38.302+05:00,3.194092566,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:38.805+05:00,1.262639747,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:39.809+05:00,0.676677673,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:40.312+05:00,0.309424284,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:40.815+05:00,0.223579955,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:41.317+05:00,0.515510964,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:41.818+05:00,0.174226171,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:42.321+05:00,0.164967185,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:42.824+05:00,1.327803616,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:43.325+05:00,0.459232641,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:43.827+05:00,0.377131307,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:44.330+05:00,0.454794185,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:44.832+05:00,0.103951719,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:45.335+05:00,0.338645791,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:45.837+05:00,0.12926418,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:46.339+05:00,0.597443676,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:46.842+05:00,0.155537772,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:47.345+05:00,0.189601945,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:47.848+05:00,0.154990921,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:48.351+05:00,0.448457894,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:48.854+05:00,0.079345612,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:49.356+05:00,0.320858973,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:49.859+05:00,0.072480416,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:50.864+05:00,0.196756248,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:51.367+05:00,0.323652754,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:51.870+05:00,2.815186824,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:52.372+05:00,0.954182963,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:52.873+05:00,0.10435872,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:53.874+05:00,0.704980375,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:54.376+05:00,0.334477664,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:54.877+05:00,17.24522439,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:55.880+05:00,2.727375919,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:56.383+05:00,1.124977271,researchgate.net,2021-10-25T06:02:34.711+0500,,,
2021-10-25T06:02:57.385+05:00,16.15323945,uol.com.br,2021-10-25T06:02:56.778+0500,457.7541899,36,12.71539417
2021-10-25T06:02:57.886+05:00,8.936650857,uol.com.br,2021-10-25T06:02:56.778+0500,,,
2021-10-25T06:02:58.388+05:00,8.828990747,uol.com.br,2021-10-25T06:02:56.778+0500,,,
2021-10-25T06:02:58.889+05:00,4.108209358,uol.com.br,2021-10-25T06:02:56.778+0500,,,
2021-10-25T06:02:59.390+05:00,16.8888784,uol.com.br,2021-10-25T06:02:56.778+0500,,,
2021-10-25T06:02:59.891+05:00,20.558161,uol.com.br,2021-10-25T06:02:56.778+0500,,,
2021-10-25T06:03:00.893+05:00,39.2387912,uol.com.br,2021-10-25T06:02:56.778+0500,,,
