timestamp,url,URL,TIME,ERROR,Final
2021-12-23T13:22:48.350+05:00,LOADTIME,google.com,1.559,,1.559
2021-12-23T13:22:54.556+05:00,LOADTIME,youtube.com,2.04,,2.04
2021-12-23T13:23:13.394+05:00,LOADTIME,tmall.com,14.806,,14.806
2021-12-23T13:23:23.093+05:00,TIMEOUT,qq.com,5.666,ERR_CONNECTION_RESET,ERR_CONNECTION_RESET
2021-12-23T13:23:34.666+05:00,LOADTIME,baidu.com,7.523,,7.523
2021-12-23T13:24:24.763+05:00,LOADTIME,sohu.com,46.072,,46.072
2021-12-23T13:24:30.584+05:00,LOADTIME,facebook.com,1.762,,1.762
2021-12-23T13:24:42.262+05:00,LOADTIME,taobao.com,7.64,,7.64
2021-12-23T13:24:55.803+05:00,LOADTIME,360.cn,9.505,,9.505
2021-12-23T13:25:08.259+05:00,LOADTIME,jd.com,8.433,,8.433
2021-12-23T13:25:23.473+05:00,LOADTIME,yahoo.com,9.868,,9.868
2021-12-23T13:25:31.692+05:00,LOADTIME,amazon.com,4.095,,4.095
2021-12-23T13:25:40.482+05:00,LOADTIME,zoom.us,4.761,,4.761
2021-12-23T13:25:49.254+05:00,LOADTIME,wikipedia.org,4.722,,4.722
2021-12-23T13:26:05.974+05:00,LOADTIME,weibo.com,12.704,,12.704
2021-12-23T13:26:45.607+05:00,LOADTIME,sina.com.cn,35.596,,35.596
2021-12-23T13:26:54.859+05:00,LOADTIME,live.com,5.197,,5.197
2021-12-23T13:27:04.823+05:00,LOADTIME,microsoft.com,5.943,,5.943
2021-12-23T13:27:13.882+05:00,LOADTIME,reddit.com,5.023,,5.023
2021-12-23T13:27:20.626+05:00,LOADTIME,office.com,2.702,,2.702
2021-12-23T13:27:29.758+05:00,LOADTIME,netflix.com,5.111,,5.111
2021-12-23T13:27:57.100+05:00,LOADTIME,zhanqi.tv,23.31,,23.31
2021-12-23T13:28:02.541+05:00,LOADTIME,panda.tv,1.413,,1.413
2021-12-23T13:28:09.994+05:00,LOADTIME,instagram.com,3.431,,3.431
2021-12-23T13:28:20.559+05:00,LOADTIME,force.com,6.524,,6.524
2021-12-23T13:28:41.231+05:00,LOADTIME,csdn.net,16.526,,16.526
2021-12-23T13:28:45.968+05:00,LOADTIME,bing.com,0.703,,0.703
2021-12-23T13:28:51.251+05:00,LOADTIME,myshopify.com,1.252,,1.252
2021-12-23T13:28:59.378+05:00,LOADTIME,vk.com,4.11,,4.11
2021-12-23T13:29:05.153+05:00,LOADTIME,google.com.hk,1.743,,1.743
2021-12-23T13:29:15.633+05:00,LOADTIME,yahoo.co.jp,6.463,,6.463
2021-12-23T13:29:28.010+05:00,LOADTIME,naver.com,8.321,,8.321
2021-12-23T13:29:32.449+05:00,TIMEOUT,bongacams.com,0.416,ERR_CONNECTION_RESET,ERR_CONNECTION_RESET
2021-12-23T13:29:44.410+05:00,LOADTIME,okezone.com,7.922,,7.922
2021-12-23T13:29:53.288+05:00,LOADTIME,adobe.com,4.803,,4.803
2021-12-23T13:30:08.700+05:00,LOADTIME,salesforce.com,11.316,,11.316
2021-12-23T13:30:14.062+05:00,LOADTIME,twitter.com,1.312,,1.312
2021-12-23T13:30:22.451+05:00,LOADTIME,ebay.com,4.355,,4.355
2021-12-23T13:31:26.903+05:00,TIMEOUT,huanqiu.com,60.022,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T13:31:33.557+05:00,LOADTIME,apple.com,2.632,,2.632
2021-12-23T13:31:40.815+05:00,LOADTIME,twitch.tv,3.235,,3.235
2021-12-23T13:31:54.828+05:00,LOADTIME,yy.com,9.971,,9.971
2021-12-23T13:32:58.875+05:00,TIMEOUT,tianya.cn,60.018,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T13:33:06.634+05:00,LOADTIME,amazon.in,3.737,,3.737
2021-12-23T13:33:14.563+05:00,LOADTIME,amazon.co.jp,3.886,,3.886
2021-12-23T13:33:20.115+05:00,LOADTIME,linkedin.com,1.52,,1.52
2021-12-23T13:33:30.625+05:00,LOADTIME,aliexpress.com,6.484,,6.484
2021-12-23T13:33:42.526+05:00,LOADTIME,slack.com,7.867,,7.867
2021-12-23T13:33:46.972+05:00,TIMEOUT,chaturbate.com,0.402,ERR_CONNECTION_RESET,ERR_CONNECTION_RESET
2021-12-23T13:33:52.120+05:00,TIMEOUT,yandex.ru,1.108,ERR_SSL_PROTOCOL_ERROR,ERR_SSL_PROTOCOL_ERROR
2021-12-23T13:34:32.368+05:00,LOADTIME,aparat.com,36.207,,36.207
2021-12-23T13:34:45.349+05:00,LOADTIME,mail.ru,8.961,,8.961
2021-12-23T13:34:53.848+05:00,LOADTIME,dropbox.com,4.46,,4.46
2021-12-23T13:35:16.567+05:00,LOADTIME,1688.com,18.69,,18.69
2021-12-23T13:35:36.620+05:00,LOADTIME,haosou.com,16.009,,16.009
2021-12-23T13:35:42.884+05:00,LOADTIME,msn.com,2.248,,2.248
2021-12-23T13:35:51.363+05:00,LOADTIME,indeed.com,4.441,,4.441
2021-12-23T13:35:57.966+05:00,LOADTIME,whatsapp.com,2.583,,2.583
2021-12-23T13:36:07.479+05:00,LOADTIME,wordpress.com,5.484,,5.484
2021-12-23T13:36:13.298+05:00,LOADTIME,google.co.in,1.789,,1.789
2021-12-23T13:36:26.803+05:00,LOADTIME,okta.com,9.479,,9.479
2021-12-23T13:36:34.568+05:00,LOADTIME,tradingview.com,3.707,,3.707
2021-12-23T13:36:43.865+05:00,LOADTIME,ok.ru,5.272,,5.272
2021-12-23T13:37:31.308+05:00,LOADTIME,babytree.com,43.417,,43.417
2021-12-23T13:37:36.742+05:00,LOADTIME,google.com.br,1.409,,1.409
2021-12-23T13:37:53.561+05:00,LOADTIME,rakuten.co.jp,12.797,,12.797
2021-12-23T13:38:09.353+05:00,LOADTIME,chase.com,11.725,,11.725
2021-12-23T13:38:21.114+05:00,LOADTIME,alibaba.com,7.704,,7.704
2021-12-23T13:38:30.373+05:00,LOADTIME,kompas.com,5.21,,5.21
2021-12-23T13:38:40.029+05:00,LOADTIME,tiktok.com,5.526,,5.526
2021-12-23T13:38:46.802+05:00,LOADTIME,canva.com,2.743,,2.743
2021-12-23T13:38:55.573+05:00,LOADTIME,tribunnews.com,4.745,,4.745
2021-12-23T13:39:04.684+05:00,LOADTIME,imdb.com,4.927,,4.927
2021-12-23T13:39:14.634+05:00,LOADTIME,etsy.com,5.081,,5.081
2021-12-23T13:39:38.717+05:00,LOADTIME,so.com,20.042,,20.042
2021-12-23T13:39:53.432+05:00,LOADTIME,freepik.com,10.695,,10.695
2021-12-23T13:39:59.123+05:00,LOADTIME,google.co.jp,1.655,,1.655
2021-12-23T13:40:04.219+05:00,LOADTIME,google.cn,1.072,,1.072
2021-12-23T13:40:16.441+05:00,LOADTIME,gome.com.cn,8.198,,8.198
2021-12-23T13:40:25.692+05:00,LOADTIME,medium.com,5.232,,5.232
2021-12-23T13:40:35.161+05:00,LOADTIME,spotify.com,5.445,,5.445
2021-12-23T13:40:40.722+05:00,LOADTIME,google.de,1.531,,1.531
2021-12-23T13:40:51.431+05:00,LOADTIME,cnblogs.com,6.692,,6.692
2021-12-23T13:41:02.093+05:00,LOADTIME,6.cn,6.601,,6.601
2021-12-23T13:41:08.705+05:00,LOADTIME,fandom.com,2.579,,2.579
2021-12-23T13:41:15.754+05:00,LOADTIME,booking.com,3.001,,3.001
2021-12-23T13:41:21.246+05:00,LOADTIME,ilovepdf.com,1.442,,1.442
2021-12-23T13:41:27.072+05:00,LOADTIME,google.fr,1.806,,1.806
2021-12-23T13:41:39.755+05:00,LOADTIME,aliyun.com,8.656,,8.656
2021-12-23T13:41:45.821+05:00,LOADTIME,udemy.com,2.021,,2.021
2021-12-23T13:41:53.442+05:00,LOADTIME,paypal.com,3.589,,3.589
2021-12-23T13:41:59.237+05:00,LOADTIME,github.com,1.766,,1.766
2021-12-23T13:42:06.949+05:00,LOADTIME,wetransfer.com,3.143,,3.143
2021-12-23T13:42:13.881+05:00,LOADTIME,zillow.com,2.908,,2.908
2021-12-23T13:42:21.744+05:00,LOADTIME,amazon.co.uk,3.813,,3.813
2021-12-23T13:42:44.604+05:00,LOADTIME,imgur.com,18.825,,18.825
