time,power_consumption.power,URL,Test Start Time,Sum of All Sensor Readings,Count of Sensor Readings Taken,Average of Sensor Readings
2021-11-03T18:51:18.504+05:00,1.470110674,chinanetrank.com,2021-11-03T18:51:18.502+0500,108.5578074,33,3.289630528
2021-11-03T18:51:19.005+05:00,20.39341319,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:19.506+05:00,1.561752148,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:20.007+05:00,5.185028344,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:20.508+05:00,3.585464204,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:21.009+05:00,5.254592828,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:21.510+05:00,12.6464534,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:22.011+05:00,12.40902546,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:22.514+05:00,19.00772869,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:23.017+05:00,3.385556648,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:23.519+05:00,2.077782581,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:24.536+05:00,0.333818292,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:25.038+05:00,1.593583302,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:25.540+05:00,0.385684417,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:26.043+05:00,0.320554343,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:26.545+05:00,0.293152775,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:27.048+05:00,0.486767603,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:27.551+05:00,0.640567224,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:28.054+05:00,0.841270453,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:28.555+05:00,0.451345727,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:29.057+05:00,0.386855234,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:29.559+05:00,1.1636382,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:30.562+05:00,2.305866241,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:31.566+05:00,1.371502783,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:32.069+05:00,1.684858523,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:32.572+05:00,0.344427503,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:33.074+05:00,0.365886038,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:33.576+05:00,0.591262069,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:34.580+05:00,1.54138845,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:35.083+05:00,3.877144242,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:35.586+05:00,0.476435786,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:36.088+05:00,1.717774869,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:36.589+05:00,0.407115174,chinanetrank.com,2021-11-03T18:51:18.502+0500,,,-
2021-11-03T18:51:37.091+05:00,15.89628131,genius.com,2021-11-03T18:51:36.623+0500,250.4089217,31,8.077707152
2021-11-03T18:51:38.093+05:00,15.84895364,genius.com,2021-11-03T18:51:36.623+0500,,,-
2021-11-03T18:51:38.594+05:00,12.8059714,genius.com,2021-11-03T18:51:36.623+0500,,,-
2021-11-03T18:51:39.095+05:00,18.72058605,genius.com,2021-11-03T18:51:36.623+0500,,,-
2021-11-03T18:51:39.597+05:00,16.79759028,genius.com,2021-11-03T18:51:36.623+0500,,,-
2021-11-03T18:51:40.600+05:00,8.684144841,genius.com,2021-11-03T18:51:36.623+0500,,,-
2021-11-03T18:51:41.605+05:00,4.386512865,genius.com,2021-11-03T18:51:36.623+0500,,,-
2021-11-03T18:51:42.106+05:00,20.71185113,genius.com,2021-11-03T18:51:36.623+0500,,,-
2021-11-03T18:51:42.607+05:00,8.05342299,genius.com,2021-11-03T18:51:36.623+0500,,,-
2021-11-03T18:51:43.610+05:00,18.28282909,genius.com,2021-11-03T18:51:36.623+0500,,,-
