"minify_total","score_keep-alive","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","cpu.EventDispatch","bytesOutDoc","result","docTime","score_compress","image_savings","cpu.ParseHTML","requestsDoc","score_cookies","score_cdn","cpu.Idle","optimization_checked","score_minify","gzip_total","responses_404","loadTime","URL","score_combine","score_etags","cpu.PlatformResourceSendRequest","image_total","responses_200","minify_savings","score_progressive_jpeg","base_page_cdn","score_gzip","bytesInDoc","cached","score_cache","responses_other","cpu.ResourceSendRequest","fullyLoaded","requests","cpu.CommitLoad","bytesIn","browserVersion","fullyLoadedCPUms","browser_name","base_page_cname","eventName","browser_version","base_page_dns_server","date","fullyLoadedCPUpct","base_page_ip_ptr","test_run_time_ms","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","render","lastVisualChange","chromeUserTiming.fetchStart","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.responseEnd","chromeUserTiming.domLoading","run","step","TTFB","domTime","aft","titleTime","loadEventStart","loadEventEnd","domContentLoadedEventStart","domContentLoadedEventEnd","domLoading","domInteractive","server_rtt","firstPaint","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id",
"-1","-1","0","386","0","1","0","3","0","0","404","0","-1","0","0","0","-1","-1","268","1","-1","0","1","268","http://myshopify.com","-1","-1","0","0","0","-1","-1","","-1","0","0","-1","0","0","268","1","0","0","68.0.3440.75","570","Chrome","","Step_1","68.0.3440.75","","1633964010.948","1.7500767578","","1593","0","0","0","0","0","0","0","0","2","267","267","268","271","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211011_TH_2J",
"-1","-1","0","386","0","2","0","2","0","0","404","0","-1","0","1","0","-1","-1","273","1","-1","0","1","274","http://myshopify.com","-1","-1","0","0","0","-1","-1","","-1","0","0","-1","1","0","274","2","0","0","68.0.3440.75","830","Chrome","","Step_1","68.0.3440.75","","1633964019.0273","2.444771723","","1868","0","0","0","0","0","0","0","0","1","228","228","227","231","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211011_TH_2J",
"-1","-1","0","386","0","1","0","2","0","0","404","0","-1","0","0","0","-1","-1","237","1","-1","0","1","237","http://myshopify.com","-1","-1","0","0","0","-1","-1","","-1","0","0","-1","0","0","237","1","0","0","68.0.3440.75","490","Chrome","","Step_1","68.0.3440.75","","1633964027.3531","1.5193798456","","1367","0","0","0","0","0","0","0","0","2","235","235","237","239","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211011_TH_2J",
