"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","score_cookies","basePageSSLTime","docTime","domContentLoadedEventEnd","image_savings","cpu.ParseHTML","requestsDoc","cpu.v8.compile","cpu.CommitLoad","firstMeaningfulPaint","cpu.FunctionCall","firstTextPaint","firstPaint","cpu.ParseAuthorStyleSheet","score_cdn","cpu.Idle","optimization_checked","image_total","score_minify","gzip_total","responses_404","cpu.Layout","loadTime","URL","score_combine","firstContentfulPaint","cpu.PlatformResourceSendRequest","firstLayout","score_etags","loadEventStart","cpu.EvaluateScript","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.ResourceChangePriority","bytesInDoc","firstImagePaint","score_keep-alive","loadEventEnd","cached","score_cache","responses_other","cpu.UpdateLayerTree","cpu.ResourceSendRequest","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","fullyLoadedCPUms","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","eventName","base_page_cname","document_URL","date","PerformancePaintTiming.first-paint","domElements","browserVersion","document_origin","browser_name","fullyLoadedCPUpct","domComplete","document_hostname","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","TTIMeasurementEnd","LastInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id",
"-1","17","0","21983","6468","44","0","21","","7","5116","0","82E46FA06EFF6417500FA402C978DF3D-4","-1","150","2557","2556","0","4","12","1","0","2391","4","2391","2390.6999994069","3","68","4374","1","65550","-1","113911","0","11","2557","http://yahoo.com","-1","2391","2","2380","-1","2557","3","-1","0","2437","95","0","100","2553","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","0","114491","2391","100","2557","0","43","27","1","0","E3A94F903DF988E5CDC602FB3CD94938","4415","44","4","2099","6","128421","9640","68.0.3440.75","ns4.yahoo.com","1479","2390.6999994069","ec2-54-75-180-192.eu-west-1.compute.amazonaws.com","Step_1","real.rotation.guce.aws.oath.cloud","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","1633962758.216","2390.6999994069","60","68.0.3440.75","https://consent.yahoo.com","Chrome","2.154294032","2557","consent.yahoo.com","2500","2500","2400","2409","2400","2400","2500","2500","1","1692","1692","2101","2102","2102","2105","2380","2390","2390","2390","2390","2390","2390","2436","2552","2556","2556","2556","2556","4416","2556","1","1","55449","249980","0","0","0","0","0","5","0","0","8640","4","37316","15772","2","57779","23988","1","142010","72863","14","82755","0","0","0","0","0","0","0","0","0","7158","23","3731","211011_ZZ_1Z",
"-1","17","0","21975","6468","44","0","20","","7","5116","0","AF06685F4830CA3F3C71FD053339AE79-4","-1","154","2368","2263","0","6","12","1","0","2216","4","2216","2216.2999995053","4","68","3805","1","65550","-1","113916","0","15","2368","http://yahoo.com","-1","2216","2","2203","-1","2368","4","-1","0","2252","95","1","100","2260","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_404e666d-46d2-4465-8393-63ae0f4dd06e","0","114485","2216","100","2368","0","43","27","1","0","40499F8A672A07C5DC26FEE5632BA3F8","3855","44","4","1945","7","128293","8299","68.0.3440.75","ns1.yahoo.com","1400","2216.2999995053","ec2-54-75-180-192.eu-west-1.compute.amazonaws.com","Step_1","real.rotation.guce.aws.oath.cloud","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_404e666d-46d2-4465-8393-63ae0f4dd06e","1633962774.8073","2216.2999995053","60","68.0.3440.75","https://consent.yahoo.com","Chrome","2.1341463414","2368","consent.yahoo.com","2400","2400","2200","2218","2200","2200","2400","2400","2","1609","1609","1948","1949","1949","1952","2203","2216","2216","2216","2216","2216","2216","2251","2259","2263","2368","2368","2368","3856","2263","2","1","67169","270650","0","0","0","0","0","5","0","0","8645","4","37316","15770","2","57779","23988","1","142010","72852","14","82755","0","0","0","0","0","0","0","0","0","7038","23","3731","211011_ZZ_1Z",
"-1","17","0","21983","6468","44","0","21","","6","5116","0","9DC7403C38CD3DC7C3498FFFC2D99F49-4","-1","153","2384","2279","0","5","12","1","0","2222","4","2222","2222.199998796","3","68","4824","1","65550","-1","113911","0","11","2384","http://yahoo.com","-1","2222","2","2211","-1","2383","3","-1","0","2266","95","1","100","2275","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_382412ce-ed28-49f3-b8e3-8ac63f25f8fa","0","114490","2222","100","2383","0","43","27","1","0","933205DB57FD9AAC9D2C1779B0E09385","4866","44","4","1955","5","128439","9410","68.0.3440.75","ns1.yahoo.com","1569","2222.199998796","ec2-54-75-180-192.eu-west-1.compute.amazonaws.com","Step_1","real.rotation.guce.aws.oath.cloud","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_382412ce-ed28-49f3-b8e3-8ac63f25f8fa","1633962789.8928","2222.199998796","60","68.0.3440.75","https://consent.yahoo.com","Chrome","2.1826776032","2383","consent.yahoo.com","2400","2400","2300","2309","2300","2300","2400","2400","1","1618","1618","1957","1958","1958","1961","2210","2222","2222","2222","2222","2222","2222","2266","2275","2278","2383","2383","2383","4866","2279","3","1","44121","266876","0","0","0","0","0","5","0","0","8640","4","37316","15779","2","57779","23988","1","142010","72855","14","82755","0","0","0","0","0","0","0","0","0","7177","23","3731","211011_ZZ_1Z",
