"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","score_cookies","docTime","domContentLoadedEventEnd","image_savings","cpu.XHRReadyStateChange","requestsDoc","cpu.v8.compile","cpu.CommitLoad","firstMeaningfulPaint","cpu.FunctionCall","firstTextPaint","firstPaint","cpu.ParseAuthorStyleSheet","score_cdn","cpu.Idle","cpu.ParseHTML","cpu.TimerFire","optimization_checked","image_total","score_minify","gzip_total","responses_404","cpu.ResourceSendRequest","cpu.Layout","loadTime","URL","score_combine","firstContentfulPaint","cpu.PlatformResourceSendRequest","firstLayout","score_etags","loadEventStart","cpu.EvaluateScript","cpu.XHRLoad","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.ResourceChangePriority","cpu.MinorGC","bytesInDoc","firstImagePaint","score_keep-alive","loadEventEnd","cached","score_cache","cpu.FireIdleCallback","responses_other","cpu.UpdateLayerTree","cpu.FireAnimationFrame","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","fullyLoadedCPUms","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","eventName","base_page_cname","document_URL","date","PerformancePaintTiming.first-paint","domElements","browserVersion","document_origin","browser_name","fullyLoadedCPUpct","domComplete","document_hostname","userTime.HeadEnd","userTime.HeaderAreaBegin","userTime.frame","userTime.HeaderAreaEnd","userTime.MainAreaBegin","userTime.MainAreaEnd","userTime.FooterAreaBegin","userTime.FooterAreaEnd","userTimingMeasure.HtmlDuration","userTimingMeasure.HeadDuration","userTimingMeasure.BodyDuration","userTimingMeasure.HeaderAreaDuration","userTimingMeasure.MainAreaDuration","userTimingMeasure.FooterAreaDuration","userTimingMeasure.PostFooterDuration","userTime","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.fetchStart","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.responseEnd","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","FirstInteractive","TTIMeasurementEnd","LastInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","chromeUserTiming.InteractiveTime","TimeToInteractive",
"-1","39","0","21518","16616","41","0","11","Akamai","31","14620","0","DDCE374CB9CE9E177BBFD099A22A0F8D-2","-1","1945","1566","0","0","28","29","0","1520","179","1475","1475.2999991179","14","92","3606","20","8","1","326297","-1","410483","0","0","59","1945","http://microsoft.com","-1","1475","2","1473","-1","1945","41","0","-1","-1","1558","96","18","100","1565","https://www.microsoft.com/cs-cz/","0","7","503335","1520","100","1953","0","63","2","2","12","27","5BE1BE4ABB4507EB8CF421305F33D78A","4128","41","2","752","72","848155","8634","68.0.3440.75","ns1-205.azure-dns.com","2280","1475.2999991179","a2-23-9-218.deploy.static.akamaitechnologies.com","Step_1","www.microsoft.com-c-3.edgekey.net","https://www.microsoft.com/cs-cz/","1633963373.6704","1475.2999991179","632","68.0.3440.75","https://www.microsoft.com","Chrome","3.4055265123","1945","www.microsoft.com","1446","1446","6815","1475","1476","1515","1515","1557","806","694","112","29","39","42","1","6815","2000","2000","1600","1644","1600","1800","2000","2000","1","619","619","755","755","757","813","1472","1475","1475","1475","1520","1520","1520","1557","1565","1565","1944","1944","1952","1566","6131","1566","1","1","251230","421906","0","0","0","0","0","14","2","0","45138","3","185069","298957","10","1126412","56118","2","483084","334181","18","328514","0","0","0","94573","3","93372","0","0","0","1457","4","306","211011_V7_27","","",
"-1","37","0","19992","16616","39","0","10","Akamai","27","15578","0","8664E0FADEDC22EBA6772215C5832A11-2","-1","1991","1478","0","0","30","18","0","1435","145","1390","1390.1000004262","15","97","3158","18","6","1","326297","-1","410269","0","0","60","1991","http://microsoft.com","-1","1390","2","1388","-1","1990","55","","-1","-1","1451","96","17","100","1476","https://www.microsoft.com/cs-cz/","0","7","517410","1435","100","1994","0","67","3","2","11","23","7B081C681642846214C548DB6B1547C8","3637","39","2","714","72","847210","10014","68.0.3440.75","ns4-205.azure-dns.info","2390","1390.1000004262","a2-23-9-218.deploy.static.akamaitechnologies.com","Step_1","www.microsoft.com-c-3.edgekey.net","https://www.microsoft.com/cs-cz/","1633963389.1885","1390.1000004262","632","68.0.3440.75","https://www.microsoft.com","Chrome","3.2744211539","1990","www.microsoft.com","1348","1349","7899","1389","1389","1429","1430","1450","738","635","103","41","40","21","1","7899","2000","2000","1400","1496","1500","1800","2000","2000","1","553","553","717","717","721","774","1388","1390","1390","1390","1434","1434","1434","1451","1476","1478","1990","1990","1994","1478","7148","1478","2","1","289842","405176","0","0","0","0","0","14","2","0","45806","3","185738","298663","10","1126412","56118","2","483084","334267","18","328514","0","0","0","94625","3","93372","0","0","0","0","2","0","211011_V7_27","1478","1478",
"-1","39","0","21471","16616","41","0","11","Akamai","26","15591","0","6767AFAF3D49DCC60AA0DB93F993824D-2","-1","1807","1355","0","0","30","18","0","1291","166","1246","1245.6000000238","21","92","7339","23","16","1","326297","-1","410482","0","0","65","1807","http://microsoft.com","-1","1246","2","1243","-1","1807","53","0","-1","-1","1309","96","17","100","1354","https://www.microsoft.com/cs-cz/","0","7","517618","1291","100","1811","0","63","3","2","17","40","D06309011BB035B5D971579E226B53A0","7886","41","2","687","74","848285","12762","68.0.3440.75","ns4-205.azure-dns.info","3110","1245.6000000238","a2-23-9-218.deploy.static.akamaitechnologies.com","Step_1","www.microsoft.com-c-3.edgekey.net","https://www.microsoft.com/cs-cz/","1633963406.1777","1245.6000000238","632","68.0.3440.75","https://www.microsoft.com","Chrome","3.4822528277","1806","www.microsoft.com","1201","1201","10834","1245","1245","1286","1288","1309","622","514","108","44","41","21","0","10834","8600","7900","1300","1807","1500","1900","1900","7900","1","560","560","690","690","693","748","1243","1245","1245","1245","1291","1291","1291","1309","1354","1355","1806","1806","1811","1355","9899","1355","3","1","117833","462158","0","0","0","0","0","14","2","0","45141","3","185069","298947","10","1126412","56118","2","483084","334267","18","328514","0","0","0","94624","3","93372","0","0","0","1457","4","306","211011_V7_27","1355","1355",
