"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","bytesOutDoc","result","final_base_page_request_id","score_cookies","basePageSSLTime","docTime","domContentLoadedEventEnd","image_savings","requestsDoc","firstMeaningfulPaint","firstTextPaint","firstPaint","score_cdn","optimization_checked","image_total","score_minify","gzip_total","responses_404","loadTime","URL","score_combine","firstContentfulPaint","firstLayout","score_etags","loadEventStart","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","score_compress","domContentLoadedEventStart","final_url","bytesInDoc","firstImagePaint","score_keep-alive","loadEventEnd","cached","score_cache","responses_other","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","fullyLoadedCPUms","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","eventName","base_page_cname","document_URL","date","PerformancePaintTiming.first-paint","domElements","browserVersion","document_origin","browser_name","fullyLoadedCPUpct","domComplete","document_hostname","CSI.s","CSI.t","CSI.atyp","CSI.ei","CSI.rt","CSI.imn","CSI.ima","CSI.imad","CSI.aftp","CSI.bl","CSI.wsrt","CSI.aft","CSI.prt","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","render","lastVisualChange","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.fetchStart","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.responseEnd","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id",
"-1","24","0","14568","0","29","0","9","Google","11125","0","6A86BD5E9C2EBC85BAEC5B521E886F41-2","-1","63","1729","692","0","23","700","655","654.2999986559","100","1","15000","-1","320446","0","1729","http://google.com","-1","655","650","-1","1729","-1","-1","691","100","100","691","https://www.google.com/?gws_rd=ssl","400709","700","100","1729","0","83","5","62F60C531E89A0ACDAAE7F927DCE4A94","2029","29","2","583","406860","6358","68.0.3440.75","ns4.google.com","3200","654.2999986559","prg03s01-in-f4.1e100.net","Step_1","","https://www.google.com/?gws_rd=ssl","1633960380.7744","654.2999986559","328","68.0.3440.75","https://www.google.com","Chrome","5.9007929189","1728","www.google.com","webhp","aft","csi","vUFkYZffF9aSxc8PpOiymA4","wsrt.583,aft.208,prt.100","8","6","0","702","iMdx","583","208","100","795","800","800","800","900","1800","700","1800","2","336","336","586","586","589","649","654","654","654","700","678","690","691","691","700","700","1728","1728","1728","1","1","281369","349658","0","0","0","0","0","7","0","0","68578","7","205917","252470","6","717842","904","1","296","16282","6","15000","0","0","0","65455","4","64436","0","0","0","1542","4","393","211011_55_X",
"-1","24","0","14566","0","29","0","9","Google","11125","0","BEDFD896743761B2B12F918BFF7B73B0-2","-1","59","1597","571","0","23","565","524","523.9000003785","100","1","15000","-1","320230","0","1597","http://google.com","-1","524","520","-1","1597","-1","-1","570","100","100","570","https://www.google.com/?gws_rd=ssl","400484","543","100","1597","0","83","5","2F4365FEE508B213BD241A8D4339957F","1904","29","2","454","406756","5920","68.0.3440.75","ns4.google.com","2030","523.9000003785","prg03s01-in-f4.1e100.net","Step_1","","https://www.google.com/?gws_rd=ssl","1633960393.7187","523.9000003785","328","68.0.3440.75","https://www.google.com","Chrome","3.7125091448","1597","www.google.com","webhp","aft","csi","ykFkYcy3EbeWxc8P_4ysyAI","wsrt.454,aft.218,prt.107","8","6","0","702","iMdx","454","218","107","605","600","600","600","700","1400","500","1400","2","240","240","458","458","461","520","523","524","524","565","549","570","570","570","542","565","1596","1597","1597","2","1","280521","350379","0","0","0","0","0","7","0","0","68380","7","205870","252465","6","717842","588","1","296","16576","6","15000","0","0","0","65455","4","64436","0","0","0","1663","4","393","211011_55_X",
"-1","24","0","14568","0","29","0","9","Google","11125","0","6ED6C8B2B4CB8EF5A6E4FBFC1434BCF3-2","-1","61","1624","559","0","23","532","512","512.0000001043","100","1","15000","-1","320249","0","1624","http://google.com","-1","512","510","-1","1624","-1","-1","559","100","100","559","https://www.google.com/?gws_rd=ssl","400525","532","100","1624","0","83","5","934A64BC71D2AA83694EE75D19F4FEB4","1924","29","2","447","406684","5990","68.0.3440.75","ns4.google.com","2639","512.0000001043","prg03s01-in-f4.1e100.net","Step_1","","https://www.google.com/?gws_rd=ssl","1633960406.247","512.0000001043","328","68.0.3440.75","https://www.google.com","Chrome","4.8970506403","1623","www.google.com","webhp","aft","csi","1kFkYfeULd2Txc8Pif29-A4","wsrt.447,aft.219,prt.109","8","6","0","702","iMdx","447","219","109","516","500","500","500","600","1500","500","1500","1","226","226","450","450","453","510","512","512","512","532","542","558","558","558","532","532","1622","1623","1623","3","1","275344","340293","0","0","0","0","0","7","0","0","68399","7","205920","252464","6","717842","904","1","296","16283","6","15000","0","0","0","65454","4","64436","0","0","0","1551","4","393","211011_55_X",
