time,power_consumption.power,URL,URL Opening Time,Sum,Count,Avg
2021-10-24T21:40:16.965+05:00,9.943237305,investing.com,2021-10-24T21:40:16.815+0500,579.9769812,62,9.354467438
2021-10-24T21:40:17.467+05:00,18.32507324,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:17.969+05:00,0.651560285,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:17.969+05:00,6.154541016,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:17.969+05:00,1.614787991,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:17.969+05:00,16.70323538,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:17.969+05:00,14.43688711,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:18.472+05:00,6.664672852,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:18.974+05:00,12.00292969,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:19.475+05:00,18.30566406,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:19.976+05:00,25.63928223,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:20.478+05:00,18.55322266,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:20.979+05:00,18.85009766,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:21.480+05:00,20.03808594,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:21.982+05:00,24.03674316,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:22.483+05:00,19.4354248,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:22.984+05:00,18.06286621,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:23.485+05:00,17.40686035,investing.com,2021-10-24T21:40:16.815+0500,,,
2021-10-24T21:40:23.988+05:00,10.66003418,investing.com,2021-10-24T21:40:16.815+0500,,,
