url,timetaken,code
ouest-france.fr,1.077,ERR_CONNECTION_REFUSED
ebrun.com,34.245,ERR_CONNECTION_REFUSED
cint.com,60.028,ERR_TIMEOUT
rakuten.ne.jp,0.525,ERR_NAME_NOT_RESOLVED
gxu.edu.cn,0.66,ERR_NAME_NOT_RESOLVED
rakuten-sec.co.jp,10.694,ERR_CONNECTION_REFUSED
cfsbcn.com,8.661,ERR_CONNECTION_REFUSED
eluniverso.com,60.013,ERR_TIMEOUT
gittigidiyor.com,34.258,ERR_CONNECTION_REFUSED
banesconline.com,0.29,ERR_NAME_NOT_RESOLVED
thepaper.cn,60.017,ERR_TIMEOUT
incometaxindiaefiling.gov.in,60.025,ERR_TIMEOUT
51auto.com,3.429,ERR_NAME_NOT_RESOLVED
xhamsterlive.com,34.271,ERR_CONNECTION_REFUSED
freee.co.jp,34.259,ERR_CONNECTION_REFUSED
52pk.com,34.25,ERR_CONNECTION_REFUSED
chooseauto.com.cn,0.602,ERR_NAME_NOT_RESOLVED
tsichuan.com,0.331,ERR_NAME_NOT_RESOLVED
uidai.gov.in,60.026,ERR_TIMEOUT
exoclick.com,0.893,ERR_SSL_PROTOCOL_ERROR
nownews.com,60.014,ERR_TIMEOUT
caixa.gov.br,60.023,ERR_TIMEOUT
wattpad.com,0.915,ERR_SSL_PROTOCOL_ERROR
live.net,0.312,ERR_NAME_NOT_RESOLVED
net-a-porter.com,60.014,ERR_TIMEOUT
xtx6.com,2.526,ERR_CONNECTION_RESET
5lux.com,18.41,ERR_CONNECTION_REFUSED
mirconnect.ru,0.292,ERR_NAME_NOT_RESOLVED
