url,timestamp,error
thepaper.cn,60.024,ERR_TIMEOUT
tanea.gr,60.014,ERR_TIMEOUT
incometaxindiaefiling.gov.in,60.021,ERR_TIMEOUT
51auto.com,3.746,ERR_NAME_NOT_RESOLVED
stripchat.com,35.279,ERR_CONNECTION_REFUSED
xhamsterlive.com,0.433,ERR_CONNECTION_RESET
freee.co.jp,34.281,ERR_CONNECTION_REFUSED
olx.ua,60.02,ERR_TIMEOUT
chooseauto.com.cn,0.635,ERR_NAME_NOT_RESOLVED
tsichuan.com,0.323,ERR_NAME_NOT_RESOLVED
uidai.gov.in,52.366,ERR_CONNECTION_REFUSED
activecampaign.com,60.014,ERR_TIMEOUT
caixa.gov.br,60.049,ERR_TIMEOUT
live.net,0.318,ERR_NAME_NOT_RESOLVED
xtx6.com,1.28,ERR_CONNECTION_RESET
domaintools.com,60.045,ERR_TIMEOUT
5lux.com,35.681,ERR_CONNECTION_REFUSED
mirconnect.ru,0.384,ERR_NAME_NOT_RESOLVED
towardsdatascience.com,60.014,ERR_TIMEOUT
