"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function","was_pushed",
"23.212.110.147","83","547","620","1000016246.13","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","607","100","-1","-1","1209600","1431","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/vendors~utils~webpack-script-manifest-SfdcWwwBaseCnc-js~webpack-script-manifest-commonlyUsed-js~webp~8dbeef75.bundle.1cb6b181ee19bf98f0ee.js","-1","14560","14560","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","14916","1000016246.13","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc.bundles/sfdc-www/bundles/vendors~utils~webpack-script-manifest-SfdcWwwBaseCnc-js~webpack-script-manifest-commonlyUsed-js~webp~8dbeef75.bundle.1cb6b181ee19bf98f0ee.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2051","1431","2038","2038","2051","13","1431","2051","620","10","11","1","0","23","220","True","21","46854","","","3","","","","","",
"23.212.110.147","83","443","647","1000016246.14","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","646","100","-1","-1","1209600","1431","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/utils.bundle.1cb6b181ee19bf98f0ee.js","-1","5518","5518","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","5856","1000016246.14","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc.bundles/sfdc-www/bundles/utils.bundle.1cb6b181ee19bf98f0ee.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2078","1431","2077","2077","2078","1","1431","2078","647","11","12","1","0","25","220","True","23","18746","","","8","","","","","",
"23.212.110.147","96","460","746","1000016246.15","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","662","100","-1","-1","1209600","1431","","HTTP/2","100","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/sfdc_jquery.min.d6ea05d15a13f90cbddc2a00c4eb5f05.js","-1","38107","38107","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","38518","1000016246.15","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/sfdc_jquery.min.d6ea05d15a13f90cbddc2a00c4eb5f05.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2177","1431","2093","2093","2177","84","1431","2177","746","12","13","1","0","27","220","True","25","127319","","","19","25","","","","",
"23.212.110.147","172","484","578","1000016246.17","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","HIGHEST","","","-1","577","100","-1","-1","1209600","1431","","HTTP/2","100","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_onetrust.min.90b31d2a81f9e4e88a6c5032a7a88e98.css","-1","2221","2221","","text/css","VeryHigh","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","2540","1000016246.17","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/clientlibs_onetrust.min.90b31d2a81f9e4e88a6c5032a7a88e98.css","-1","","GET","-1","-1","","200","-1","br","Akamai","2009","1431","2008","2008","2009","1","1431","2009","578","13","14","1","0","17","256","True","7","15608","","","","","","","","",
"23.212.110.147","83","458","588","1000016246.11","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","587","100","-1","-1","1209600","1431","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/vendors~scriptloader.bundle.1cb6b181ee19bf98f0ee.js","-1","4093","4093","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","4431","1000016246.11","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc.bundles/sfdc-www/bundles/vendors~scriptloader.bundle.1cb6b181ee19bf98f0ee.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2019","1431","2018","2018","2019","1","1431","2019","588","14","15","1","0","19","220","True","15","11508","","","1","","","","","",
"23.212.110.147","83","450","598","1000016246.12","","","max-age=1209600","100","211011_0C_2E","-1","MEDIUM","","","-1","598","100","-1","-1","1209600","1431","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/scriptloader.bundle.1cb6b181ee19bf98f0ee.js","-1","4334","4334","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","4707","1000016246.12","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc.bundles/sfdc-www/bundles/scriptloader.bundle.1cb6b181ee19bf98f0ee.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2029","1431","2029","2029","2029","0","1431","2029","598","15","16","1","0","21","220","True","19","28039","","","7","4","","","","",
"23.212.110.147","173","468","747","1000016246.30","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","742","100","-1","-1","1209600","1433","","HTTP/2","100","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_onetrust.min.d956db948796236838bf4abf44338802.js","-1","923","923","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","1252","1000016246.30","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/clientlibs_onetrust.min.d956db948796236838bf4abf44338802.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2180","1433","2175","2175","2180","5","1433","2180","747","16","17","1","0","29","220","True","27","3082","","","0","1","","","","",
"23.212.110.147","183","454","757","1000016246.31","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","744","100","-1","-1","1209600","1433","","HTTP/2","100","3","https://www.salesforce.com/etc/clientlibs/granite/lodash/modern.min.3a0ad4c7614495b1cae264dfcb9b9813.js","-1","10446","10446","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","10794","1000016246.31","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/granite/lodash/modern.min.3a0ad4c7614495b1cae264dfcb9b9813.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2190","1433","2177","2177","2190","13","1433","2190","757","17","18","1","0","31","220","True","29","34760","","","3","","","","","",
"23.212.110.147","184","473","771","1000016246.32","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","766","100","-1","-1","1209600","1433","","HTTP/2","100","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_analytics_top.min.5a2182320a10593092643499c47d62b0.js","-1","7722","7722","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","8069","1000016246.32","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/clientlibs_analytics_top.min.5a2182320a10593092643499c47d62b0.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2204","1433","2199","2199","2204","5","1433","2204","771","18","19","1","0","33","220","True","31","26901","","","12","","","","","",
"23.212.110.147","276","468","772","1000016246.36","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","766","100","-1","-1","1209600","1433","","HTTP/2","100","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_www_tags.min.49c634c0df8e725801cecc00b8a87f20.js","-1","442","442","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","770","1000016246.36","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/clientlibs_www_tags.min.49c634c0df8e725801cecc00b8a87f20.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2205","1433","2199","2199","2205","6","1433","2205","772","19","20","1","0","35","220","True","33","1051","","","353","","","","","",
