"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"45.57.91.1","0","490","97","1000007102.4","","","public, max-age=16070400","0","211011_NM_2A","1162","MEDIUM","","","-1","91","100","1165","-1","16070400","1305","443","http/1.1","100","3","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/bootstrap.js,common%7Cbootstrap.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/bck/true/none","1305","3630","3630","ssl/codex.nflxext.com:443","application/javascript","High","","Mon, 11 Apr 2022 16:10:55 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","codex.nflxext.com","4062","1000007102.4","0","100","1","1131","","-1","https://www.netflix.com/cz-en/","62","179","/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/bootstrap.js,common%7Cbootstrap.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/bck/true/none","1228","44802","GET","31","1227","","200","77","gzip","","1402","1305","1396","1396","1402","6","1131","1402","267","10","11","1","0","","","","","","9232","","2","","","","",
"45.57.91.1","0","492","1202","1000007102.5","","","public, max-age=16070400","0","211011_NM_2A","-1","MEDIUM","","","-1","92","100","1165","-1","16070400","1312","443","http/1.1","100","3","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/signup%7Cnmhp%7CnmhpFrameworkClient.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/l/true/none","1312","370154","370154","ssl/codex.nflxext.com:443","application/javascript","High","","Mon, 11 Apr 2022 16:09:53 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","codex.nflxext.com","370588","1000007102.5","0","100","1","-1","","-1","https://www.netflix.com/cz-en/","63","180","/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/signup%7Cnmhp%7CnmhpFrameworkClient.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/l/true/none","1228","44804","GET","-1","1228","","200","84","gzip","","2514","1312","1404","1404","2514","1110","1165","2514","1349","11","12","1","0","","","","","","1304265","","281","12","","","",
"104.16.149.64","0","448","93","1000007102.24","","","max-age=14400","100","211011_NM_2A","-1","MEDIUM","","","-1","92","50","1341","-1","8779","1452","443","HTTP/2","100","3","https://cdn.cookielaw.org/consent/87b6a5c0-0104-4e96-a291-092c11350111/87b6a5c0-0104-4e96-a291-092c11350111.json","1452","1598","1598","pm/ssl/cdn.cookielaw.org:443","application/x-javascript","High","7162","","-1","-1","script","99CD489834EC2D339E4B9F4E966587F4","cdn.cookielaw.org","2231","1000007102.24","0","100","1","-1","","-1","https://cdn.cookielaw.org/scripttemplates/otSDKStub.js","62","205","/consent/87b6a5c0-0104-4e96-a291-092c11350111/87b6a5c0-0104-4e96-a291-092c11350111.json","1405","46002","GET","-1","1403","","200","47","gzip","Cloudflare","1545","1452","1544","1544","1545","1","1341","1545","202","12","13","1","0","1","220","True","0","","4137","","","","se.otFetch","","",
"81.19.34.251","3","515","1667","1000007102.18","0","","max-age=2592000","0","211011_NM_2A","1441","LOWEST","263266","","-1","144","100","1441","100","2592000","1555","443","http/1.1","-1","3","https://occ-0-5582-2706.1.nflxso.net/dnm/api/v6/19OhWN2dO19C9txTON9tvTFtefw/AAAABdFTpLmANuJpYneLq8L5m7CunMCi8e8Nl4y7xaPVWzG3IeoDoq17egTQAthApKg_4sdRWdwuR8KadWu1frjL3JQImpwq.png?r=fcd","1555","263266","","ssl/occ-0-5582-2706.1.nflxso.net:443","image/png","Low","","","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","occ-0-5582-2706.1.nflxso.net","263530","1000007102.18","","100","1","1406","","-1","https://www.netflix.com/cz-en/","39","275","/dnm/api/v6/19OhWN2dO19C9txTON9tvTFtefw/AAAABdFTpLmANuJpYneLq8L5m7CunMCi8e8Nl4y7xaPVWzG3IeoDoq17egTQAthApKg_4sdRWdwuR8KadWu1frjL3JQImpwq.png?r=fcd","1480","52328","GET","35","1480","","200","75","","","3222","1555","1699","1699","3222","1523","1406","3222","1816","13","14","1","0","","","","","","263266","","","","","","",
"45.57.90.1","3","519","2117","1000007102.13","0","","max-age=604801","0","211011_NM_2A","1440","MEDIUM","194578","","-1","352","100","1440","100","604801","1710","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/vlv3/9b3267c9-5086-4550-92f1-eddc22a1f78e/64ba20e2-60b5-4aef-957b-a868b2f04546/CZ-en-20211004-popsignuptwoweeks-perspective_alpha_website_medium.jpg","1710","194578","","ssl/assets.nflxext.com:443","image/jpeg","Low","","Mon, 18 Oct 2021 14:45:59 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","assets.nflxext.com","194901","1000007102.13","","100","1","1405","","-1","https://www.netflix.com/cz-en/","101","267","/ffe/siteui/vlv3/9b3267c9-5086-4550-92f1-eddc22a1f78e/64ba20e2-60b5-4aef-957b-a868b2f04546/CZ-en-20211004-popsignuptwoweeks-perspective_alpha_website_medium.jpg","1541","54598","GET","35","1541","","200","169","","","3827","1710","2062","2062","3827","1765","1405","3827","2422","14","15","1","0","","","","","","194578","","","","","100","7",
"45.57.90.1","3","411","369","1000007102.14","0","","max-age=604801","0","211011_NM_2A","-1","LOWEST","11418","","-1","350","100","1440","100","604801","1743","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/tv.png","1742","11418","","ssl/assets.nflxext.com:443","image/png","Low","","Mon, 18 Oct 2021 14:45:59 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","assets.nflxext.com","11739","1000007102.14","","100","1","-1","","-1","https://www.netflix.com/cz-en/","101","268","/ffe/siteui/acquisition/ourStory/fuji/desktop/tv.png","1541","54600","GET","-1","1541","","200","201","","","2112","1743","2093","2093","2112","19","1440","2112","671","15","16","1","0","","","","","","11418","","","","","","",
"45.57.90.1","3","420","1004","1000007102.15","5359","","max-age=604801","0","211011_NM_2A","-1","LOWEST","49614","","-1","367","100","1440","89","604801","1748","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/mobile-0819.jpg","1747","49614","","ssl/assets.nflxext.com:443","image/jpeg","Low","","Mon, 18 Oct 2021 14:45:59 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","assets.nflxext.com","49936","1000007102.15","","100","1","-1","","-1","https://www.netflix.com/cz-en/","101","270","/ffe/siteui/acquisition/ourStory/fuji/desktop/mobile-0819.jpg","1541","54604","GET","-1","1541","","200","206","","","2752","1748","2115","2115","2752","637","1440","2752","1311","16","17","1","0","","","","","","49614","","","","","100","8",
"45.57.90.1","3","416","998","1000007102.16","0","","max-age=604801","0","211011_NM_2A","-1","LOWEST","20506","","-1","389","100","1440","100","604801","1756","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/boxshot.png","1756","20506","","ssl/assets.nflxext.com:443","image/png","Low","","Mon, 18 Oct 2021 14:45:59 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","assets.nflxext.com","20827","1000007102.16","","100","1","-1","","-1","https://www.netflix.com/cz-en/","101","271","/ffe/siteui/acquisition/ourStory/fuji/desktop/boxshot.png","1541","54606","GET","-1","1541","","200","215","","","2754","1756","2145","2145","2754","609","1440","2754","1314","17","18","1","0","","","","","","20506","","","","","","",
"45.57.90.1","3","534","1406","1000007102.38","","","max-age=604801","0","211011_NM_2A","-1","HIGHEST","","","-1","421","100","1441","-1","604801","1760","443","http/1.1","100","3","https://assets.nflxext.com/ffe/siteui/fonts/netflix-sans/v3/NetflixSans_W_Rg.woff2","1760","53342","53342","pm/ssl/assets.nflxext.com:443","text/plain","VeryHigh","","Mon, 18 Oct 2021 14:45:59 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","assets.nflxext.com","53720","1000007102.38","0","100","1","-1","","-1","https://www.netflix.com/cz-en/","100","274","/ffe/siteui/fonts/netflix-sans/v3/NetflixSans_W_Rg.woff2","1542","54612","GET","-1","1541","","200","218","gzip","","3166","1760","2181","2181","3166","985","1441","3166","1724","18","19","1","0","","","","","","53304","","","","","","",
"45.57.90.1","3","534","1621","1000007102.40","","","max-age=604801","0","211011_NM_2A","-1","HIGHEST","","","-1","443","100","1440","-1","604801","1766","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/fonts/netflix-sans/v3/NetflixSans_W_Md.woff2","1766","53940","","pm/ssl/assets.nflxext.com:443","font/woff2","VeryHigh","","Mon, 18 Oct 2021 14:45:59 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","assets.nflxext.com","54294","1000007102.40","","100","1","-1","","-1","https://www.netflix.com/cz-en/","101","272","/ffe/siteui/fonts/netflix-sans/v3/NetflixSans_W_Md.woff2","1542","54608","GET","-1","1541","","200","224","","","3387","1766","2209","2209","3387","1178","1440","3387","1946","19","20","1","0","","","","","","53940","","","","","","",
