"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"87.248.118.23","78","429","181","1000012694.17","0","","max-age=31536000; immutable","100","211011_ZZ_1Z","-1","MEDIUM","63640","","-1","67","100","-1","100","30760449","2366","","HTTP/2","100","3","https://s.yimg.com/oa/build/images/en-GB-home_f0badd867efa6720.jpeg","-1","63640","63640","","image/jpeg","Low","","","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","s.yimg.com","63905","1000012694.17","0","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","165","/oa/build/images/en-GB-home_f0badd867efa6720.jpeg","-1","","GET","-1","-1","","200","-1","gzip","Yahoo","2547","2366","2433","2433","2547","114","2366","2547","181","10","11","1","0","9","147","True","7","","79439","","","","0","1",
"87.248.118.23","29","376","151","1000012694.7","","","","0","211011_ZZ_1Z","-1","LOWEST","","","-1","149","0","-1","-1","0","2399","","HTTP/2","36","3","https://edge-mcdn.secure.yahoo.com/ybar/cerebro_min.js","-1","5188","5188","","application/javascript","Low","","","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","edge-mcdn.secure.yahoo.com","5451","1000012694.7","3285","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","165","/ybar/cerebro_min.js","-1","","GET","-1","-1","","200","-1","","","2550","2399","2548","2548","2550","2","2399","2550","151","11","12","1","0","11","","","","","5188","","2","1","","",
"87.248.118.23","","388","50","1000012694.22","","","max-age=31536000; immutable","100","211011_ZZ_1Z","-1","MEDIUM","","","-1","50","100","-1","-1","29088050","2564","","HTTP/2","-1","3","https://s.yimg.com/oa/build/images/favicons/yahoo.png","-1","1406","","","image/png","High","","","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","s.yimg.com","1628","1000012694.22","","100","1","-1","","-1","","-1","165","/oa/build/images/favicons/yahoo.png","-1","","GET","-1","-1","","200","-1","","Yahoo","2614","2564","2614","2614","2614","0","2564","2614","50","12","13","1","0","13","220","True","0","","1406","","","","","",
"188.125.72.139","0","435","173","1000012694.20","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","2402","IDLE","","","-1","173","-1","2402","-1","","2614","443","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","2613","97","","pm/ssl/csp.yahoo.com:443","","VeryLow","941","-1","-1","-1","script","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","97","1000012694.20","","-1","1","2364","","-1","https://edge-mcdn.secure.yahoo.com/ybar/cerebro_min.js","126","199","/beacon/csp?src=guce","2528","55426","POST","38","2528","","204","85","","","2787","2614","2787","2787","2787","0","2364","2787","422","13","14","1","0","1","110","True","0","","","","","","","",
"188.125.72.139","29","435","341","1000012694.16","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","2400","IDLE","","","-1","341","-1","2400","-1","","2614","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","2611","510","","","","VeryLow","","-1","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","510","1000012694.16","","-1","1","2362","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","126","199","/beacon/csp?src=guce","2526","","POST","38","2526","","204","85","","","2955","2614","2955","2955","2955","0","2362","2955","590","14","15","1","0","3","","","","","","","","","","",
"87.248.118.22","0","382","55","1000012694.21","","","","0","211011_ZZ_1Z","2399","MEDIUM","","","-1","50","0","2556","-1","0","2656","443","HTTP/2","14","3","https://edge-mcdn.secure.yahoo.com/ybar/exp.json","2656","3731","3731","pm/ssl/edge-mcdn.secure.yahoo.com:443","application/json","High","941","","-1","-1","script","E3A94F903DF988E5CDC602FB3CD94938","edge-mcdn.secure.yahoo.com","4220","1000012694.21","3183","100","1","2359","","-1","https://edge-mcdn.secure.yahoo.com/ybar/cerebro_min.js","43","214","/ybar/exp.json","2599","50596","GET","40","2599","","200","57","","","2711","2656","2706","2706","2711","5","2359","2711","195","15","16","1","0","1","220","True","0","","3731","","","","","",
"188.125.72.139","","435","164","1000012694.24","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","164","-1","-1","-1","","2719","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","94","1000012694.24","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2883","2719","2883","2883","2883","0","2719","2883","164","16","17","1","0","5","110","True","3","","","","","","","",
"188.125.72.139","","435","179","1000012694.26","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","179","-1","-1","-1","","2724","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","119","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","119","1000012694.26","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2903","2724","2903","2903","2903","0","2724","2903","179","17","18","1","0","7","110","True","5","","","","","","","",
"188.125.72.139","","435","183","1000012694.28","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","183","-1","-1","-1","","2725","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","94","1000012694.28","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2908","2725","2908","2908","2908","0","2725","2908","183","18","19","1","0","9","110","True","7","","","","","","","",
"188.125.72.139","","435","183","1000012694.30","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","183","-1","-1","-1","","2725","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","94","1000012694.30","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2908","2725","2908","2908","2908","0","2725","2908","183","19","20","1","0","11","110","True","9","","","","","","","",
