"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"150.139.250.237","2084","372","1503","1000009261.65","","","max-age=86400","0","211011_46_2B","-1","LOW","","","-1","1502","50","-1","-1","56798","3285","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/web4.0/index_v3.js?v=74932583","-1","8655","8655","","application/javascript","Medium","","Tue, 12 Oct 2021 06:33:22 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","8953","1000009261.65","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/web4.0/index_v3.js?v=74932583","-1","","GET","-1","-1","","200","-1","gzip","","4788","3285","4787","4787","4788","1","3285","4788","1503","10","11","1","0","17","183","True","27930","","15","","3","1","","","",
"150.139.250.237","2085","375","1466","1000009261.66","","","max-age=86400","0","211011_46_2B","-1","LOW","","","-1","1466","50","-1","-1","56798","3285","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/web3.0/videoJJToH5.js?v=a1487c74","-1","392","392","","application/javascript","Medium","","Tue, 12 Oct 2021 06:33:22 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","593","1000009261.66","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/web3.0/videoJJToH5.js?v=a1487c74","-1","","GET","-1","-1","","200","-1","gzip","","4751","3285","4751","4751","4751","0","3285","4751","1466","11","12","1","0","19","183","True","664","","17","","0","","","","",
"150.139.250.237","2087","385","1488","1000009261.67","","","max-age=86400","0","211011_46_2B","-1","LOW","","","-1","1488","50","-1","-1","52504","3285","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/public/4.0/popLoginRegistNew.js?v=06f9cb7e","-1","9007","9007","","application/javascript","Medium","","Tue, 12 Oct 2021 05:21:48 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","9354","1000009261.67","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/public/4.0/popLoginRegistNew.js?v=06f9cb7e","-1","","GET","-1","-1","","200","-1","gzip","","4773","3285","4773","4773","4773","0","3285","4773","1488","12","13","1","0","21","183","True","49161","","19","","3","","","","",
"150.139.250.237","2088","381","1469","1000009261.68","","","max-age=86400","0","211011_46_2B","-1","LOW","","","-1","1468","50","-1","-1","57249","3285","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/lib/sdk/reyunh5.min1.1.0.js?v=6bf76da3","-1","2927","2927","","application/javascript","Medium","","Tue, 12 Oct 2021 06:40:53 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","3195","1000009261.68","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/lib/sdk/reyunh5.min1.1.0.js?v=6bf76da3","-1","","GET","-1","-1","","200","-1","gzip","","4754","3285","4753","4753","4754","1","3285","4754","1469","13","14","1","0","23","183","True","8018","","21","","1","0","","","",
"150.139.250.237","2089","363","1525","1000009261.69","","","max-age=86400","0","211011_46_2B","-1","LOW","","","-1","1525","50","-1","-1","55234","3285","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/common.js?v=2063d4ed","-1","7767","7767","","application/javascript","Medium","","Tue, 12 Oct 2021 06:07:18 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","7971","1000009261.69","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/common.js?v=2063d4ed","-1","","GET","-1","-1","","200","-1","gzip","","4810","3285","4810","4810","4810","0","3285","4810","1525","14","15","1","0","25","183","True","20383","","23","","4","0","","","",
"140.249.226.225","3","412","451","1000009261.71","","","no-store, no-cache, must-revalidate","-1","211011_46_2B","-1","MEDIUM","","","-1","450","-1","-1","-1","","4783","","HTTP/2","-1","3","https://www.zhanqi.tv/api/user/user.info","-1","481","","","application/json","High","12670","Thu, 19 Nov 1981 08:52:00 GMT","-1","-1","script","551F35118E3BD02D5E53C9D1D6C8F50D","www.zhanqi.tv","481","1000009261.71","","100","1","-1","","-1","https://static.zhanqi.tv/assets/web/v3/static/j/pkg/zhanqi.js?v=60f7069f","-1","117","/api/user/user.info","-1","","GET","-1","-1","","200","-1","","","5234","4783","5233","5233","5234","1","4783","5234","451","15","16","1","0","3","220","True","50","","0","","","","send","","",
"150.139.250.237","301","463","359","1000009261.76","0","","max-age=86400","0","211011_46_2B","-1","MEDIUM","41949","","-1","323","50","-1","100","56044","4822","","HTTP/2","-1","3","https://static.zhanqi.tv/assets/web/v3/static/i/index/index/icons.png?2019041001","-1","41949","","","image/png","Low","","Tue, 12 Oct 2021 06:20:50 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","42298","1000009261.76","","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/i/index/index/icons.png?2019041001","-1","","GET","-1","-1","","200","-1","","","5181","4822","5145","5145","5181","36","4822","5181","359","16","17","1","0","27","147","True","41949","","0","","","","","","",
"150.139.250.237","1620","475","366","1000009261.128","0","","max-age=86400","0","211011_46_2B","-1","LOWEST","16414","","-1","340","50","-1","100","52080","4854","","HTTP/2","-1","3","https://static.zhanqi.tv/assets/web/v3/static/i/index/index/stars-wall-bg.jpg?2019031801","-1","16414","","","image/jpeg","Low","","Tue, 12 Oct 2021 05:14:46 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","16642","1000009261.128","","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/i/index/index/stars-wall-bg.jpg?2019031801","-1","","GET","-1","-1","","200","-1","","","5220","4854","5194","5194","5220","26","4854","5220","366","17","18","1","0","29","147","True","16414","","27","","","","","0","1",
"150.139.250.237","1620","468","336","1000009261.129","0","","max-age=86400","0","211011_46_2B","-1","LOWEST","5871","","-1","328","50","-1","100","52080","4856","","HTTP/2","-1","3","https://static.zhanqi.tv/assets/web/v3/static/i/index/nothing-rank.png?2019041001","-1","5871","","","image/png","Low","","Tue, 12 Oct 2021 05:14:46 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","6167","1000009261.129","","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/i/index/nothing-rank.png?2019041001","-1","","GET","-1","-1","","200","-1","","","5192","4856","5184","5184","5192","8","4856","5192","336","18","19","1","0","31","147","True","5871","","29","","","","","","",
"150.139.250.237","1620","452","359","1000009261.155","0","","max-age=86400","0","211011_46_2B","-1","MEDIUM","7248","","-1","358","50","-1","100","56114","4875","","HTTP/2","-1","3","https://static.zhanqi.tv/assets/web/v3/static/i/index/live-bg.png","-1","7248","","","image/png","Low","","Tue, 12 Oct 2021 06:22:00 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","7596","1000009261.155","","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/i/index/live-bg.png","-1","","GET","-1","-1","","200","-1","","","5234","4875","5233","5233","5234","1","4875","5234","359","19","20","1","0","33","147","True","7248","","31","","","","","","",
