"ip_addr","initiator_line","bytesOut","load_ms","final_base_page","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","objectSizeUncompressed","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","is_base_page","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","cpu.EvaluateScript","index","number","run","cached","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"47.246.44.228","37","336","298","","1000024777.11","","","","0","211011_FT_24","-1","MEDIUM","","","-1","171","0","889","-1","0","96419","954","80","http/1.1","100","3","http://lib.news.cn/swiper/swiper3.4.2/swiper.min.js","-1","23601","23601","lib.news.cn:80","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","lib.news.cn","24248","1000024777.11","0","100","0","-1","","-1","http://xinhuanet.com/","65","213","/swiper/swiper3.4.2/swiper.min.js","-1","52450","GET","-1","954","","200","-1","gzip","","","1252","954","1125","1125","1252","127","889","1252","363","5","10","11","1","0","40","","",
"47.246.44.228","19","385","101","","1000024777.6","","","","0","211011_FT_24","-1","HIGHEST","","","-1","100","0","889","-1","0","13261","954","80","http/1.1","100","3","http://lib.news.cn/mCustomScrollbar/mCustomScrollbar2.8.2/jquery.mCustomScrollbar.css","-1","1684","1684","lib.news.cn:80","text/css","VeryHigh","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","lib.news.cn","2354","1000024777.6","0","100","0","-1","","-1","http://xinhuanet.com/","65","209","/mCustomScrollbar/mCustomScrollbar2.8.2/jquery.mCustomScrollbar.css","-1","52442","GET","-1","954","","200","-1","gzip","","","1055","954","1054","1054","1055","1","889","1055","166","","11","12","1","0","","","",
"47.246.44.228","22","324","282","","1000024777.8","","","","0","211011_FT_24","-1","MEDIUM","","","-1","149","0","889","-1","0","97154","954","80","http/1.1","100","3","http://lib.news.cn/jquery/jquery.min.js","-1","33799","33799","lib.news.cn:80","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","lib.news.cn","34482","1000024777.8","0","100","0","-1","","-1","http://xinhuanet.com/","65","210","/jquery/jquery.min.js","-1","52444","GET","-1","954","","200","-1","gzip","","","1236","954","1103","1103","1236","133","889","1236","347","16","12","13","1","0","2","","",
"47.246.44.228","40","380","125","","1000024777.12","","","","0","211011_FT_24","-1","MEDIUM","","","-1","119","0","889","-1","0","25168","955","80","http/1.1","100","3","http://lib.news.cn/mCustomScrollbar/mCustomScrollbar2.8.2/jquery.mCustomScrollbar.concat.min.js","-1","6152","6152","lib.news.cn:80","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","lib.news.cn","6837","1000024777.12","0","100","0","-1","","-1","http://xinhuanet.com/","66","214","/mCustomScrollbar/mCustomScrollbar2.8.2/jquery.mCustomScrollbar.concat.min.js","-1","52452","GET","-1","955","","200","-1","gzip","","","1080","955","1074","1074","1080","6","889","1080","191","1","13","14","1","0","4","","",
"47.246.44.228","43","326","314","","1000024777.13","","","","0","211011_FT_24","-1","MEDIUM","","","-1","204","0","889","-1","0","61102","955","80","http/1.1","100","3","http://lib.news.cn/gsap/gsap3/gsap.min.js","-1","24070","24070","lib.news.cn:80","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","lib.news.cn","24756","1000024777.13","0","100","0","-1","","-1","http://xinhuanet.com/","66","212","/gsap/gsap3/gsap.min.js","-1","52448","GET","-1","955","","200","-1","gzip","","","1269","955","1159","1159","1269","110","889","1269","380","10","14","15","1","0","3","","",
"163.171.133.124","34","350","1057","","1000024777.10","","","","100","211011_FT_24","926","MEDIUM","","","-1","526","0","926","-1","0","831210","1089","443","http/1.1","100","3","https://player.v.news.cn/player/sdk/h5/DHYPlayer-latest.min.js","1089","244591","244591","ssl/player.v.news.cn:443","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","player.v.news.cn","244591","1000024777.10","0","100","1","846","","-1","http://xinhuanet.com/","56","215","/player/sdk/h5/DHYPlayer-latest.min.js","982","54828","GET","80","982","","200","107","gzip","","ChinaNetCenter","2146","1089","1615","1615","2146","531","846","2146","1300","92","15","16","1","0","64","","",
"202.108.119.193","107","369","481","","1000024777.19","0","","","0","211011_FT_24","-1","LOWEST","6530","","-1","228","0","-1","100","0","6495","1186","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/images/logo.png","-1","6530","6530","xinhuanet.com:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","6835","1000024777.19","0","100","0","-1","","-1","http://xinhuanet.com/","-1","108","/2021homepro/images/logo.png","-1","39792","GET","-1","-1","","200","-1","gzip","","","1667","1186","1414","1414","1667","253","1186","1667","481","","16","17","1","0","","","",
"202.108.119.193","110","374","555","","1000024777.20","0","","","0","211011_FT_24","-1","LOWEST","9991","","-1","221","0","1021","100","0","10762","1270","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/images/local/adv.jpg","-1","9991","9991","xinhuanet.com:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","10297","1000024777.20","0","100","0","-1","","-1","http://xinhuanet.com/","249","228","/2021homepro/images/local/adv.jpg","-1","39822","GET","-1","1270","","200","-1","gzip","","","1825","1270","1491","1491","1825","334","1021","1825","804","","17","18","1","0","","0","1",
"202.108.119.193","191","394","2223","","1000024777.26","174248","","","0","211011_FT_24","-1","MEDIUM","238373","","-1","236","0","1021","26","0","238912","1270","80","http/1.1","100","3","http://xinhuanet.com/titlepic/112794/1127945144_1633929823275_title0h.jpg","-1","238373","238373","xinhuanet.com:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","238682","1000024777.26","0","100","0","-1","","-1","http://xinhuanet.com/","249","224","/titlepic/112794/1127945144_1633929823275_title0h.jpg","-1","39820","GET","-1","1270","","200","-1","gzip","","","3493","1270","1506","1506","3493","1987","1021","3493","2472","","18","19","1","0","","0","1",
"202.108.119.193","198","394","2643","","1000024777.27","320118","","","0","211011_FT_24","-1","MEDIUM","405409","","-1","219","0","1151","21","0","406769","1374","80","http/1.1","100","3","http://xinhuanet.com/titlepic/112794/1127946656_1633954433523_title0h.jpg","-1","405409","405409","xinhuanet.com:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","405718","1000024777.27","0","100","0","-1","","-1","http://xinhuanet.com/","222","239","/titlepic/112794/1127946656_1633954433523_title0h.jpg","-1","39824","GET","-1","1373","","200","-1","gzip","","","4017","1374","1593","1593","4017","2424","1151","4017","2865","","19","20","1","0","","0","1",
