"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"157.240.30.35","","385","78","D185886283B87FCF5DFA9CD3F546263A","","","","-1","211011_BV_1V","46","HIGHEST","","","-1","78","-1","46","-1","","78","80","http/1.1","-1","3","http://facebook.com/","-1","0","","facebook.com:80","text/html","VeryHigh","","","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","facebook.com","0","D185886283B87FCF5DFA9CD3F546263A","","-1","0","3","","-1","","32","107","/","-1","34308","GET","43","78","","301","-1","","","156","78","156","156","156","0","3","156","153","0","1","1","0","","","","","","","","","","",
"157.240.30.35","","395","78","D185886283B87FCF5DFA9CD3F546263A-1","","","","-1","211011_BV_1V","-1","VeryHigh","","","-1","78","-1","157","-1","","234","443","HTTP/2","-1","3","https://facebook.com/","234","0","","ssl/facebook.com:443","text/html","VeryHigh","","","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","facebook.com","0","D185886283B87FCF5DFA9CD3F546263A","","-1","1","-1","","-1","","33","114","/","191","37076","GET","-1","190","","301","43","","","312","234","312","312","312","0","157","312","154","1","2","1","0","1","256","True","0","","","","","","",
"157.240.30.35","","399","472","D185886283B87FCF5DFA9CD3F546263A-2","","","private, no-cache, no-store, must-revalidate","100","211011_BV_1V","-1","VeryHigh","","","-1","407","-1","-1","-1","","358","","HTTP/2","100","3","https://www.facebook.com/","-1","33989","33989","","text/html","VeryHigh","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","www.facebook.com","33989","D185886283B87FCF5DFA9CD3F546263A","0","100","1","-1","","-1","","-1","114","/","-1","","GET","-1","-1","","200","-1","br","Facebook","830","358","765","765","830","65","358","830","472","2","3","1","0","3","","","","1","123332","1","45","","",
"157.240.30.35","9","378","253","1000003276.19","0","","private, no-cache, no-store, must-revalidate","100","211011_BV_1V","-1","LOWEST","207","","-1","253","-1","-1","100","","803","","HTTP/2","100","3","https://facebook.com/security/hsts-pixel.gif","-1","207","207","","image/gif","Low","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","facebook.com","207","1000003276.19","0","100","1","-1","","-1","https://www.facebook.com/","-1","114","/security/hsts-pixel.gif","-1","","GET","-1","-1","","200","-1","br","Facebook","1056","803","1056","1056","1056","0","803","1056","253","3","4","1","0","5","147","True","3","","43","","","","",
"157.240.27.27","8","409","248","1000003276.10","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","102","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","83257","83257","","application/x-javascript","High","","Fri, 30 Sep 2022 18:45:14 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","83523","1000003276.10","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1183","935","1037","1037","1183","146","935","1183","248","4","5","1","0","13","","","","","307343","","12","57","",
"157.240.27.27","3","433","72","1000003276.5","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","63","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yE/l/0,cross/M7uGwhsJk9i.css?_nc_x=Ij3Wp8lg5Kz","-1","5186","5186","","text/css","VeryHigh","","Sun, 09 Oct 2022 14:23:11 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","5378","1000003276.5","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yE/l/0,cross/M7uGwhsJk9i.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1007","935","998","998","1007","9","935","1007","72","5","6","1","0","3","","","","","21647","","","","",
"157.240.27.27","4","433","77","1000003276.6","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","72","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/Iw3icnvlET1.css?_nc_x=Ij3Wp8lg5Kz","-1","2464","2464","","text/css","VeryHigh","","Sun, 09 Oct 2022 14:23:11 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","2632","1000003276.6","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/y0/l/0,cross/Iw3icnvlET1.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1012","935","1007","1007","1012","5","935","1012","77","6","7","1","0","5","","","","","11321","","","","",
"157.240.27.27","5","433","94","1000003276.7","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","77","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yE/l/0,cross/cApa7fGgjCt.css?_nc_x=Ij3Wp8lg5Kz","-1","9585","9585","","text/css","VeryHigh","","Sun, 09 Oct 2022 14:39:27 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","9930","1000003276.7","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yE/l/0,cross/cApa7fGgjCt.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1029","935","1012","1012","1029","17","935","1029","94","7","8","1","0","7","","","","","43711","","","","",
"157.240.27.27","6","433","97","1000003276.8","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","94","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y3/l/0,cross/fbWj5dcnmIq.css?_nc_x=Ij3Wp8lg5Kz","-1","1632","1632","","text/css","VeryHigh","","Tue, 04 Oct 2022 10:21:41 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1825","1000003276.8","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/y3/l/0,cross/fbWj5dcnmIq.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1032","935","1029","1029","1032","3","935","1032","97","8","9","1","0","9","","","","","5804","","","","",
"157.240.27.27","7","433","101","1000003276.9","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","98","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yL/l/0,cross/F_1gS1r_pHi.css?_nc_x=Ij3Wp8lg5Kz","-1","1636","1636","","text/css","VeryHigh","","Sun, 09 Oct 2022 15:11:43 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1831","1000003276.9","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yL/l/0,cross/F_1gS1r_pHi.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1036","935","1033","1033","1036","3","935","1036","101","9","10","1","0","11","","","","","8345","","","","",
"157.240.27.27","2","433","62","1000003276.4","","","public,max-age=31536000,immutable","100","211011_BV_1V","823","HIGHEST","","","-1","56","100","823","-1","31536000","935","443","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y-/l/0,cross/BNdSVw6cAaf.css?_nc_x=Ij3Wp8lg5Kz","934","3487","3487","pm/ssl/static.xx.fbcdn.net:443","text/css","VeryHigh","","Sat, 08 Oct 2022 15:30:13 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","4120","1000003276.4","0","100","1","775","","-1","https://www.facebook.com/","51","178","/rsrc.php/v3/y-/l/0,cross/BNdSVw6cAaf.css?_nc_x=Ij3Wp8lg5Kz","874","51156","GET","48","874","","200","60","br","Facebook","997","935","991","991","997","6","775","997","221","10","11","1","0","1","256","True","0","","14554","","","","",
"157.240.27.27","20","409","199","1000003276.24","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","LOW","","","-1","184","100","-1","-1","31536000","999","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yd/r/vrh3S7dptpI.js?_nc_x=Ij3Wp8lg5Kz","-1","8984","8984","","application/x-javascript","Medium","","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","9176","1000003276.24","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yd/r/vrh3S7dptpI.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1198","999","1183","1183","1198","15","999","1198","199","11","12","1","0","15","183","True","13","","29319","","3","11","",
"157.240.27.27","22","420","249","1000003276.26","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","LOW","","","-1","200","100","-1","-1","31536000","999","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3i9_W4/y_/l/cs_CZ/isZ_9yqZJwt.js?_nc_x=Ij3Wp8lg5Kz","-1","28446","28446","","application/x-javascript","Medium","","Mon, 10 Oct 2022 16:30:22 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","28647","1000003276.26","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3i9_W4/y_/l/cs_CZ/isZ_9yqZJwt.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1248","999","1199","1199","1248","49","999","1248","249","12","13","1","0","17","183","True","15","","106576","","3","","",
"157.240.27.27","23","409","265","1000003276.27","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","LOW","","","-1","249","100","-1","-1","31536000","999","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/K_7d914p48z.js?_nc_x=Ij3Wp8lg5Kz","-1","9404","9404","","application/x-javascript","Medium","","Sat, 08 Oct 2022 14:36:35 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","9597","1000003276.27","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/y0/r/K_7d914p48z.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1264","999","1248","1248","1264","16","999","1264","265","13","14","1","0","19","183","True","17","","30551","","3","1","",
"157.240.27.27","9","391","60","1000003276.18","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","59","100","998","-1","31536000","1271","443","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/y8/r/dF5SId3UHWd.svg","1271","1027","1027","ssl/static.xx.fbcdn.net:443","image/svg+xml","Low","","Fri, 07 Oct 2022 22:09:23 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1918","1000003276.18","0","100","1","-1","","-1","https://www.facebook.com/","95","207","/rsrc.php/y8/r/dF5SId3UHWd.svg","1093","51168","GET","-1","1093","","200","178","br","Facebook","1331","1271","1330","1330","1331","1","998","1331","333","14","15","1","0","1","220","True","0","","2385","","","","",
"157.240.27.27","10","455","77","1000003276.31","0","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","LOWEST","8124","","-1","63","100","-1","100","31536000","1271","","HTTP/2","-1","3","https://static.xx.fbcdn.net/rsrc.php/v3/y6/r/DRJImuH6zGz.png","-1","8124","","","image/png","Low","","Sun, 09 Oct 2022 14:39:27 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","8315","1000003276.31","","100","1","-1","","-1","https://www.facebook.com/","-1","207","/rsrc.php/v3/y6/r/DRJImuH6zGz.png","-1","","GET","-1","-1","","200","-1","","Facebook","1348","1271","1334","1334","1348","14","1271","1348","77","15","16","1","0","5","","","","","8124","","","","",
"157.240.27.27","10","455","63","1000003276.32","0","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","925","","-1","61","100","-1","100","31536000","1271","","HTTP/2","-1","3","https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png","-1","925","","","image/png","Low","","Tue, 04 Oct 2022 10:25:41 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1120","1000003276.32","","100","1","-1","","-1","https://www.facebook.com/","-1","207","/rsrc.php/v3/yO/r/YQNfPR9MJfx.png","-1","","GET","-1","-1","","200","-1","","Facebook","1334","1271","1332","1332","1334","2","1271","1334","63","16","17","1","0","3","","","","","925","","","","",
"157.240.27.27","166","409","60","1000003276.50","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","51","100","-1","-1","31536000","1317","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y_/r/iNidxlsv4jk.js?_nc_x=Ij3Wp8lg5Kz","-1","5190","5190","","application/x-javascript","High","2718","Mon, 10 Oct 2022 14:19:25 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","5408","1000003276.50","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/y_/r/iNidxlsv4jk.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1377","1317","1368","1368","1377","9","1317","1377","60","17","18","1","0","21","220","True","0","","19236","","4","","P",
"157.240.27.27","166","409","69","1000003276.51","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","59","100","-1","-1","31536000","1319","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/Gj0FDmrRZrR.js?_nc_x=Ij3Wp8lg5Kz","-1","6124","6124","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","6293","1000003276.51","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/yJ/r/Gj0FDmrRZrR.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1388","1319","1378","1378","1388","10","1319","1388","69","18","19","1","0","23","220","True","21","","17554","","2","0","P",
"157.240.27.27","166","409","96","1000003276.52","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","70","100","-1","-1","31536000","1319","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/MiMBLUedHR2.js?_nc_x=Ij3Wp8lg5Kz","-1","15155","15155","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","15325","1000003276.52","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/yg/r/MiMBLUedHR2.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1415","1319","1389","1389","1415","26","1319","1415","96","19","20","1","0","25","220","True","23","","55174","","3","","P",
"157.240.27.27","166","409","102","1000003276.53","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","96","100","-1","-1","31536000","1319","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yT/r/G9HDdBwzl5h.js?_nc_x=Ij3Wp8lg5Kz","-1","3452","3452","","application/x-javascript","High","2718","Sun, 09 Oct 2022 14:39:27 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","3621","1000003276.53","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/yT/r/G9HDdBwzl5h.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1421","1319","1415","1415","1421","6","1319","1421","102","20","21","1","0","27","220","True","25","","10680","","1","","P",
"157.240.27.27","166","409","135","1000003276.54","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","102","100","-1","-1","31536000","1319","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yF/r/mQv5Eu39wMa.js?_nc_x=Ij3Wp8lg5Kz","-1","19376","19376","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","19555","1000003276.54","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/yF/r/mQv5Eu39wMa.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1454","1319","1421","1421","1454","33","1319","1454","135","21","22","1","0","29","220","True","27","","60536","","2","0","P",
"157.240.27.27","166","409","138","1000003276.55","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","135","100","-1","-1","31536000","1319","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yd/r/_BDLad9QliC.js?_nc_x=Ij3Wp8lg5Kz","-1","1462","1462","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1630","1000003276.55","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/yd/r/_BDLad9QliC.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1457","1319","1454","1454","1457","3","1319","1457","138","22","23","1","0","31","220","True","29","","3734","","2","","P",
"157.240.27.27","166","420","183","1000003276.56","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","139","100","-1","-1","31536000","1319","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3i8R54/ya/l/cs_CZ/oLjn-H5E5yL.js?_nc_x=Ij3Wp8lg5Kz","-1","26090","26090","","application/x-javascript","High","2718","Sat, 08 Oct 2022 16:32:13 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","26292","1000003276.56","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3i8R54/ya/l/cs_CZ/oLjn-H5E5yL.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1502","1319","1458","1458","1502","44","1319","1502","183","23","24","1","0","33","220","True","31","","92054","","3","0","P",
"157.240.27.27","166","420","213","1000003276.57","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","184","100","-1","-1","31536000","1319","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3iBLb4/yi/l/cs_CZ/vf6vcqK1e2N.js?_nc_x=Ij3Wp8lg5Kz","-1","17160","17160","","application/x-javascript","High","2718","Sat, 08 Oct 2022 16:23:48 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","17362","1000003276.57","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3iBLb4/yi/l/cs_CZ/vf6vcqK1e2N.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1532","1319","1503","1503","1532","29","1319","1532","213","24","25","1","0","35","220","True","33","","64947","","3","","P",
"157.240.27.27","166","409","214","1000003276.58","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","213","100","-1","-1","31536000","1319","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yF/r/HSIcBOWyfnS.js?_nc_x=Ij3Wp8lg5Kz","-1","523","523","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","694","1000003276.58","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/yF/r/HSIcBOWyfnS.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1533","1319","1532","1532","1533","1","1319","1533","214","25","26","1","0","37","220","True","35","","995","","0","","P",
"157.240.27.27","166","409","216","1000003276.59","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","215","100","-1","-1","31536000","1320","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/lYejkzyV906.js?_nc_x=Ij3Wp8lg5Kz","-1","414","414","","application/x-javascript","High","2718","Fri, 30 Sep 2022 04:26:45 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1336","1000003276.59","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/yz/r/lYejkzyV906.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1536","1320","1535","1535","1536","1","1320","1536","216","26","27","1","0","39","220","True","37","","770","","0","","P",
"157.240.27.27","166","409","220","1000003276.60","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","217","100","-1","-1","31536000","1320","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/uVxtv4URnX6.js?_nc_x=Ij3Wp8lg5Kz","-1","1760","1760","","application/x-javascript","High","2718","Fri, 07 Oct 2022 21:55:23 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1953","1000003276.60","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/y0/r/uVxtv4URnX6.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1540","1320","1537","1537","1540","3","1320","1540","220","27","28","1","0","41","220","True","39","","5305","","1","9","P",
"157.240.27.27","166","420","235","1000003276.61","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","221","100","-1","-1","31536000","1320","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3imgz4/y2/l/cs_CZ/bX8UEG34M3I.js?_nc_x=Ij3Wp8lg5Kz","-1","8402","8402","","application/x-javascript","High","2718","Sat, 08 Oct 2022 16:23:48 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","8571","1000003276.61","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3imgz4/y2/l/cs_CZ/bX8UEG34M3I.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1555","1320","1541","1541","1555","14","1320","1555","235","28","29","1","0","43","220","True","41","","29636","","13","","P",
"157.240.27.27","166","409","241","1000003276.62","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","238","100","-1","-1","31536000","1320","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yt/r/d94aZf7WPy5.js?_nc_x=Ij3Wp8lg5Kz","-1","2769","2769","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:23:36 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","2962","1000003276.62","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3/yt/r/d94aZf7WPy5.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1561","1320","1558","1558","1561","3","1320","1561","241","29","30","1","0","45","220","True","43","","8638","","1","","P",
"157.240.27.27","166","420","272","1000003276.63","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","242","100","-1","-1","31536000","1320","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3iIP54/yk/l/cs_CZ/EQk83oZngtp.js?_nc_x=Ij3Wp8lg5Kz","-1","17531","17531","","application/x-javascript","High","2718","Sat, 08 Oct 2022 16:41:53 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","17732","1000003276.63","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","178","/rsrc.php/v3iIP54/yk/l/cs_CZ/EQk83oZngtp.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1592","1320","1562","1562","1592","30","1320","1592","272","30","31","1","0","47","220","True","45","","65625","","2","","P",
