"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"157.240.27.27","166","420","262","1000004650.64","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","237","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3idwn4/yT/l/cs_CZ/aEyD7sN4tGU.js?_nc_x=Ij3Wp8lg5Kz","-1","14353","14353","","application/x-javascript","High","2718","Sun, 09 Oct 2022 08:44:01 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","14545","1000004650.64","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3idwn4/yT/l/cs_CZ/aEyD7sN4tGU.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1226","964","1201","1201","1226","25","964","1226","262","27","28","3","0","49","220","True","47","","45393","","7","0","P",
"157.240.27.27","166","409","365","1000004650.65","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","263","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/_WeFJu9rVl6.js?_nc_x=Ij3Wp8lg5Kz","-1","42910","42910","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","43096","1000004650.65","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3/yi/r/_WeFJu9rVl6.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1329","964","1227","1227","1329","102","964","1329","365","28","29","3","0","51","220","True","49","","144595","","16","","P",
"157.240.27.27","166","409","134","1000004650.55","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","131","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yd/r/_BDLad9QliC.js?_nc_x=Ij3Wp8lg5Kz","-1","1462","1462","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","1630","1000004650.55","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3/yd/r/_BDLad9QliC.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1098","964","1095","1095","1098","3","964","1098","134","29","30","3","0","31","220","True","29","","3734","","2","","P",
"157.240.27.27","166","420","179","1000004650.56","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","134","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3i8R54/ya/l/cs_CZ/oLjn-H5E5yL.js?_nc_x=Ij3Wp8lg5Kz","-1","26090","26090","","application/x-javascript","High","2718","Sat, 08 Oct 2022 16:32:13 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","26292","1000004650.56","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3i8R54/ya/l/cs_CZ/oLjn-H5E5yL.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1143","964","1098","1098","1143","45","964","1143","179","30","31","3","0","33","220","True","31","","92054","","3","0","P",
"157.240.27.27","166","420","208","1000004650.57","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","179","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3iBLb4/yi/l/cs_CZ/vf6vcqK1e2N.js?_nc_x=Ij3Wp8lg5Kz","-1","17160","17160","","application/x-javascript","High","2718","Sat, 08 Oct 2022 16:23:48 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","17362","1000004650.57","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3iBLb4/yi/l/cs_CZ/vf6vcqK1e2N.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1172","964","1143","1143","1172","29","964","1172","208","31","32","3","0","35","220","True","33","","64947","","3","","P",
"157.240.27.27","166","409","210","1000004650.58","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","210","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yF/r/HSIcBOWyfnS.js?_nc_x=Ij3Wp8lg5Kz","-1","523","523","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","694","1000004650.58","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3/yF/r/HSIcBOWyfnS.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1174","964","1174","1174","1174","0","964","1174","210","32","33","3","0","37","220","True","35","","995","","0","","P",
"157.240.27.27","166","409","394","1000004650.82","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","365","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/dAxX26lvEiZ.js?_nc_x=Ij3Wp8lg5Kz","-1","16707","16707","","application/x-javascript","High","2718","Fri, 07 Oct 2022 20:28:48 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","16911","1000004650.82","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3/y7/r/dAxX26lvEiZ.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1358","964","1329","1329","1358","29","964","1358","394","33","34","3","0","53","220","True","51","","68173","","22","","P",
"157.240.27.27","166","409","399","1000004650.83","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","395","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yv/r/cN-N4Eu_deZ.js?_nc_x=Ij3Wp8lg5Kz","-1","2277","2277","","application/x-javascript","High","2718","Fri, 07 Oct 2022 21:50:13 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","2469","1000004650.83","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3/yv/r/cN-N4Eu_deZ.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1363","964","1359","1359","1363","4","964","1363","399","34","35","3","0","55","220","True","53","","7286","","1","","P",
"157.240.27.27","166","409","404","1000004650.84","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","395","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/JB0CVIbgIKw.js?_nc_x=Ij3Wp8lg5Kz","-1","2748","2748","","application/x-javascript","High","2718","Sat, 08 Oct 2022 14:22:41 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","2918","1000004650.84","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3/yi/r/JB0CVIbgIKw.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1368","964","1359","1359","1368","9","964","1368","404","35","36","3","0","57","220","True","55","","9157","","1","","P",
"157.240.27.27","166","420","429","1000004650.85","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","396","100","-1","-1","31536000","964","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3iRdv4/y7/l/cs_CZ/sdLU8ytqjXx.js?_nc_x=Ij3Wp8lg5Kz","-1","14780","14780","","application/x-javascript","High","2718","Fri, 07 Oct 2022 21:54:08 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","14973","1000004650.85","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","145","/rsrc.php/v3iRdv4/y7/l/cs_CZ/sdLU8ytqjXx.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1393","964","1360","1360","1393","33","964","1393","429","36","37","3","0","59","220","True","57","","46139","","20","","P",
"157.240.30.35","6","840","88","1000004650.90","","","private, no-cache, no-store, must-revalidate","100","211011_BV_1V","-1","MEDIUM","","","-1","88","-1","-1","-1","","1433","","HTTP/2","-1","3","https://www.facebook.com/ajax/bz?__a=1&__ccg=EXCELLENT&__comet_req=0&__csr=&__dyn=7xe6Fo4OQ1PyU9oynFwn84a2i5U4e1Fx-ewSwMxW0DUeUhw5cx60Vo1upE4W0OE2WxO0FE2awt81sbzo5-0me2218w5uwdK0D83mwaS0zE5W08HwSyE158&__hs=18911.BP%3ADEFAULT.2.0.0.0.&__hsi=7017815548774759271-0&__req=1&__rev=1004530411&__s=%3A%3A2nim0k&__spin_b=trunk&__spin_r=1004530411&__spin_t=1633962511&__user=0&dpr=1&jazoest=2909&lsd=AVp4IQ3iuNY","-1","0","","","text/html","High","1494","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","www.facebook.com","166","1000004650.90","","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3idwn4/yT/l/cs_CZ/aEyD7sN4tGU.js?_nc_x=Ij3Wp8lg5Kz","-1","115","/ajax/bz?__a=1&__ccg=EXCELLENT&__comet_req=0&__csr=&__dyn=7xe6Fo4OQ1PyU9oynFwn84a2i5U4e1Fx-ewSwMxW0DUeUhw5cx60Vo1upE4W0OE2WxO0FE2awt81sbzo5-0me2218w5uwdK0D83mwaS0zE5W08HwSyE158&__hs=18911.BP%3ADEFAULT.2.0.0.0.&__hsi=7017815548774759271-0&__req=1&__rev=1004530411&__s=%3A%3A2nim0k&__spin_b=trunk&__spin_r=1004530411&__spin_t=1633962511&__user=0&dpr=1&jazoest=2909&lsd=AVp4IQ3iuNY","-1","","POST","-1","-1","","200","-1","","Facebook","1521","1433","1521","1521","1521","0","1433","1521","88","37","38","3","0","7","","","","","","","","","send",
"157.240.27.27","51","455","58","1000004650.91","0","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","1825","","-1","54","100","-1","100","31536000","1458","","HTTP/2","-1","3","https://static.xx.fbcdn.net/rsrc.php/v3/yx/r/UJP8P9Wk09f.png","-1","1825","","","image/png","Low","1285","Tue, 04 Oct 2022 10:21:00 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","2038","1000004650.91","","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3i9_W4/y_/l/cs_CZ/isZ_9yqZJwt.js?_nc_x=Ij3Wp8lg5Kz","-1","208","/rsrc.php/v3/yx/r/UJP8P9Wk09f.png","-1","","GET","-1","-1","","200","-1","","Facebook","1516","1458","1512","1512","1516","4","1458","1516","58","38","39","3","0","7","147","True","0","","1825","","","","b.getElementDimensions",
"157.240.27.27","51","455","62","1000004650.92","0","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","1267","","-1","60","100","-1","100","31536000","1458","","HTTP/2","-1","3","https://static.xx.fbcdn.net/rsrc.php/v3/yv/r/0IXfX5O1xDB.png","-1","1267","","","image/png","Low","1285","Sat, 01 Oct 2022 16:02:33 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","2191","1000004650.92","","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3i9_W4/y_/l/cs_CZ/isZ_9yqZJwt.js?_nc_x=Ij3Wp8lg5Kz","-1","208","/rsrc.php/v3/yv/r/0IXfX5O1xDB.png","-1","","GET","-1","-1","","200","-1","","Facebook","1520","1458","1518","1518","1520","2","1458","1520","62","39","40","3","0","9","147","True","7","","1267","","","","b.getElementDimensions",
"157.240.27.27","","391","62","1000004650.93","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","54","100","-1","-1","31536000","1475","","HTTP/2","26","3","https://static.xx.fbcdn.net/rsrc.php/yb/r/hLRJ1GG_y0J.ico","-1","4286","4286","","image/x-icon","High","","Tue, 11 Oct 2022 10:19:35 GMT","-1","-1","other","356B6DECD89085369A4D2184C45365BE","static.xx.fbcdn.net","4489","1000004650.93","3131","100","1","-1","","-1","","-1","208","/rsrc.php/yb/r/hLRJ1GG_y0J.ico","-1","","GET","-1","-1","","200","-1","","Facebook","1537","1475","1529","1529","1537","8","1475","1537","62","40","41","3","0","11","220","True","0","","4286","","","","",
"157.240.30.35","6","841","135","1000004650.94","","","private, no-cache, no-store, must-revalidate","100","211011_BV_1V","-1","MEDIUM","","","-1","135","-1","-1","-1","","2441","","HTTP/2","-1","3","https://www.facebook.com/ajax/bz?__a=1&__ccg=EXCELLENT&__comet_req=0&__csr=&__dyn=7xe6Fo4OQ1PyU9oynFwn84a2i5U4e1Fx-ewSwMxW0DUeUhw5cx60Vo1upE4W0OE2WxO0FE2awt81sbzo5-0me2218w5uwdK0D83mwaS0zE5W08HwSyE158&__hs=18911.BP%3ADEFAULT.2.0.0.0.&__hsi=7017815548774759271-0&__req=2&__rev=1004530411&__s=%3A%3A2nim0k&__spin_b=trunk&__spin_r=1004530411&__spin_t=1633962511&__user=0&dpr=1&jazoest=2909&lsd=AVp4IQ3iuNY","-1","0","","","text/html","High","1494","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","356B6DECD89085369A4D2184C45365BE","www.facebook.com","145","1000004650.94","","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3idwn4/yT/l/cs_CZ/aEyD7sN4tGU.js?_nc_x=Ij3Wp8lg5Kz","-1","115","/ajax/bz?__a=1&__ccg=EXCELLENT&__comet_req=0&__csr=&__dyn=7xe6Fo4OQ1PyU9oynFwn84a2i5U4e1Fx-ewSwMxW0DUeUhw5cx60Vo1upE4W0OE2WxO0FE2awt81sbzo5-0me2218w5uwdK0D83mwaS0zE5W08HwSyE158&__hs=18911.BP%3ADEFAULT.2.0.0.0.&__hsi=7017815548774759271-0&__req=2&__rev=1004530411&__s=%3A%3A2nim0k&__spin_b=trunk&__spin_r=1004530411&__spin_t=1633962511&__user=0&dpr=1&jazoest=2909&lsd=AVp4IQ3iuNY","-1","","POST","-1","-1","","200","-1","","Facebook","2576","2441","2576","2576","2576","0","2441","2576","135","41","42","3","0","9","","","","","","","","","send",
