"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function",
"13.107.21.200","0","1072","47","1000023221.16","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","46","50","-1","-1","432000","1197","","HTTP/2","100","3","https://www.bing.com/rp/d1a-5TzKpukERNQP6pl65sX498Q.br.js","-1","5111","5111","","text/javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","5758","1000023221.16","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/d1a-5TzKpukERNQP6pl65sX498Q.br.js","-1","","GET","-1","-1","","200","-1","br","","1244","1197","1243","1243","1244","1","1197","1244","47","10","11","1","0","17","220","True","12970","","0","","2","17","","","oi",
"13.107.21.200","0","1072","202","1000023221.17","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","78","50","-1","-1","432000","1197","","HTTP/2","100","3","https://www.bing.com/rp/xCIXoHA1D9Uh8IIFMrrDlSQuEYg.br.js","-1","93098","93098","","text/javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","93420","1000023221.17","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/xCIXoHA1D9Uh8IIFMrrDlSQuEYg.br.js","-1","","GET","-1","-1","","200","-1","br","","1399","1197","1275","1275","1399","124","1197","1399","202","11","12","1","0","19","220","True","206716","","17","","18","2","","","oi",
"13.107.21.200","0","1072","204","1000023221.18","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","203","50","-1","-1","432000","1197","","HTTP/2","100","3","https://www.bing.com/rp/T0lAQLm87gv5AUytm5v9--Y-Yj0.br.js","-1","201","201","","application/x-javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","511","1000023221.18","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/T0lAQLm87gv5AUytm5v9--Y-Yj0.br.js","-1","","GET","-1","-1","","200","-1","br","","1401","1197","1400","1400","1401","1","1197","1401","204","12","13","1","0","21","220","True","443","","19","","0","","","","oi",
"13.107.21.200","0","1072","312","1000023221.19","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","286","50","-1","-1","432000","1197","","HTTP/2","100","3","https://www.bing.com/rp/EQzAskuAH6b-JRyTiMVHCIVSOg4.br.js","-1","64423","64423","","application/x-javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","64728","1000023221.19","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/EQzAskuAH6b-JRyTiMVHCIVSOg4.br.js","-1","","GET","-1","-1","","200","-1","br","","1509","1197","1483","1483","1509","26","1197","1509","312","13","14","1","0","23","220","True","374771","","21","","25","","","","oi",
"13.107.21.200","0","1072","314","1000023221.20","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","313","50","-1","-1","432000","1198","","HTTP/2","100","3","https://www.bing.com/rp/hUDr5cv9tKe-5diQ3VKxU8ZfGLQ.br.js","-1","1160","1160","","application/x-javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","1437","1000023221.20","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/hUDr5cv9tKe-5diQ3VKxU8ZfGLQ.br.js","-1","","GET","-1","-1","","200","-1","br","","1512","1198","1511","1511","1512","1","1198","1512","314","14","15","1","0","25","220","True","2298","","23","","1","0","","","oi",
"13.107.21.200","0","1072","316","1000023221.22","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","315","50","-1","-1","432000","1198","","HTTP/2","100","3","https://www.bing.com/rp/BZ4UfIeWu9BfKpat2kZG4pw6tmo.br.js","-1","604","604","","application/x-javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","880","1000023221.22","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/BZ4UfIeWu9BfKpat2kZG4pw6tmo.br.js","-1","","GET","-1","-1","","200","-1","br","","1514","1198","1513","1513","1514","1","1198","1514","316","15","16","1","0","27","220","True","1220","","25","","0","","","","oi",
"13.107.21.200","0","1072","313","1000023221.23","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","313","50","-1","-1","432000","1205","","HTTP/2","100","3","https://www.bing.com/rp/ZW8LH3PisO4gltwIEbY0N_vx3Uo.br.js","-1","1927","1927","","application/x-javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","2589","1000023221.23","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/ZW8LH3PisO4gltwIEbY0N_vx3Uo.br.js","-1","","GET","-1","-1","","200","-1","br","","1518","1205","1518","1518","1518","0","1205","1518","313","16","17","1","0","29","220","True","4140","","27","","1","","","","oi",
"13.107.21.200","0","1072","342","1000023221.30","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","341","50","-1","-1","432000","1206","","HTTP/2","100","3","https://www.bing.com/rp/uObc-DdxqYlW3v2ThFF8gzRXABc.br.js","-1","782","782","","application/x-javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","1441","1000023221.30","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/uObc-DdxqYlW3v2ThFF8gzRXABc.br.js","-1","","GET","-1","-1","","200","-1","br","","1548","1206","1547","1547","1548","1","1206","1548","342","17","18","1","0","43","220","True","1516","","41","","1","0","","","oi",
"13.107.21.200","0","1072","337","1000023221.31","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","336","50","-1","-1","432000","1206","","HTTP/2","100","3","https://www.bing.com/rp/n21aGRCN5EKHB3qObygw029dyNU.br.js","-1","806","806","","text/javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","1083","1000023221.31","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/n21aGRCN5EKHB3qObygw029dyNU.br.js","-1","","GET","-1","-1","","200","-1","br","","1543","1206","1542","1542","1543","1","1206","1543","337","18","19","1","0","45","220","True","1589","","43","","0","","","","oi",
"13.107.21.200","0","1072","334","1000023221.32","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","333","50","-1","-1","432000","1206","","HTTP/2","100","3","https://www.bing.com/rp/8CgcSSLayxEVUBf0swP_bQGMId8.br.js","-1","156","156","","application/x-javascript","High","8886","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","814","1000023221.32","0","100","1","-1","","-1","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","122","/rp/8CgcSSLayxEVUBf0swP_bQGMId8.br.js","-1","","GET","-1","-1","","200","-1","br","","1540","1206","1539","1539","1540","1","1206","1540","334","19","20","1","0","47","220","True","226","","45","","0","3","","","oi",
