time,power_consumption.power,URL,Opening Time,Sum of sensor readings,count of sensor readings,average of sensor readings
2021-10-26T17:04:25.308+05:00,0,-,-,3392.980746,827,4.102757855
2021-10-26T17:04:25.811+05:00,0.061709389,-,-,,,-
2021-10-26T17:04:26.313+05:00,0.125215736,-,-,,,-
2021-10-26T17:04:26.817+05:00,0,-,-,,,-
2021-10-26T17:04:27.320+05:00,0,-,-,,,-
2021-10-26T17:04:27.823+05:00,0,-,-,,,-
2021-10-26T17:04:28.327+05:00,0,-,-,,,-
2021-10-26T17:04:28.830+05:00,0,-,-,,,-
2021-10-26T17:04:29.334+05:00,0,-,-,,,-
2021-10-26T17:04:29.838+05:00,0.309830687,-,-,,,-
2021-10-26T17:04:30.845+05:00,0.563182718,-,-,,,-
2021-10-26T17:04:31.348+05:00,0,-,-,,,-
2021-10-26T17:04:31.852+05:00,0,-,-,,,-
2021-10-26T17:04:32.356+05:00,0,-,-,,,-
2021-10-26T17:04:32.860+05:00,0,-,-,,,-
2021-10-26T17:04:33.363+05:00,0,-,-,,,-
2021-10-26T17:04:33.867+05:00,0,-,-,,,-
2021-10-26T17:04:34.370+05:00,0,-,-,,,-
2021-10-26T17:04:34.874+05:00,0.106780067,-,-,,,-
2021-10-26T17:04:35.377+05:00,0,-,-,,,-
2021-10-26T17:04:35.881+05:00,0.050681007,-,-,,,-
2021-10-26T17:04:37.393+05:00,0,-,-,,,-
2021-10-26T17:04:37.896+05:00,0,-,-,,,-
2021-10-26T17:04:38.400+05:00,0.025052049,-,-,,,-
2021-10-26T17:04:38.903+05:00,0,-,-,,,-
2021-10-26T17:04:39.407+05:00,0,-,-,,,-
2021-10-26T17:04:39.910+05:00,0.044408917,-,-,,,-
2021-10-26T17:04:40.414+05:00,0,-,-,,,-
2021-10-26T17:04:40.915+05:00,0.048552403,-,-,,,-
2021-10-26T17:04:41.418+05:00,0,-,-,,,-
2021-10-26T17:04:41.922+05:00,0,-,-,,,-
2021-10-26T17:04:42.425+05:00,0,-,-,,,-
2021-10-26T17:04:42.929+05:00,0,-,-,,,-
2021-10-26T17:04:43.432+05:00,0,-,-,,,-
2021-10-26T17:04:43.936+05:00,0,-,-,,,-
2021-10-26T17:04:44.439+05:00,0,-,-,,,-
2021-10-26T17:05:09.013+05:00,0.011981786,-,-,,,-
2021-10-26T17:05:09.517+05:00,0.101606121,-,-,,,-
2021-10-26T17:05:13.037+05:00,0.31138841,-,-,,,-
2021-10-26T17:05:13.540+05:00,0,-,-,,,-
2021-10-26T17:05:14.044+05:00,0.720910337,-,-,,,-
2021-10-26T17:05:14.548+05:00,0,-,-,,,-
2021-10-26T17:05:15.051+05:00,2.592629488,-,-,,,-
2021-10-26T17:05:17.062+05:00,0.75213762,-,-,,,-
2021-10-26T17:05:22.586+05:00,3.115327544,-,-,,,-
2021-10-26T17:05:23.593+05:00,0.497117915,-,-,,,-
2021-10-26T17:05:24.097+05:00,0.961891595,-,-,,,-
2021-10-26T17:05:24.601+05:00,0.998412872,-,-,,,-
2021-10-26T17:05:25.608+05:00,2.134584749,-,-,,,-
2021-10-26T17:05:26.111+05:00,1.458637216,-,-,,,-
2021-10-26T17:05:26.614+05:00,3.727398096,-,-,,,-
2021-10-26T17:05:28.626+05:00,1.394565877,-,-,,,-
2021-10-26T17:05:29.129+05:00,0.644255403,-,-,,,-
2021-10-26T17:05:30.136+05:00,0.909652881,-,-,,,-
2021-10-26T17:05:30.640+05:00,2.956400197,-,-,,,-
2021-10-26T17:05:31.143+05:00,0.638157561,-,-,,,-
2021-10-26T17:05:32.651+05:00,0.414446504,-,-,,,-
2021-10-26T17:05:33.155+05:00,1.565385635,-,-,,,-
2021-10-26T17:05:33.659+05:00,0.412855487,-,-,,,-
2021-10-26T17:05:34.664+05:00,17.88506825,-,-,,,-
2021-10-26T17:05:36.167+05:00,4.871962667,-,-,,,-
2021-10-26T17:05:38.173+05:00,0.022487687,-,-,,,-
2021-10-26T17:05:39.179+05:00,0,-,-,,,-
2021-10-26T17:05:39.683+05:00,0.131587518,-,-,,,-
2021-10-26T17:05:41.193+05:00,0.061440041,-,-,,,-
2021-10-26T17:05:41.697+05:00,0.051432256,-,-,,,-
2021-10-26T17:05:42.199+05:00,0.840282083,-,-,,,-
2021-10-26T17:05:43.707+05:00,0,-,-,,,-
2021-10-26T17:05:44.210+05:00,0.279498738,-,-,,,-
2021-10-26T17:05:45.218+05:00,0.039343907,-,-,,,-
2021-10-26T17:05:45.721+05:00,0.275449844,-,-,,,-
2021-10-26T17:05:46.224+05:00,0,-,-,,,-
2021-10-26T17:05:47.733+05:00,0.32526375,-,-,,,-
2021-10-26T17:05:48.236+05:00,0.484498173,-,-,,,-
2021-10-26T17:05:48.739+05:00,0.104960895,-,-,,,-
2021-10-26T17:05:50.245+05:00,30.18308197,-,-,,,-
2021-10-26T17:05:50.746+05:00,31.52507657,-,-,,,-
2021-10-26T17:05:52.753+05:00,2.091962439,-,-,,,-
2021-10-26T17:05:53.761+05:00,0.594900112,-,-,,,-
2021-10-26T17:05:54.265+05:00,0.418211695,-,-,,,-
2021-10-26T17:05:54.769+05:00,0.422489208,-,-,,,-
