"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"114.80.179.225","2083","373","318","1000009664.64","","","max-age=86400","0","211011_XK_3S","-1","LOW","","","-1","317","50","-1","-1","84708","3958","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/public/getviewer.js?v=57cf129a","-1","266","266","","application/javascript","Medium","","Tue, 12 Oct 2021 19:30:50 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","503","1000009664.64","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/public/getviewer.js?v=57cf129a","-1","","GET","-1","-1","","200","-1","gzip","","4276","3958","4275","4275","4276","1","3958","4276","318","10","11","1","0","19","","","414","","","","399","","","","",
"114.80.179.225","2084","372","333","1000009664.65","","","max-age=86400","0","211011_XK_3S","-1","LOW","","","-1","322","50","-1","-1","77365","3958","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/web4.0/index_v3.js?v=74932583","-1","8655","8655","","application/javascript","Medium","","Tue, 12 Oct 2021 17:28:27 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","8951","1000009664.65","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/web4.0/index_v3.js?v=74932583","-1","","GET","-1","-1","","200","-1","gzip","","4291","3958","4280","4280","4291","11","3958","4291","333","11","12","1","0","21","","","27930","","","","2","1","","","",
"114.80.179.225","2085","375","334","1000009664.66","","","max-age=86400","0","211011_XK_3S","-1","LOW","","","-1","334","50","-1","-1","8318","3958","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/web3.0/videoJJToH5.js?v=a1487c74","-1","392","392","","application/javascript","Medium","","Mon, 11 Oct 2021 22:17:40 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","679","1000009664.66","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/web3.0/videoJJToH5.js?v=a1487c74","-1","","GET","-1","-1","","200","-1","gzip","","4292","3958","4292","4292","4292","0","3958","4292","334","12","13","1","0","23","","","664","","","","0","","","","",
"114.80.179.225","2087","385","350","1000009664.67","","","max-age=86400","0","211011_XK_3S","-1","LOW","","","-1","338","50","-1","-1","39450","3958","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/public/4.0/popLoginRegistNew.js?v=06f9cb7e","-1","9007","9007","","application/javascript","Medium","","Tue, 12 Oct 2021 06:56:32 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","9305","1000009664.67","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/public/4.0/popLoginRegistNew.js?v=06f9cb7e","-1","","GET","-1","-1","","200","-1","gzip","","4308","3958","4296","4296","4308","12","3958","4308","350","13","14","1","0","25","","","49161","","","","1","","","","",
"114.80.179.225","163","463","408","1000009664.76","0","","max-age=86400","0","211011_XK_3S","-1","MEDIUM","41949","","-1","339","50","-1","100","7825","3971","","HTTP/2","-1","3","https://static.zhanqi.tv/assets/web/v3/static/i/index/index/icons.png?2019041001","-1","41949","","","image/png","Low","","Mon, 11 Oct 2021 22:09:27 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","42302","1000009664.76","","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/i/index/index/icons.png?2019041001","-1","","GET","-1","-1","","200","-1","","","4379","3971","4310","4310","4379","69","3971","4379","408","14","15","1","0","27","","","41949","","","","","","","","",
"114.80.179.225","1620","452","355","1000009664.155","0","","max-age=86400","0","211011_XK_3S","-1","MEDIUM","7248","","-1","345","50","-1","100","16280","4036","","HTTP/2","-1","3","https://static.zhanqi.tv/assets/web/v3/static/i/index/live-bg.png","-1","7248","","","image/png","Low","","Tue, 12 Oct 2021 00:30:22 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","7549","1000009664.155","","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/i/index/live-bg.png","-1","","GET","-1","-1","","200","-1","","","4391","4036","4381","4381","4391","10","4036","4391","355","15","16","1","0","29","","","7248","","","","","","","","",
"114.80.179.225","1620","404","306","1000009664.133","","","max-age=2592000","-1","211011_XK_3S","-1","MEDIUM","","","-1","306","-1","-1","-1","","4089","","HTTP/2","-1","3","https://img2.zhanqi.tv/uploads/raw/2019/07/a8efd-2019072214572901045.jpeg","-1","264","","","text/html","Low","","Mon, 25 Oct 2021 16:25:33 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","img2.zhanqi.tv","0","1000009664.133","","-1","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/uploads/raw/2019/07/a8efd-2019072214572901045.jpeg","-1","","GET","-1","-1","","302","-1","","","4395","4089","4395","4395","4395","0","4089","4395","306","16","17","1","0","","","","","","","","","","","","",
"114.80.179.225","2088","381","311","1000009664.68","","","max-age=86400","0","211011_XK_3S","-1","LOW","","","-1","311","50","-1","-1","38730","4278","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/lib/sdk/reyunh5.min1.1.0.js?v=6bf76da3","-1","2927","2927","","application/javascript","Medium","","Tue, 12 Oct 2021 06:44:32 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","3269","1000009664.68","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/lib/sdk/reyunh5.min1.1.0.js?v=6bf76da3","-1","","GET","-1","-1","","200","-1","gzip","","4589","4278","4589","4589","4589","0","4278","4589","311","17","18","1","0","33","","","8018","","","","1","0","","","",
"114.80.179.225","3","399","393","1000009664.176","","","no-store, no-cache, must-revalidate","-1","211011_XK_3S","-1","HIGHEST","","","-1","392","-1","-1","-1","","4286","","HTTP/2","-1","3","https://www.zhanqi.tv/api/public/room.viewer?uid=108821076&_t=27233039","-1","278","","","application/json","VeryHigh","12670","Thu, 19 Nov 1981 08:52:00 GMT","-1","-1","script","49FA985097E4F5A8DF9DD7DF6999FB7C","www.zhanqi.tv","834","1000009664.176","","100","1","-1","","-1","https://static.zhanqi.tv/assets/web/v3/static/j/pkg/zhanqi.js?v=60f7069f","-1","119","/api/public/room.viewer?uid=108821076&_t=27233039","-1","","GET","-1","-1","","200","-1","","","4679","4286","4678","4678","4679","1","4286","4679","393","18","19","1","0","35","256","True","278","","0","","","","send","","",
"114.80.179.225","1320","390","321","1000009664.50","0","","max-age=86400","0","211011_XK_3S","-1","LOWEST","1787","","-1","321","50","-1","100","18189","4293","","HTTP/2","-1","3","https://static.zhanqi.tv/assets/web/v3/static/i/loading.gif","-1","1787","","","image/gif","Low","","Tue, 12 Oct 2021 01:02:11 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","2086","1000009664.50","","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/i/loading.gif","-1","","GET","-1","-1","","200","-1","","","4614","4293","4614","4614","4614","0","4293","4614","321","19","20","1","0","39","","","1787","","","","","","","","",
