"minify_total","score_keep-alive","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","cpu.EventDispatch","bytesOutDoc","result","docTime","score_compress","image_savings","cpu.ParseHTML","requestsDoc","score_cookies","score_cdn","cpu.Idle","optimization_checked","score_minify","gzip_total","responses_404","loadTime","URL","score_combine","score_etags","cpu.PlatformResourceSendRequest","image_total","responses_200","minify_savings","score_progressive_jpeg","base_page_cdn","score_gzip","bytesInDoc","cached","score_cache","responses_other","cpu.ResourceSendRequest","fullyLoaded","requests","cpu.CommitLoad","bytesIn","browserVersion","fullyLoadedCPUms","browser_name","base_page_cname","eventName","browser_version","base_page_dns_server","date","fullyLoadedCPUpct","base_page_ip_ptr","test_run_time_ms","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","render","lastVisualChange","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","run","step","TTFB","domTime","aft","titleTime","loadEventStart","loadEventEnd","domContentLoadedEventStart","domContentLoadedEventEnd","domLoading","domInteractive","server_rtt","firstPaint","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id",
"-1","-1","0","386","0","1","0","2","0","0","404","0","-1","0","0","0","-1","-1","278","1","-1","0","1","278","http://myshopify.com","-1","-1","0","0","0","-1","-1","","-1","0","0","-1","0","0","278","1","0","0","68.0.3440.75","630","Chrome","","Step_1","68.0.3440.75","","1633982909.4739","1.9540942929","","1675","0","0","0","0","0","0","0","0","2","278","278","278","281","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211011_Y8_40",
"-1","-1","0","386","0","3","0","3","0","0","404","0","-1","0","1","0","-1","-1","265","1","-1","0","1","266","http://myshopify.com","-1","-1","0","0","0","-1","-1","","-1","0","0","-1","2","0","266","3","0","0","68.0.3440.75","579","Chrome","","Step_1","68.0.3440.75","","1633982917.7485","1.7984496131","","1440","0","0","0","0","0","0","0","0","2","229","221","221","224","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211011_Y8_40",
"-1","-1","0","386","0","1","0","3","0","0","404","0","-1","0","","0","-1","-1","230","1","-1","0","1","230","http://myshopify.com","-1","-1","0","0","0","-1","-1","","-1","0","0","-1","0","0","230","1","0","0","68.0.3440.75","579","Chrome","","Step_1","68.0.3440.75","","1633982926.021","1.8012422356","","1318","0","0","0","0","0","0","0","0","2","230","230","230","234","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211011_Y8_40",
