"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","score_cookies","basePageSSLTime","docTime","domContentLoadedEventEnd","image_savings","cpu.ParseHTML","requestsDoc","cpu.v8.compile","cpu.CommitLoad","firstMeaningfulPaint","cpu.FunctionCall","firstTextPaint","firstPaint","score_cdn","cpu.Idle","optimization_checked","image_total","score_minify","gzip_total","responses_404","cpu.TimerFire","cpu.Layout","loadTime","URL","score_combine","firstContentfulPaint","cpu.PlatformResourceSendRequest","firstLayout","score_etags","loadEventStart","cpu.EvaluateScript","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","bytesInDoc","firstImagePaint","score_keep-alive","loadEventEnd","cached","score_cache","responses_other","cpu.UpdateLayerTree","cpu.ResourceSendRequest","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","fullyLoadedCPUms","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","eventName","base_page_cname","document_URL","date","PerformancePaintTiming.first-paint","domElements","browserVersion","document_origin","browser_name","fullyLoadedCPUpct","domComplete","document_hostname","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.fetchStart","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.responseEnd","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.firstTextPaint","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","FirstInteractive","TimeToInteractive","TTIMeasurementEnd","LastInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id",
"-1","3","0","1774","0","4","0","3","Fastly","1","1774","0","2CE0E3F2A523FF5E16C397B5B1E9523E-1","-1","54","3037","475","0","7","4","1","0","507","1","507","294.3000011146","100","2975","1","43","-1","126294","0","1","21","3037","http://panda.tv","-1","294","0","286","-1","3036","28","-1","-1","475","100","0","100","475","https://panda.tv/","127807","294","100","3036","0","-1","1","0","0","7EB7C52C355F11FEF17FB7D594E0E93B","3037","4","1","272","1","127807","7741","68.0.3440.75","ac1.nstld.com","1110","294.3000011146","cdn-185-199-111-153.github.com","Step_1","","https://panda.tv/","1633982451.6177","294.3000011146","52","68.0.3440.75","https://panda.tv","Chrome","1.8196721312","3036","panda.tv","500","500","300","318","300","300","500","500","2","128","128","274","274","278","286","294","294","294","507","459","475","475","475","507","507","3036","3036","3036","475","475","5041","475","1","1","46223","46223","0","0","0","0","0","0","0","0","112942","2","158040","14566","1","39639","0","0","0","299","1","43","0","0","0","0","0","0","0","0","0","0","0","0","211011_0B_3T",
"-1","3","0","1772","0","4","0","3","Fastly","0","1772","0","FEB6B835A865BF3AC72382B0821ECFBA-1","-1","58","3094","440","0","6","4","1","0","472","1","472","253.6000013351","100","2965","1","43","-1","126294","0","1","21","3094","http://panda.tv","-1","254","0","247","-1","3094","96","-1","-1","440","100","0","100","440","https://panda.tv/","127809","254","100","3094","0","-1","1","0","0","67DDF31563900A26A15B66B58C20E9D8","3094","4","1","234","1","127809","7659","68.0.3440.75","ac2.nstld.com","2119","253.6000013351","cdn-185-199-111-153.github.com","Step_1","","https://panda.tv/","1633982483.432","253.6000013351","52","68.0.3440.75","https://panda.tv","Chrome","3.5528741412","3094","panda.tv","400","400","200","218","200","200","400","400","2","86","86","237","237","240","247","253","253","253","471","421","440","440","440","471","471","3094","3094","3094","","","5101","2652","2","1","44688","44688","0","0","0","0","0","0","0","0","112944","2","158040","14566","1","39639","0","0","0","299","1","43","0","0","0","0","0","0","0","0","0","0","0","0","211011_0B_3T",
"-1","3","0","1774","0","4","0","3","Fastly","1","1774","0","E76596210816939288F3322466611058-1","-1","56","3097","525","0","7","4","1","0","560","1","560","342.1000000089","100","3035","1","43","-1","126294","0","1","23","3097","http://panda.tv","-1","342","0","336","-1","3097","26","-1","-1","525","100","0","100","525","https://panda.tv/","127808","342","100","3097","0","-1","1","0","0","9F037F1C002468CFA04D42BCA38D741C","3097","4","1","323","1","127808","8311","68.0.3440.75","ac2.nstld.com","1359","342.1000000089","cdn-185-199-111-153.github.com","Step_1","","https://panda.tv/","1633982497.8187","342.1000000089","52","68.0.3440.75","https://panda.tv","Chrome","2.2038567494","3097","panda.tv","600","600","400","416","400","400","600","600","2","178","178","325","325","328","336","342","342","342","559","509","525","525","525","559","559","3097","3097","3097","525","525","5102","525","3","1","46073","46073","0","0","0","0","0","0","0","0","112943","2","158040","14566","1","39639","0","0","0","299","1","43","0","0","0","0","0","0","0","0","0","0","0","0","211011_0B_3T",
