"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall",
"91.198.174.192","","396","58","F77F2013E17269F86720DF5AD1D925E1-1","","","","-1","211011_3W_3G","-1","VeryHigh","","","-1","58","-1","115","-1","","236","443","HTTP/2","-1","3","https://wikipedia.org/","236","234","","ssl/wikipedia.org:443","text/html","VeryHigh","","","-1","-1","script","E12D2BAB9B7A6E0F1CFC8D1646F57035","wikipedia.org","0","F77F2013E17269F86720DF5AD1D925E1","","-1","1","-1","","-1","","53","114","/","168","39002","GET","-1","168","","301","68","","","294","236","294","294","294","0","115","294","179","1","2","2","0","","","","","","",
"91.198.174.192","","471","86","F77F2013E17269F86720DF5AD1D925E1-2","","","s-maxage=86400, must-revalidate, max-age=3600","-1","211011_3W_3G","-1","VeryHigh","","","-1","83","-1","-1","-1","","297","","HTTP/2","100","3","https://www.wikipedia.org/","-1","18672","18672","","text/html","VeryHigh","","","-1","-1","script","E12D2BAB9B7A6E0F1CFC8D1646F57035","www.wikipedia.org","18897","F77F2013E17269F86720DF5AD1D925E1","0","100","1","-1","","-1","","-1","114","/","-1","","GET","-1","-1","","200","-1","gzip","","383","297","380","380","383","3","297","383","86","2","3","2","0","3","1","77693","1","2","0",
"91.198.174.192","23","514","84","1000016341.4","0","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","15829","","-1","79","0","-1","100","2560","392","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","15829","","","image/png","Low","","Mon, 10 Oct 2022 18:48:39 GMT","-1","-1","parser","E12D2BAB9B7A6E0F1CFC8D1646F57035","www.wikipedia.org","16035","1000016341.4","","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","","GET","-1","-1","","200","-1","","","476","392","471","471","476","5","392","476","84","3","4","2","0","5","","15829","","","",
"91.198.174.192","826","476","91","1000016341.8","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOW","","","-1","91","0","-1","-1","2007","400","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","614","","","application/javascript","Medium","","","-1","-1","parser","E12D2BAB9B7A6E0F1CFC8D1646F57035","www.wikipedia.org","754","1000016341.8","","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","","GET","-1","-1","","200","-1","","","491","400","491","491","491","0","400","491","91","4","5","2","0","9","","614","","0","",
"91.198.174.192","824","475","90","1000016341.7","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOW","","","-1","90","50","-1","-1","85473","400","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","8370","8370","","application/javascript","Medium","","","-1","-1","parser","E12D2BAB9B7A6E0F1CFC8D1646F57035","www.wikipedia.org","8515","1000016341.7","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","","GET","-1","-1","","200","-1","gzip","","490","400","490","490","490","0","400","490","90","5","6","2","0","7","","23249","","18","2",
"91.198.174.192","561","512","113","1000016341.9","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","","","-1","94","50","-1","-1","85854","406","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","17557","17557","","image/svg+xml","Low","","Tue, 11 Oct 2022 19:25:01 GMT","-1","-1","parser","E12D2BAB9B7A6E0F1CFC8D1646F57035","www.wikipedia.org","17744","1000016341.9","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","","GET","-1","-1","","200","-1","gzip","","519","406","500","500","519","19","406","519","113","6","7","2","0","11","","49631","","","",
"91.198.174.192","791","517","58","1000016341.10","0","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","2066","","-1","58","50","-1","100","82415","531","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","2066","","","image/png","Low","","Tue, 11 Oct 2022 18:29:38 GMT","-1","-1","parser","E12D2BAB9B7A6E0F1CFC8D1646F57035","www.wikipedia.org","2205","1000016341.10","","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","","GET","-1","-1","","200","-1","","","589","531","589","589","589","0","531","589","58","7","8","2","0","13","","2066","","","",
"91.198.174.192","","489","56","1000016341.13","","","max-age=31536000","0","211011_3W_3G","-1","MEDIUM","","","-1","54","100","-1","-1","31515489","599","","HTTP/2","100","3","https://www.wikipedia.org/static/favicon/wikipedia.ico","-1","1035","1035","","image/vnd.microsoft.icon","High","","Tue, 11 Oct 2022 13:45:16 GMT","-1","-1","other","E12D2BAB9B7A6E0F1CFC8D1646F57035","www.wikipedia.org","1235","1000016341.13","0","100","1","-1","","-1","","-1","114","/static/favicon/wikipedia.ico","-1","","GET","-1","-1","","200","-1","gzip","","655","599","653","653","655","2","599","655","56","8","9","2","0","15","","2734","","","",
"91.198.174.192","","386","58","A0B4E9558F7A8BC15D5CDF113D7D6F99","","","","-1","211011_3W_3G","3","HIGHEST","","","-1","58","-1","3","-1","","56","80","http/1.1","-1","3","http://wikipedia.org/","-1","0","","wikipedia.org:80","","VeryHigh","","","-1","-1","script","D2E074C2DFBA15B5E7AFADA78C613140","wikipedia.org","0","A0B4E9558F7A8BC15D5CDF113D7D6F99","","-1","0","3","","-1","","53","104","/","-1","52392","GET","0","56","","301","-1","","","114","56","114","114","114","0","3","114","111","0","1","3","0","","","","","","",
"91.198.174.192","","396","57","A0B4E9558F7A8BC15D5CDF113D7D6F99-1","","","","-1","211011_3W_3G","-1","VeryHigh","","","-1","57","-1","115","-1","","230","443","HTTP/2","-1","3","https://wikipedia.org/","230","234","","ssl/wikipedia.org:443","text/html","VeryHigh","","","-1","-1","script","D2E074C2DFBA15B5E7AFADA78C613140","wikipedia.org","0","A0B4E9558F7A8BC15D5CDF113D7D6F99","","-1","1","-1","","-1","","52","115","/","167","39028","GET","-1","167","","301","63","","","287","230","287","287","287","0","115","287","172","1","2","3","0","","","","","","",
"91.198.174.192","","471","84","A0B4E9558F7A8BC15D5CDF113D7D6F99-2","","","s-maxage=86400, must-revalidate, max-age=3600","-1","211011_3W_3G","-1","VeryHigh","","","-1","81","-1","-1","-1","","290","","HTTP/2","100","3","https://www.wikipedia.org/","-1","18672","18672","","text/html","VeryHigh","","","-1","-1","script","D2E074C2DFBA15B5E7AFADA78C613140","www.wikipedia.org","18895","A0B4E9558F7A8BC15D5CDF113D7D6F99","0","100","1","-1","","-1","","-1","115","/","-1","","GET","-1","-1","","200","-1","gzip","","374","290","371","371","374","3","290","374","84","2","3","3","0","3","1","77693","1","1","0",
"91.198.174.192","23","514","80","1000017030.4","0","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","15829","","-1","77","0","-1","100","2549","382","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","15829","","","image/png","Low","","Mon, 10 Oct 2022 18:48:39 GMT","-1","-1","parser","D2E074C2DFBA15B5E7AFADA78C613140","www.wikipedia.org","16035","1000017030.4","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","","GET","-1","-1","","200","-1","","","462","382","459","459","462","3","382","462","80","3","4","3","0","5","","15829","","","",
"91.198.174.192","824","475","88","1000017030.7","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOW","","","-1","87","50","-1","-1","85462","390","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","8370","8370","","application/javascript","Medium","","","-1","-1","parser","D2E074C2DFBA15B5E7AFADA78C613140","www.wikipedia.org","8515","1000017030.7","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","","GET","-1","-1","","200","-1","gzip","","478","390","477","477","478","1","390","478","88","4","5","3","0","7","","23249","","20","2",
"91.198.174.192","826","476","89","1000017030.8","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOW","","","-1","88","0","-1","-1","1996","390","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","614","","","application/javascript","Medium","","","-1","-1","parser","D2E074C2DFBA15B5E7AFADA78C613140","www.wikipedia.org","754","1000017030.8","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","","GET","-1","-1","","200","-1","","","479","390","478","478","479","1","390","479","89","5","6","3","0","9","","614","","0","",
"91.198.174.192","561","512","113","1000017030.9","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","","","-1","90","50","-1","-1","85842","395","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","17557","17557","","image/svg+xml","Low","","Tue, 11 Oct 2022 19:25:01 GMT","-1","-1","parser","D2E074C2DFBA15B5E7AFADA78C613140","www.wikipedia.org","17744","1000017030.9","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","","GET","-1","-1","","200","-1","gzip","","508","395","485","485","508","23","395","508","113","6","7","3","0","11","","49631","","","",
"91.198.174.192","791","517","57","1000017030.10","0","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","2066","","-1","56","50","-1","100","82404","535","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","2066","","","image/png","Low","","Tue, 11 Oct 2022 18:29:38 GMT","-1","-1","parser","D2E074C2DFBA15B5E7AFADA78C613140","www.wikipedia.org","2205","1000017030.10","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","","GET","-1","-1","","200","-1","","","592","535","591","591","592","1","535","592","57","7","8","3","0","13","","2066","","","",
"91.198.174.192","","489","54","1000017030.13","","","max-age=31536000","0","211011_3W_3G","-1","MEDIUM","","","-1","53","100","-1","-1","31515478","610","","HTTP/2","100","3","https://www.wikipedia.org/static/favicon/wikipedia.ico","-1","1035","1035","","image/vnd.microsoft.icon","High","","Tue, 11 Oct 2022 13:45:16 GMT","-1","-1","other","D2E074C2DFBA15B5E7AFADA78C613140","www.wikipedia.org","1235","1000017030.13","0","100","1","-1","","-1","","-1","115","/static/favicon/wikipedia.ico","-1","","GET","-1","-1","","200","-1","gzip","","664","610","663","663","664","1","610","664","54","8","9","3","0","15","","2734","","","",
