"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function",
"79.133.176.229","1998","348","114","1000024404.31","","","max-age=120","0","211011_SS_3K","-1","LOW","","","-1","113","0","-1","-1","75","2425","","HTTP/2","27","3","https://news.sina.com.cn/sso/user_panel_homepage.js","-1","28697","28697","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:49:04 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","news.sina.com.cn","29292","1000024404.31","20706","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/sso/user_panel_homepage.js","-1","","GET","-1","-1","","200","-1","","","2539","2425","2538","2538","2539","1","2425","2539","114","10","11","1","0","9","","","28697","","","","5","","","","",
"2.21.74.51","3667","359","98","1000024404.73","","","max-age=42151","0","211011_SS_3K","-1","LOW","","","-1","97","50","-1","-1","42151","2457","443","http/1.1","100","3","https://d3.sina.com.cn/d1images/sinaads_entry/sinaads_entry_index.js","-1","1343","1343","ssl/d3.sina.com.cn:443","application/x-javascript","Medium","","Tue, 12 Oct 2021 07:30:41 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","d3.sina.com.cn","2411","1000024404.73","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","231","/d1images/sinaads_entry/sinaads_entry_index.js","-1","39500","GET","-1","-1","","200","-1","gzip","","2555","2457","2554","2554","2555","1","2457","2555","98","11","12","1","0","","","","4627","","","","0","","","","",
"2.21.74.48","811","420","74","1000024404.150","0","","max-age=30009838","0","211011_SS_3K","-1","MEDIUM","14175","","-1","73","100","-1","100","30009838","2636","443","http/1.1","-1","3","https://n.sinaimg.cn/default/740cdb5d/20210924/netservice_new.png","-1","14175","","ssl/n.sinaimg.cn:443","image/png","Low","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n.sinaimg.cn","15660","1000024404.150","","100","1","-1","","-1","https://www.sina.com.cn/","-1","233","/default/740cdb5d/20210924/netservice_new.png","-1","53490","GET","-1","-1","","200","-1","","","2710","2636","2709","2709","2710","1","2636","2710","74","12","13","1","0","","","","14175","","","","","","","","",
"2.21.74.48","811","399","78","1000024404.151","0","","max-age=26219885","0","211011_SS_3K","-1","MEDIUM","3268","","-1","76","100","2424","100","26219885","2640","443","http/1.1","-1","3","https://n.sinaimg.cn/news/sinahome/jubao.png","2632","3268","","ssl/n.sinaimg.cn:443","image/png","Low","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n.sinaimg.cn","4750","1000024404.151","","100","1","-1","","-1","https://www.sina.com.cn/","35","298","/news/sinahome/jubao.png","2459","53496","GET","-1","2459","","200","173","","","2718","2640","2716","2716","2718","2","2424","2718","286","13","14","1","0","","","","3268","","","","","","","","",
"2.21.74.48","811","414","101","1000024404.152","0","","max-age=30009876","0","211011_SS_3K","-1","MEDIUM","9884","","-1","101","100","2424","100","30009876","2641","443","http/1.1","-1","3","https://n.sinaimg.cn/default/740cdb5d/20210924/baoguang.png","2633","9884","","ssl/n.sinaimg.cn:443","image/png","Low","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n.sinaimg.cn","11367","1000024404.152","","100","1","-1","","-1","https://www.sina.com.cn/","36","293","/default/740cdb5d/20210924/baoguang.png","2460","53494","GET","-1","2460","","200","173","","","2742","2641","2742","2742","2742","0","2424","2742","310","14","15","1","0","","","","9884","","","","","","","","",
"2.21.74.48","811","370","106","1000024404.154","0","","max-age=13328550","0","211011_SS_3K","-1","MEDIUM","4143","","-1","105","100","2457","100","13328550","2641","443","http/1.1","-1","3","https://n.sinaimg.cn/www/index/12377app.png","2633","4143","","ssl/n.sinaimg.cn:443","image/png","Low","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n.sinaimg.cn","5686","1000024404.154","","100","1","-1","","-1","https://www.sina.com.cn/","119","324","/www/index/12377app.png","2576","53498","GET","-1","2576","","200","57","","","2747","2641","2746","2746","2747","1","2457","2747","282","15","16","1","0","","","","4143","","","","","","","","",
"79.133.176.229","7038","374","154","1000024404.223","","","max-age=120","0","211011_SS_3K","-1","LOW","","","-1","120","0","-1","-1","74","2641","","HTTP/2","100","3","https://www.sina.com.cn/edublk/college_json.js","-1","21794","21794","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:49:07 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","www.sina.com.cn","22413","1000024404.223","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/edublk/college_json.js","-1","","GET","-1","-1","","200","-1","gzip","","2795","2641","2761","2761","2795","34","2641","2795","154","16","17","1","0","11","183","True","143835","","0","","5","","","","",
"2.21.74.48","811","438","84","1000024404.153","1843","","max-age=13328553","0","211011_SS_3K","-1","MEDIUM","4631","","-1","83","100","2535","60","13328553","2674","443","http/1.1","-1","3","https://n.sinaimg.cn/default/1e20c22f/20170314/WangShangYouHaiXinXiJuBaoZhuanQu.jpg","2674","4631","","ssl/n.sinaimg.cn:443","image/jpeg","Low","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n.sinaimg.cn","6206","1000024404.153","","100","1","-1","","-1","https://www.sina.com.cn/","98","385","/default/1e20c22f/20170314/WangShangYouHaiXinXiJuBaoZhuanQu.jpg","2635","53502","GET","-1","2633","","200","39","","","2758","2674","2757","2757","2758","1","2535","2758","221","17","18","1","0","","","","4631","","","","","","50","1","",
"2.21.74.48","811","380","133","1000024404.142","0","","max-age=12983567","0","211011_SS_3K","-1","MEDIUM","9313","","-1","132","100","2533","100","12983567","2680","443","http/1.1","-1","3","https://n.sinaimg.cn/index/mid_article/images/ask.png","2680","9313","","ssl/n.sinaimg.cn:443","image/png","Low","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n.sinaimg.cn","10808","1000024404.142","","100","1","-1","","-1","https://www.sina.com.cn/","100","356","/index/mid_article/images/ask.png","2635","53500","GET","-1","2633","","200","45","","","2813","2680","2812","2812","2813","1","2533","2813","278","18","19","1","0","","","","9313","","","","","","","","",
"79.133.176.229","1853","337","153","1000024404.29","","","max-age=120","0","211011_SS_3K","-1","MEDIUM","","","-1","134","0","-1","-1","75","2682","","HTTP/2","100","3","https://i.sso.sina.com.cn/js/ssologin.js","-1","13053","13053","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:49:10 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","i.sso.sina.com.cn","13598","1000024404.29","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/js/ssologin.js","-1","","GET","-1","-1","","200","-1","gzip","","2835","2682","2816","2816","2835","19","2682","2835","153","19","20","1","0","13","","","42135","","","","3","","","","",
