"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"163.171.133.124","152","412","239","1000032466.15","","","max-age=86400","100","211011_X9_3C","-1","MEDIUM","","","-1","231","50","-1","-1","86399","2322","","HTTP/2","100","3","https://storage.360buyimg.com/quark-platform/component/standard/5cd436279a6ea5003becd5a7__5ee34e58fc685b3ecdd0f078.js","-1","5645","5645","","application/javascript","High","","Wed, 24 Nov 2021 17:13:04 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","6233","1000032466.15","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/quark-platform/component/standard/5cd436279a6ea5003becd5a7__5ee34e58fc685b3ecdd0f078.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2561","2322","2553","2553","2561","8","2322","2561","239","10","11","1","0","17","","","","","15920","","3","","","","",
"163.171.133.124","32","367","58","1000032466.5","","","max-age=86400","100","211011_X9_3C","-1","HIGHEST","","","-1","57","50","-1","-1","86399","2322","","HTTP/2","100","3","https://storage.360buyimg.com/portalstatic/common.min.css","-1","481","481","","text/css","VeryHigh","","Wed, 24 Nov 2021 17:13:04 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","1077","1000032466.5","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/portalstatic/common.min.css","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2380","2322","2379","2379","2380","1","2322","2380","58","11","12","1","0","5","","","","","1047","","","","","","",
"163.171.133.124","430","350","259","1000032466.18","","","max-age=86400","100","211011_X9_3C","-1","MEDIUM","","","-1","259","50","-1","-1","86399","2323","","HTTP/2","100","3","https://storage.360buyimg.com/atom-assets/js/console.js","-1","447","447","","application/x-javascript","High","","Tue, 07 Dec 2021 17:33:21 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","1044","1000032466.18","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/atom-assets/js/console.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2582","2323","2582","2582","2582","0","2323","2582","259","12","13","1","0","23","","","","","676","","3","","","","",
"163.171.133.124","104","364","304","1000032466.11","","","max-age=3600","0","211011_X9_3C","-1","MEDIUM","","","-1","302","0","-1","-1","3599","2323","","HTTP/2","100","3","https://static.360buyimg.com/webstatic/getprice/1.0.0/js/price.min.js","-1","1257","1257","","application/javascript","High","","Mon, 11 Oct 2021 19:45:43 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","static.360buyimg.com","1795","1000032466.11","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/webstatic/getprice/1.0.0/js/price.min.js","-1","","GET","-1","-1","","200","-1","gzip","","2627","2323","2625","2625","2627","2","2323","2627","304","13","14","1","0","29","","","","","2912","","3","","","","",
"163.171.133.124","44","350","260","1000032466.7","","","max-age=3600","0","211011_X9_3C","-1","MEDIUM","","","-1","259","0","-1","-1","3599","2323","","HTTP/2","100","3","https://static.360buyimg.com/mtd/pc/cms/js/o2_ua.min.js","-1","1056","1056","","application/javascript","High","","Mon, 11 Oct 2021 19:44:24 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","static.360buyimg.com","1584","1000032466.7","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/mtd/pc/cms/js/o2_ua.min.js","-1","","GET","-1","-1","","200","-1","gzip","","2583","2323","2582","2582","2583","1","2323","2583","260","14","15","1","0","25","","","","","2458","","6","","","","",
"163.171.133.124","78","349","276","1000032466.8","","","max-age=3600","0","211011_X9_3C","-1","MEDIUM","","","-1","275","0","-1","-1","3599","2323","","HTTP/2","100","3","https://static.360buyimg.com/mtd/pc/base/1.0.0/base.js","-1","7238","7238","","application/javascript","High","","Mon, 11 Oct 2021 19:44:24 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","static.360buyimg.com","7779","1000032466.8","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/mtd/pc/base/1.0.0/base.js","-1","","GET","-1","-1","","200","-1","gzip","","2599","2323","2598","2598","2599","1","2323","2599","276","15","16","1","0","27","","","","","18041","","3","","","","",
"163.171.133.124","31","594","283","1000032466.4","","","max-age=3600","0","211011_X9_3C","-1","HIGHEST","","","-1","279","0","-1","-1","2855","2335","","HTTP/2","100","3","https://misc.360buyimg.com/??jdf/1.0.0/unit/ui-base/5.0.0/ui-base.css,jdf/1.0.0/unit/shortcut/5.0.0/shortcut.css,jdf/1.0.0/unit/global-header/5.0.0/global-header.css,jdf/1.0.0/unit/myjd/5.0.0/myjd.css,jdf/1.0.0/unit/nav/5.0.0/nav.css,jdf/1.0.0/unit/shoppingcart/5.0.0/shoppingcart.css","-1","10913","10913","","text/css","VeryHigh","","Mon, 11 Oct 2021 20:20:20 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","misc.360buyimg.com","11437","1000032466.4","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/??jdf/1.0.0/unit/ui-base/5.0.0/ui-base.css,jdf/1.0.0/unit/shortcut/5.0.0/shortcut.css,jdf/1.0.0/unit/global-header/5.0.0/global-header.css,jdf/1.0.0/unit/myjd/5.0.0/myjd.css,jdf/1.0.0/unit/nav/5.0.0/nav.css,jdf/1.0.0/unit/shoppingcart/5.0.0/shoppingcart.css","-1","","GET","-1","-1","","200","-1","gzip","","2618","2335","2614","2614","2618","4","2335","2618","283","16","17","1","0","31","","","","","59274","","","","","","",
"163.171.133.124","42","379","345","1000032466.6","","","max-age=3600","0","211011_X9_3C","-1","MEDIUM","","","-1","289","0","-1","-1","2967","2335","","HTTP/2","100","3","https://misc.360buyimg.com/jdf/??/1.0.0/unit/base/5.0.0/base.js,/lib/jquery-1.6.4.js","-1","37858","37858","","application/javascript","High","","Mon, 11 Oct 2021 20:22:12 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","misc.360buyimg.com","38422","1000032466.6","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/jdf/??/1.0.0/unit/base/5.0.0/base.js,/lib/jquery-1.6.4.js","-1","","GET","-1","-1","","200","-1","gzip","","2680","2335","2624","2624","2680","56","2335","2680","345","17","18","1","0","33","","","","","106964","","20","51","","","",
"163.171.133.124","1","349","67","1000032466.26","","","max-age=3600","0","211011_X9_3C","-1","LOWEST","","","-1","65","0","-1","-1","3599","2717","","HTTP/2","100","3","https://misc.360buyimg.com/jdf/2.0.0/ui/ui/1.0.0/ui.js","-1","6500","6500","","application/javascript","Low","1416","Mon, 11 Oct 2021 20:09:47 GMT","-1","-1","script","67742484240F25720D5E8B9783E681C3","misc.360buyimg.com","7062","1000032466.26","0","100","1","-1","","-1","https://misc.360buyimg.com/jdf/??/1.0.0/unit/base/5.0.0/base.js,/lib/jquery-1.6.4.js","-1","117","/jdf/2.0.0/ui/ui/1.0.0/ui.js","-1","","GET","-1","-1","","200","-1","gzip","","2784","2717","2782","2782","2784","2","2717","2784","67","18","19","1","0","35","","","","","17852","","6","","o","","",
"163.171.133.124","258","412","61","1000032466.45","","","max-age=7776000","100","211011_X9_3C","-1","LOWEST","","","-1","61","100","-1","-1","7775999","2833","","HTTP/2","100","3","https://storage.360buyimg.com/quark-platform/component/standard/5d1b5daa81f09f0f005de7cb__5ee34e59fc685b3ecdd0f07c.js","-1","1889","1889","","application/javascript","Low","15","Mon, 06 Dec 2021 22:33:00 GMT","-1","-1","script","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","2469","1000032466.45","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/quark-platform/component/standard/5d1b5daa81f09f0f005de7cb__5ee34e59fc685b3ecdd0f07c.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2894","2833","2894","2894","2894","0","2833","2894","61","19","20","1","0","37","","","","","4849","","2","","downloadScript","","",
"163.171.133.124","258","412","75","1000032466.47","","","max-age=86400","100","211011_X9_3C","-1","LOWEST","","","-1","71","50","-1","-1","86399","2833","","HTTP/2","100","3","https://storage.360buyimg.com/quark-platform/component/standard/5cd436279a6ea5003becd5a4__5f0d0db797e1ca3c844508e9.js","-1","7595","7595","","application/javascript","Low","15","Tue, 07 Dec 2021 17:40:35 GMT","-1","-1","script","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","8220","1000032466.47","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/quark-platform/component/standard/5cd436279a6ea5003becd5a4__5f0d0db797e1ca3c844508e9.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2908","2833","2904","2904","2908","4","2833","2908","75","20","21","1","0","39","","","","","25448","","4","","downloadScript","","",
