"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"157.240.9.23","4","433","80","1000023614.6","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","HIGHEST","","","-1","75","100","-1","-1","31536000","1333","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/Wdb_Vxo7Yh5.css?_nc_x=Ij3Wp8lg5Kz","-1","2708","2708","","text/css","VeryHigh","","Tue, 11 Oct 2022 14:43:19 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","2902","1000023614.6","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/yR/l/0,cross/Wdb_Vxo7Yh5.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1413","1333","1408","1408","1413","5","1333","1413","80","10","11","1","0","5","","","","12887","","","","","",
"157.240.9.23","5","433","87","1000023614.7","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","HIGHEST","","","-1","81","100","-1","-1","31536000","1333","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/ye/l/0,cross/Jgr7EBkCUeG.css?_nc_x=Ij3Wp8lg5Kz","-1","3834","3834","","text/css","VeryHigh","","Tue, 11 Oct 2022 14:43:19 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","4002","1000023614.7","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/ye/l/0,cross/Jgr7EBkCUeG.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1420","1333","1414","1414","1420","6","1333","1420","87","11","12","1","0","7","","","","17220","","","","","",
"157.240.9.23","21","409","198","1000023614.26","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","LOW","","","-1","183","100","-1","-1","31536000","1400","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yd/r/vrh3S7dptpI.js?_nc_x=Ij3Wp8lg5Kz","-1","8984","8984","","application/x-javascript","Medium","","Sat, 08 Oct 2022 15:50:43 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","9174","1000023614.26","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/yd/r/vrh3S7dptpI.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1598","1400","1583","1583","1598","15","1400","1598","198","12","13","1","0","17","183","True","15","29319","","","3","12","",
"157.240.9.23","23","420","247","1000023614.28","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","LOW","","","-1","199","100","-1","-1","31536000","1400","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3i9_W4/y_/l/cs_CZ/isZ_9yqZJwt.js?_nc_x=Ij3Wp8lg5Kz","-1","28446","28446","","application/x-javascript","Medium","","Mon, 10 Oct 2022 16:11:42 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","28649","1000023614.28","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3i9_W4/y_/l/cs_CZ/isZ_9yqZJwt.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1647","1400","1599","1599","1647","48","1400","1647","247","13","14","1","0","19","183","True","17","106576","","","3","","",
"157.240.9.23","24","409","269","1000023614.29","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","LOW","","","-1","199","100","-1","-1","31536000","1400","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/K_7d914p48z.js?_nc_x=Ij3Wp8lg5Kz","-1","9404","9404","","application/x-javascript","Medium","","Sat, 08 Oct 2022 15:50:43 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","9571","1000023614.29","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/y0/r/K_7d914p48z.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1669","1400","1599","1599","1669","70","1400","1669","269","14","15","1","0","21","183","True","19","30551","","","3","1","",
"157.240.9.23","10","391","59","1000023614.20","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","MEDIUM","","","-1","57","100","1400","-1","31536000","1668","443","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/y8/r/dF5SId3UHWd.svg","1668","1027","1027","ssl/static.xx.fbcdn.net:443","image/svg+xml","Low","","Mon, 03 Oct 2022 13:21:32 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","1825","1000023614.20","0","100","1","-1","","-1","https://www.facebook.com/","74","216","/rsrc.php/y8/r/dF5SId3UHWd.svg","1474","55616","GET","-1","1474","","200","194","br","Facebook","1727","1668","1725","1725","1727","2","1400","1727","327","15","16","1","0","1","220","True","0","2385","","","","","",
"157.240.9.23","11","455","81","1000023614.34","0","","public,max-age=31536000,immutable","100","211011_WK_39","-1","LOWEST","11123","","-1","62","100","-1","100","31536000","1668","","HTTP/2","-1","3","https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/vCumyI5vxhq.png","-1","11123","","","image/png","Low","","Sun, 02 Oct 2022 16:19:03 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","11313","1000023614.34","","100","1","-1","","-1","https://www.facebook.com/","-1","216","/rsrc.php/v3/yy/r/vCumyI5vxhq.png","-1","","GET","-1","-1","","200","-1","","Facebook","1749","1668","1730","1730","1749","19","1668","1749","81","16","17","1","0","5","","","","11123","","","","","",
"157.240.9.23","11","455","61","1000023614.35","0","","public,max-age=31536000,immutable","100","211011_WK_39","-1","MEDIUM","925","","-1","60","100","-1","100","31536000","1668","","HTTP/2","-1","3","https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png","-1","925","","","image/png","Low","","Sun, 09 Oct 2022 22:08:43 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","1284","1000023614.35","","100","1","-1","","-1","https://www.facebook.com/","-1","216","/rsrc.php/v3/yO/r/YQNfPR9MJfx.png","-1","","GET","-1","-1","","200","-1","","Facebook","1729","1668","1728","1728","1729","1","1668","1729","61","17","18","1","0","3","","","","925","","","","","",
"157.240.9.23","166","420","437","1000023614.89","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","MEDIUM","","","-1","374","100","-1","-1","31536000","1722","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3iRdv4/y7/l/cs_CZ/sdLU8ytqjXx.js?_nc_x=Ij3Wp8lg5Kz","-1","14780","14780","","application/x-javascript","High","2718","Fri, 07 Oct 2022 20:53:52 GMT","-1","-1","script","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","14975","1000023614.89","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","187","/rsrc.php/v3iRdv4/y7/l/cs_CZ/sdLU8ytqjXx.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","2159","1722","2096","2096","2159","63","1722","2159","437","18","19","1","0","61","220","True","59","46139","","","19","","P",
"157.240.9.23","166","409","61","1000023614.54","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","MEDIUM","","","-1","55","100","-1","-1","31536000","1722","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/w9dZEfWUoGS.js?_nc_x=Ij3Wp8lg5Kz","-1","3077","3077","","application/x-javascript","High","2718","Tue, 11 Oct 2022 15:58:56 GMT","-1","-1","script","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","3292","1000023614.54","0","100","1","-1","","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","187","/rsrc.php/v3/y9/r/w9dZEfWUoGS.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1783","1722","1777","1777","1783","6","1722","1783","61","19","20","1","0","23","220","True","0","9695","","","3","","P",
