"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","score_cookies","basePageSSLTime","docTime","domContentLoadedEventEnd","image_savings","cpu.XHRReadyStateChange","requestsDoc","cpu.v8.compile","cpu.CommitLoad","firstMeaningfulPaint","cpu.FunctionCall","firstTextPaint","firstPaint","score_cdn","cpu.Idle","cpu.ParseHTML","optimization_checked","image_total","score_minify","gzip_total","responses_404","cpu.TimerFire","cpu.Layout","loadTime","URL","score_combine","firstContentfulPaint","cpu.PlatformResourceSendRequest","firstLayout","score_etags","loadEventStart","cpu.EvaluateScript","cpu.XHRLoad","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.ResourceChangePriority","cpu.MinorGC","bytesInDoc","firstImagePaint","score_keep-alive","loadEventEnd","cached","score_cache","responses_other","cpu.UpdateLayerTree","cpu.ResourceSendRequest","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","fullyLoadedCPUms","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","eventName","base_page_cname","document_URL","date","PerformancePaintTiming.first-paint","domElements","browserVersion","document_origin","browser_name","fullyLoadedCPUpct","domComplete","document_hostname","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.firstImagePaint","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","FirstInteractive","TTIMeasurementEnd","LastInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id",
"-1","17","0","9031","63831","20","0","6","","17","8138","0","56DE874BF376DF666DD9E4692B08A98F-1","-1","620","5079","2632","218495","0","18","8","0","1990","6","1990","1990.2999997139","0","5630","3","1","694805","-1","151763","0","1","17","5079","http://alipay.com","-1","1990","1","1982","-1","5079","43","0","-1","100","2629","58","2","69","2629","https://www.alipay.com/","0","3","848845","2640","100","5079","0","93","3","1","0","00D37B80D83FE74B6EE64589208C7386","5737","20","1","1950","4","853616","10773","68.0.3440.75","ns4.alipay.com","2040","1990.2999997139","","Step_1","rz-lb2.internet.v6.spanner.alipaydns.com","https://www.alipay.com/","1633982687.7861","1990.2999997139","110","68.0.3440.75","https://www.alipay.com","Chrome","2.6590198121","5079","www.alipay.com","6900","6900","2000","4287","6900","6900","6900","6900","2","659","659","1951","1953","1953","1955","1981","1990","1990","1990","1990","1990","2628","2628","2631","2639","5078","5079","5079","2632","7680","2632","1","1","225406","271283","0","0","0","0","0","6","3","0","7383","5","24670","142525","3","242191","0","0","0","703528","11","699091","0","0","0","0","0","0","0","0","0","180","1","26","211011_HT_3X",
"-1","0","0","383","0","1","0","1","","0","0","404","","-1","","0","0","0","","0","","0","","","","0","-1","614","","1","0","-1","0","0","","","614","http://alipay.com","-1","","","","-1","0","","","-1","-1","0","-1","","-1","0","","","","0","","-1","0","0","-1","1","","0","","614","1","","0","","75","2114","68.0.3440.75","","2340","","","Step_1","","","1633982728.2802","","","68.0.3440.75","","Chrome","6.974664681","","","0","0","0","0","0","0","0","0","2","614","614","619","619","619","623","","","","","","","","","","","","","","","623","","2","1","","","0","0","0","0","0","0","0","0","75","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211011_HT_3X",
"-1","0","0","383","0","1","0","1","","0","0","404","","-1","","0","0","0","","0","0","0","","","","0","-1","621","0","1","0","-1","0","0","","","621","http://alipay.com","-1","","","","-1","0","0","","-1","-1","0","-1","","-1","0","","","","0","","-1","0","0","-1","1","","0","","621","1","","0","","75","2172","68.0.3440.75","","1489","","","Step_1","","","1633982737.0085","","","68.0.3440.75","","Chrome","4.307603354","","","700","700","700","700","700","700","700","700","2","621","621","626","626","626","629","","","","","","","","","","","","","","","700","700","3","1","","","0","0","0","0","0","0","0","0","75","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211011_HT_3X",
