"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"172.217.23.227","214","495","177","1000004540.25","","","public, max-age=31536000","100","211011_G1_33","-1","LOWEST","","","-1","58","100","-1","-1","31422468","1404","","HTTP/2","100","3","https://www.gstatic.com/og/_/js/k=og.qtm.en_US.h9qh0-5wguQ.O/rt=j/m=qabr,q_d,qcwid,qapid,qald/exm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/rs=AA2YrTv8hYdW91t8l5nZ9OM47lsQ8quCgQ","-1","60209","60209","","text/javascript","Low","382","Mon, 10 Oct 2022 11:42:02 GMT","-1","-1","script","9242590EE5B9BE97BE6DA8179F53B7AE","www.gstatic.com","60354","1000004540.25","0","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","142","/og/_/js/k=og.qtm.en_US.h9qh0-5wguQ.O/rt=j/m=qabr,q_d,qcwid,qapid,qald/exm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/rs=AA2YrTv8hYdW91t8l5nZ9OM47lsQ8quCgQ","-1","","GET","-1","-1","","200","-1","gzip","Google","1581","1404","1462","1462","1581","119","1404","1581","177","10","11","1","0","7","","","175739","","","","26","11","zj",
"216.58.201.68","11","561","118","1000004540.27","","","","-1","211011_G1_33","-1","IDLE","","","-1","118","-1","-1","-1","","1465","","HTTP/2","-1","3","https://www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=BY1kYaKVMbHcmAXux4uAAw&rt=wsrt.1212,aft.251,prt.149&imn=8&ima=6&imad=0&aftp=702&bl=iMdx","-1","0","","","text/html","VeryLow","787","","-1","-1","script","9242590EE5B9BE97BE6DA8179F53B7AE","www.google.com","52","1000004540.27","","-1","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/gen_204?s=webhp&t=aft&atyp=csi&ei=BY1kYaKVMbHcmAXux4uAAw&rt=wsrt.1212,aft.251,prt.149&imn=8&ima=6&imad=0&aftp=702&bl=iMdx","-1","","POST","-1","-1","","204","-1","","","1583","1465","1583","1583","1583","0","1465","1583","118","11","12","1","0","","","","","","","","","","O",
"172.217.23.238","436","506","109","1000004540.28","","","public, max-age=31536000","100","211011_G1_33","1645","LOWEST","","","-1","40","100","1645","-1","31535737","1737","443","HTTP/2","100","3","https://apis.google.com/_/scs/abc-static/_/js/k=gapi.gapi.en.M5RD94rmgZI.O/m=gapi_iframes,googleapis_client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo8z3ZIGbS4Q1hdxlO0-i7gQCAheug/cb=gapi.loaded_0","1737","35746","35746","ssl/apis.google.com:443","text/javascript","Low","333","Tue, 11 Oct 2022 19:09:51 GMT","-1","-1","script","9242590EE5B9BE97BE6DA8179F53B7AE","apis.google.com","36470","1000004540.28","0","100","1","1596","","-1","https://www.gstatic.com/og/_/js/k=og.qtm.en_US.h9qh0-5wguQ.O/rt=j/m=qabr,q_d,qcwid,qapid,qald/exm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/rs=AA2YrTv8hYdW91t8l5nZ9OM47lsQ8quCgQ","33","199","/_/scs/abc-static/_/js/k=gapi.gapi.en.M5RD94rmgZI.O/m=gapi_iframes,googleapis_client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo8z3ZIGbS4Q1hdxlO0-i7gQCAheug/cb=gapi.loaded_0","1678","47762","GET","49","1678","","200","59","gzip","Google","1846","1737","1777","1777","1846","69","1596","1846","250","12","13","1","0","1","147","True","107491","","0","","17","0","Dm",
"216.58.201.78","708","608","114","8B2FE86EA1178E292C5D309D2DABD846","","","private, max-age=3600","100","211011_G1_33","1656","HIGHEST","","","-1","94","-1","1656","-1","","1754","443","HTTP/2","100","3","https://ogs.google.com/widget/callout?prid=19019113&pgid=19019112&puid=fd667da0068ae218&cce=1&dc=1&bc=1&origin=https%3A%2F%2Fwww.google.com&cn=callout&pid=1&spid=538&hl=cs","1753","11949","11949","ssl/ogs.google.com:443","text/html","VeryHigh","230","Mon, 11 Oct 2021 19:14:14 GMT","-1","-1","script","CB67F9738488F96498E6C7C23295A916","ogs.google.com","11949","8B2FE86EA1178E292C5D309D2DABD846","0","100","1","1606","","-1","https://www.gstatic.com/og/_/js/k=og.qtm.en_US.h9qh0-5wguQ.O/rt=j/m=qabr,q_d,qcwid,qapid,qald/exm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/rs=AA2YrTv8hYdW91t8l5nZ9OM47lsQ8quCgQ","33","200","/widget/callout?prid=19019113&pgid=19019112&puid=fd667da0068ae218&cce=1&dc=1&bc=1&origin=https%3A%2F%2Fwww.google.com&cn=callout&pid=1&spid=538&hl=cs","1689","34058","GET","50","1689","","200","64","gzip","Google","1868","1754","1848","1848","1868","20","1606","1868","261","13","14","1","0","1","256","True","31755","","0","","15","3","QC",
"172.217.23.227","52","508","141","1000004540.30","","","public, immutable, max-age=31536000","100","211011_G1_33","-1","LOWEST","","","-1","37","100","-1","-1","31422468","1872","","HTTP/2","100","3","https://www.gstatic.com/_/mss/boq-one-google/_/js/k=boq-one-google.OneGoogleWidgetUi.cs.EDG4EOu3wBg.es5.O/am=WAAAEA/d=1/excm=_b,_tp,calloutview/ed=1/dg=0/wt=2/esmo=1/rs=AM-SdHv0RusRGbFL6bu1qYUsFjSpRNdqwg/m=_b,_tp","-1","59119","59119","","text/javascript","Low","","Mon, 10 Oct 2022 11:42:02 GMT","-1","-1","parser","CB67F9738488F96498E6C7C23295A916","www.gstatic.com","59537","1000004540.30","0","100","1","-1","","-1","https://ogs.google.com/widget/callout?prid=19019113&pgid=19019112&puid=fd667da0068ae218&cce=1&dc=1&bc=1&origin=https%3A%2F%2Fwww.google.com&cn=callout&pid=1&spid=538&hl=cs","-1","142","/_/mss/boq-one-google/_/js/k=boq-one-google.OneGoogleWidgetUi.cs.EDG4EOu3wBg.es5.O/am=WAAAEA/d=1/excm=_b,_tp,calloutview/ed=1/dg=0/wt=2/esmo=1/rs=AM-SdHv0RusRGbFL6bu1qYUsFjSpRNdqwg/m=_b,_tp","-1","","GET","-1","-1","","200","-1","gzip","Google","2013","1872","1909","1909","2013","104","1872","2013","141","14","15","1","0","9","147","True","167119","","0","","29","21","",
"216.58.201.68","63","417","150","1000004540.31","0","","private, max-age=31536000","100","211011_G1_33","-1","MEDIUM","6177","","-1","135","100","-1","100","31536000","1872","","HTTP/2","-1","3","https://www.google.com/images/hpp/Chrome_Owned_96x96.png","-1","6177","","","image/png","Low","","Mon, 11 Oct 2021 19:14:14 GMT","-1","-1","parser","CB67F9738488F96498E6C7C23295A916","www.google.com","6247","1000004540.31","","100","1","-1","","-1","https://ogs.google.com/widget/callout?prid=19019113&pgid=19019112&puid=fd667da0068ae218&cce=1&dc=1&bc=1&origin=https%3A%2F%2Fwww.google.com&cn=callout&pid=1&spid=538&hl=cs","-1","122","/images/hpp/Chrome_Owned_96x96.png","-1","","GET","-1","-1","","200","-1","","Google","2022","1872","2007","2007","2022","15","1872","2022","150","15","16","1","0","13","147","True","6177","","0","","","","",
"216.58.201.68","0","545","72","1000004540.48","","","","-1","211011_G1_33","-1","LOWEST","","","-1","72","-1","-1","-1","","2001","","HTTP/2","-1","3","https://www.google.com/gen_204?use_corp=on&atyp=i&zx=1633979654849&ogsr=1&ei=BY1kYdutMrndmAWfk5tg&ct=7&cad=i&id=19019113&loc=webhp&prid=538&ogd=cz&ogprm=up&ap=1&vis=1","-1","0","","","text/html","Low","","","-1","-1","parser","9242590EE5B9BE97BE6DA8179F53B7AE","www.google.com","53","1000004540.48","","-1","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/gen_204?use_corp=on&atyp=i&zx=1633979654849&ogsr=1&ei=BY1kYdutMrndmAWfk5tg&ct=7&cad=i&id=19019113&loc=webhp&prid=538&ogd=cz&ogprm=up&ap=1&vis=1","-1","","GET","-1","-1","","204","-1","","","2073","2001","2073","2073","2073","0","2001","2073","72","16","17","1","0","","","","","","","","","","",
"172.217.23.227","669","583","85","1000004540.49","","","public, immutable, max-age=31536000","100","211011_G1_33","-1","LOWEST","","","-1","55","100","-1","-1","30985886","2051","","HTTP/2","100","3","https://www.gstatic.com/_/mss/boq-one-google/_/js/k=boq-one-google.OneGoogleWidgetUi.cs.EDG4EOu3wBg.es5.O/ck=boq-one-google.OneGoogleWidgetUi.CDjSGkb4H1Q.L.B1.O/am=WAAAEA/d=1/exm=_b,_tp/excm=_b,_tp,calloutview/esmo=1/ed=1/wt=2/rs=AM-SdHtgOo4cCI1iFMtTjbYgfjMfVYcFHA/m=byfTOb,lsjVmc,LEikZe","-1","13454","13454","","text/javascript","Low","93","Wed, 05 Oct 2022 10:25:40 GMT","-1","-1","script","CB67F9738488F96498E6C7C23295A916","www.gstatic.com","13572","1000004540.49","0","100","1","-1","","-1","https://www.gstatic.com/_/mss/boq-one-google/_/js/k=boq-one-google.OneGoogleWidgetUi.cs.EDG4EOu3wBg.es5.O/am=WAAAEA/d=1/excm=_b,_tp,calloutview/ed=1/dg=0/wt=2/esmo=1/rs=AM-SdHv0RusRGbFL6bu1qYUsFjSpRNdqwg/m=_b,_tp","-1","142","/_/mss/boq-one-google/_/js/k=boq-one-google.OneGoogleWidgetUi.cs.EDG4EOu3wBg.es5.O/ck=boq-one-google.OneGoogleWidgetUi.CDjSGkb4H1Q.L.B1.O/am=WAAAEA/d=1/exm=_b,_tp/excm=_b,_tp,calloutview/esmo=1/ed=1/wt=2/rs=AM-SdHtgOo4cCI1iFMtTjbYgfjMfVYcFHA/m=byfTOb,lsjVmc,LEikZe","-1","","GET","-1","-1","","200","-1","gzip","Google","2136","2051","2106","2106","2136","30","2051","2136","85","17","18","1","0","11","147","True","37219","","0","","8","","_.Ad.load",
"172.217.23.227","669","988","245","1000004540.50","","","public, immutable, max-age=31536000","100","211011_G1_33","-1","LOWEST","","","-1","79","100","-1","-1","30985886","2057","","HTTP/2","100","3","https://www.gstatic.com/_/mss/boq-one-google/_/js/k=boq-one-google.OneGoogleWidgetUi.cs.EDG4EOu3wBg.es5.O/ck=boq-one-google.OneGoogleWidgetUi.CDjSGkb4H1Q.L.B1.O/am=WAAAEA/d=1/exm=LEikZe,_b,_tp,byfTOb,lsjVmc/excm=_b,_tp,calloutview/esmo=1/ed=1/wt=2/rs=AM-SdHtgOo4cCI1iFMtTjbYgfjMfVYcFHA/m=n73qwf,ws9Tlc,IZT63,e5qFLc,GkRiKb,UUJqVe,O1Gjze,xUdipf,blwjVc,fKUV3e,aurFic,COQbmf,U0aPgd,ZwDk9d,V3dDOb,mI3LFb,O6y8ed,PrPYRd,MpJwZc,NwH0H,OmgaI,lazG7b,XVMNvd,L1AAkb,KUM7Z,lfpdyf,s39S4,lwddkf,gychg,w9hDv,RMhBfe,SdcwHb,aW3pY,PQaYAf,pw70Gc,EFQ78c,Ulmmrd,ZfAoz,mdR7q,MdUzUe,xQtZb,lPKSwe,JNoxi,MI6k7c,kjKdXe,yDVVkb,QIhFr,hKSk3e,KG2eXe,hc6Ubd,SpsfSb,VwDzFe,zbML3c,A7fCU,Uas9Hd,BVgquf,lsPsHb,pjICDe,hnN99e,yYB61","-1","79450","79450","","text/javascript","Low","93","Wed, 05 Oct 2022 10:25:40 GMT","-1","-1","script","CB67F9738488F96498E6C7C23295A916","www.gstatic.com","79552","1000004540.50","0","100","1","-1","","-1","https://www.gstatic.com/_/mss/boq-one-google/_/js/k=boq-one-google.OneGoogleWidgetUi.cs.EDG4EOu3wBg.es5.O/am=WAAAEA/d=1/excm=_b,_tp,calloutview/ed=1/dg=0/wt=2/esmo=1/rs=AM-SdHv0RusRGbFL6bu1qYUsFjSpRNdqwg/m=_b,_tp","-1","142","/_/mss/boq-one-google/_/js/k=boq-one-google.OneGoogleWidgetUi.cs.EDG4EOu3wBg.es5.O/ck=boq-one-google.OneGoogleWidgetUi.CDjSGkb4H1Q.L.B1.O/am=WAAAEA/d=1/exm=LEikZe,_b,_tp,byfTOb,lsjVmc/excm=_b,_tp,calloutview/esmo=1/ed=1/wt=2/rs=AM-SdHtgOo4cCI1iFMtTjbYgfjMfVYcFHA/m=n73qwf,ws9Tlc,IZT63,e5qFLc,GkRiKb,UUJqVe,O1Gjze,xUdipf,blwjVc,fKUV3e,aurFic,COQbmf,U0aPgd,ZwDk9d,V3dDOb,mI3LFb,O6y8ed,PrPYRd,MpJwZc,NwH0H,OmgaI,lazG7b,XVMNvd,L1AAkb,KUM7Z,lfpdyf,s39S4,lwddkf,gychg,w9hDv,RMhBfe,SdcwHb,aW3pY,PQaYAf,pw70Gc,EFQ78c,Ulmmrd,ZfAoz,mdR7q,MdUzUe,xQtZb,lPKSwe,JNoxi,MI6k7c,kjKdXe,yDVVkb,QIhFr,hKSk3e,KG2eXe,hc6Ubd,SpsfSb,VwDzFe,zbML3c,A7fCU,Uas9Hd,BVgquf,lsPsHb,pjICDe,hnN99e,yYB61","-1","","GET","-1","-1","","200","-1","gzip","Google","2302","2057","2136","2136","2302","166","2057","2302","245","18","19","1","0","13","147","True","223858","","11","","66","","_.Ad.load",
"172.217.23.195","6","393","305","1000004540.40","","","public, max-age=31536000","100","211011_G1_33","-1","HIGHEST","","","-1","280","100","-1","-1","31265856","2085","","HTTP/2","-1","3","https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2","-1","15344","","","font/woff2","VeryHigh","456","Sat, 08 Oct 2022 16:11:50 GMT","-1","-1","script","CB67F9738488F96498E6C7C23295A916","fonts.gstatic.com","15462","1000004540.40","","100","1","-1","","-1","https://ogs.google.com/widget/callout?prid=19019113&pgid=19019112&puid=fd667da0068ae218&cce=1&dc=1&bc=1&origin=https%3A%2F%2Fwww.google.com&cn=callout&pid=1&spid=538&hl=cs","-1","256","/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2","-1","","GET","-1","-1","","200","-1","","Google","2390","2085","2365","2365","2390","25","2085","2390","305","19","20","1","0","7","","","15344","","","","","","a._isVisible",
