"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","score_cookies","docTime","domContentLoadedEventEnd","image_savings","cpu.XHRReadyStateChange","requestsDoc","cpu.v8.compile","cpu.CommitLoad","firstMeaningfulPaint","cpu.FunctionCall","firstTextPaint","firstPaint","cpu.ParseAuthorStyleSheet","score_cdn","cpu.Idle","cpu.ParseHTML","optimization_checked","image_total","score_minify","gzip_total","responses_404","cpu.TimerFire","cpu.Layout","loadTime","URL","score_combine","firstContentfulPaint","cpu.PlatformResourceSendRequest","firstLayout","score_etags","loadEventStart","cpu.EvaluateScript","cpu.XHRLoad","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.ResourceChangePriority","cpu.MinorGC","bytesInDoc","firstImagePaint","score_keep-alive","loadEventEnd","cached","score_cache","cpu.FireIdleCallback","responses_other","cpu.UpdateLayerTree","cpu.ResourceSendRequest","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","fullyLoadedCPUms","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","eventName","base_page_cname","document_URL","date","PerformancePaintTiming.first-paint","domElements","browserVersion","document_origin","browser_name","fullyLoadedCPUpct","domComplete","document_hostname","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaint","TTIMeasurementEnd","LastInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","cpu.ScriptWrappableMarkingVisitor::performLazyCleanup","cpu.MajorGC","chromeUserTiming.InteractiveTime","FirstInteractive","TimeToInteractive",
"-1","55","0","24949","0","55","0","21","","6","17550","0","0F697D05F1FA84D786CCCDF2E1D8B600","-1","5333","3629","0","1","38","33","0","4233","59","1795","1207.0000004023","1","0","6364","15","1","558081","-1","568893","0","7","26","5333","http://baidu.com","-1","1795","4","1395","-1","4744","115","0","-1","-1","3594","100","8","100","3620","http://baidu.com/","0","7","969447","2163","100","4750","0","84","0","0","7","0","01A18D4EBB50B8FD0652F2375E29C677","6661","55","0","580","11","1158133","11873","68.0.3440.75","i.gtld-servers.net","2620","1207.0000004023","","Step_1","www.a.shifen.com","http://www.baidu.com/","1633980219.3834","1207.0000004023","302","68.0.3440.75","http://www.baidu.com","Chrome","3.1761425626","4744","www.baidu.com","8700","8700","1800","2639","4200","4200","4200","5800","594","1804","1186","1186","1189","4181","4207","4217","5332","5332","5338","1395","1795","1795","1795","4233","2163","4233","8706","4219","1","1","190451","203965","0","0","0","0","0","15","1","0","83085","2","322695","483636","27","1624402","5609","2","21494","565541","19","561915","0","0","0","17074","1","16792","0","0","0","390","2","53","211011_ZY_37","","","","","",
"-1","54","0","23763","0","54","0","20","","6","17577","0","229FF572952DBE6DCB0758F2A9770F7E","-1","4865","2824","0","1","38","27","0","3668","69","2050","1221.4999999851","1","0","5784","20","1","558046","-1","568886","0","10","28","4865","http://baidu.com","-1","2050","3","1633","-1","4036","119","0","-1","-1","2789","100","8","100","2816","http://baidu.com/","0","6","969461","2413","100","4042","0","85","0","0","5","0","6FD70CF3C3C4E3468394FC22B5BA45B7","6099","54","0","818","13","1157856","10989","68.0.3440.75","g.gtld-servers.net","3660","1221.4999999851","","Step_1","www.a.shifen.com","http://www.baidu.com/","1633980270.638","1221.4999999851","302","68.0.3440.75","http://www.baidu.com","Chrome","4.6470289482","4036","www.baidu.com","8000","7900","2000","2606","3600","3600","3600","4700","838","2049","1417","1417","1419","3616","3644","3652","4864","4864","4870","1633","2049","2049","2049","3668","2413","3668","8094","3654","2","1","219249","239550","0","0","0","0","0","15","1","0","83100","2","322731","483607","27","1624402","5616","2","21494","565271","18","561880","0","0","0","17074","1","16792","0","0","0","390","2","53","211011_ZY_37","","","","","",
"-1","83","0","41365","0","84","0","37","","22","20798","99999","E69518493BAD2C1502BFD0DB6745D2B8","-1","9156","3760","1560","1","44","31","0","4595","97","2035","1217.4999993294","1","0","32657","10","1","569294","-1","555847","1","46","28","9156","http://baidu.com","-1","2035","3","1610","-1","8338","58","0","-1","-1","3740","100","6","100","3742","http://baidu.com/","0","7","967995","2396","100","8345","0","67","0","0","6","0","5E376CFE00097742A2642EBFEEC52220","32994","84","0","811","11","1162074","40022","68.0.3440.75","g.gtld-servers.net","6099","1217.4999993294","","Step_1","www.a.shifen.com","http://www.baidu.com/","1633980288.7293","1217.4999993294","303","68.0.3440.75","http://www.baidu.com","Chrome","2.5820105821","8338","www.baidu.com","35000","12100","2000","3164","4600","4600","4600","10000","824","2206","1395","1395","1398","4558","4559","4578","9155","9155","9163","1609","2035","2035","2035","4595","2395","4595","34916","4580","3","1","36108","115997","0","0","0","0","0","16","1","0","84105","3","327196","468348","26","1566775","5609","2","21494","583749","48","572890","0","0","0","17074","1","16792","0","0","0","391","2","54","211011_ZY_37","0","10","4595","4580","4580",
