"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"45.57.90.1","0","490","94","1000006863.4","","","public, max-age=16070400","0","211011_ZF_3R","1370","MEDIUM","","","-1","88","100","1372","-1","16070400","1512","443","http/1.1","100","3","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/bootstrap.js,common%7Cbootstrap.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/bck/true/none","1512","3630","3630","ssl/codex.nflxext.com:443","application/javascript","High","","Mon, 11 Apr 2022 15:18:07 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","codex.nflxext.com","4062","1000006863.4","0","100","1","1327","","-1","https://www.netflix.com/cz-en/","61","182","/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/bootstrap.js,common%7Cbootstrap.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/bck/true/none","1433","38330","GET","43","1433","","200","79","gzip","","1606","1512","1600","1600","1606","6","1327","1606","277","10","11","1","0","","","","","9232","","","2","","","","",
"45.57.90.1","0","492","1202","1000006863.5","","","public, max-age=16070400","0","211011_ZF_3R","-1","MEDIUM","","","-1","89","100","1372","-1","16070400","1519","443","http/1.1","100","3","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/signup%7Cnmhp%7CnmhpFrameworkClient.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/l/true/none","1519","370131","370131","ssl/codex.nflxext.com:443","application/javascript","High","","Mon, 11 Apr 2022 16:00:49 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","codex.nflxext.com","370565","1000006863.5","0","100","1","-1","","-1","https://www.netflix.com/cz-en/","62","183","/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/signup%7Cnmhp%7CnmhpFrameworkClient.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/l/true/none","1434","38332","GET","-1","1434","","200","85","gzip","","2721","1519","1608","1608","2721","1113","1372","2721","1349","11","12","1","0","","","","","1304265","","","296","12","","","",
"104.16.148.64","0","448","75","1000006863.24","","","max-age=14400","100","211011_ZF_3R","-1","MEDIUM","","","-1","74","50","1549","-1","11679","1684","443","HTTP/2","100","3","https://cdn.cookielaw.org/consent/87b6a5c0-0104-4e96-a291-092c11350111/87b6a5c0-0104-4e96-a291-092c11350111.json","1684","1598","1598","pm/ssl/cdn.cookielaw.org:443","application/x-javascript","High","7162","","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","cdn.cookielaw.org","2231","1000006863.24","0","100","1","-1","","-1","https://cdn.cookielaw.org/scripttemplates/otSDKStub.js","87","206","/consent/87b6a5c0-0104-4e96-a291-092c11350111/87b6a5c0-0104-4e96-a291-092c11350111.json","1636","43888","GET","-1","1636","","200","48","gzip","Cloudflare","1759","1684","1758","1758","1759","1","1549","1759","210","12","13","1","0","1","220","True","0","4137","","","","","se.otFetch","","",
"81.19.34.251","3","515","1673","1000006863.18","0","","max-age=2592000","0","211011_ZF_3R","1644","LOWEST","263266","","-1","147","100","1644","100","2592000","1758","443","http/1.1","-1","3","https://occ-0-5582-2705.1.nflxso.net/dnm/api/v6/19OhWN2dO19C9txTON9tvTFtefw/AAAABdFTpLmANuJpYneLq8L5m7CunMCi8e8Nl4y7xaPVWzG3IeoDoq17egTQAthApKg_4sdRWdwuR8KadWu1frjL3JQImpwq.png?r=fcd","1758","263266","","ssl/occ-0-5582-2705.1.nflxso.net:443","image/png","Low","","","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","occ-0-5582-2705.1.nflxso.net","263530","1000006863.18","","100","1","1610","","-1","https://www.netflix.com/cz-en/","33","268","/dnm/api/v6/19OhWN2dO19C9txTON9tvTFtefw/AAAABdFTpLmANuJpYneLq8L5m7CunMCi8e8Nl4y7xaPVWzG3IeoDoq17egTQAthApKg_4sdRWdwuR8KadWu1frjL3JQImpwq.png?r=fcd","1677","36050","GET","34","1677","","200","81","","","3431","1758","1905","1905","3431","1526","1610","3431","1821","13","14","1","0","","","","","263266","","","","","","","",
"45.57.91.1","3","519","2216","1000006863.13","0","","max-age=604801","0","211011_ZF_3R","1645","MEDIUM","194578","","-1","321","100","1645","100","604801","1942","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/vlv3/9b3267c9-5086-4550-92f1-eddc22a1f78e/64ba20e2-60b5-4aef-957b-a868b2f04546/CZ-en-20211004-popsignuptwoweeks-perspective_alpha_website_medium.jpg","1942","194578","","ssl/assets.nflxext.com:443","image/jpeg","Low","","Mon, 18 Oct 2021 19:57:42 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","194901","1000006863.13","","100","1","1609","","-1","https://www.netflix.com/cz-en/","103","269","/ffe/siteui/vlv3/9b3267c9-5086-4550-92f1-eddc22a1f78e/64ba20e2-60b5-4aef-957b-a868b2f04546/CZ-en-20211004-popsignuptwoweeks-perspective_alpha_website_medium.jpg","1748","56782","GET","36","1748","","200","194","","","4158","1942","2263","2263","4158","1895","1609","4158","2549","14","15","1","0","","","","","194578","","","","","","100","7",
"45.57.91.1","3","411","336","1000006863.14","0","","max-age=604801","0","211011_ZF_3R","-1","LOWEST","11418","","-1","317","100","1645","100","604801","1947","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/tv.png","1947","11418","","ssl/assets.nflxext.com:443","image/png","Low","","Mon, 18 Oct 2021 19:57:42 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","11739","1000006863.14","","100","1","-1","","-1","https://www.netflix.com/cz-en/","103","271","/ffe/siteui/acquisition/ourStory/fuji/desktop/tv.png","1748","56786","GET","-1","1748","","200","199","","","2283","1947","2264","2264","2283","19","1645","2283","638","15","16","1","0","","","","","11418","","","","","","","",
"45.57.91.1","3","420","956","1000006863.15","5359","","max-age=604801","0","211011_ZF_3R","-1","LOWEST","49614","","-1","332","100","1645","89","604801","1953","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/mobile-0819.jpg","1953","49614","","ssl/assets.nflxext.com:443","image/jpeg","Low","","Mon, 18 Oct 2021 19:57:42 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","49936","1000006863.15","","100","1","-1","","-1","https://www.netflix.com/cz-en/","103","270","/ffe/siteui/acquisition/ourStory/fuji/desktop/mobile-0819.jpg","1748","56784","GET","-1","1748","","200","205","","","2909","1953","2285","2285","2909","624","1645","2909","1264","16","17","1","0","","","","","49614","","","","","","100","8",
"45.57.91.1","3","534","1487","1000006863.38","","","max-age=604801","0","211011_ZF_3R","-1","HIGHEST","","","-1","358","100","1645","-1","604801","1959","443","http/1.1","100","3","https://assets.nflxext.com/ffe/siteui/fonts/netflix-sans/v3/NetflixSans_W_Rg.woff2","1959","53342","53342","pm/ssl/assets.nflxext.com:443","text/plain","VeryHigh","","Mon, 18 Oct 2021 19:57:42 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","53720","1000006863.38","0","100","1","-1","","-1","https://www.netflix.com/cz-en/","103","274","/ffe/siteui/fonts/netflix-sans/v3/NetflixSans_W_Rg.woff2","1748","56792","GET","-1","1748","","200","211","gzip","","3446","1959","2317","2317","3446","1129","1645","3446","1801","17","18","1","0","","","","","53304","","","","","","","",
"45.57.91.1","3","416","1000","1000006863.16","0","","max-age=604801","0","211011_ZF_3R","-1","LOWEST","20506","","-1","385","100","1645","100","604801","1965","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/boxshot.png","1965","20506","","ssl/assets.nflxext.com:443","image/png","Low","","Mon, 18 Oct 2021 19:57:42 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","20827","1000006863.16","","100","1","-1","","-1","https://www.netflix.com/cz-en/","103","272","/ffe/siteui/acquisition/ourStory/fuji/desktop/boxshot.png","1748","56788","GET","-1","1748","","200","217","","","2965","1965","2350","2350","2965","615","1645","2965","1320","18","19","1","0","","","","","20506","","","","","","","",
"45.57.91.1","3","420","2063","1000006863.17","0","","max-age=604801","0","211011_ZF_3R","-1","LOWEST","137040","","-1","410","100","1645","100","604801","1973","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/device-pile.png","1973","137040","","ssl/assets.nflxext.com:443","image/png","Low","","Mon, 18 Oct 2021 19:57:42 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","137362","1000006863.17","","100","1","-1","","-1","https://www.netflix.com/cz-en/","103","273","/ffe/siteui/acquisition/ourStory/fuji/desktop/device-pile.png","1749","56790","GET","-1","1748","","200","224","","","4036","1973","2383","2383","4036","1653","1645","4036","2390","19","20","1","0","","","","","137040","","","","","","","",
