"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"87.248.118.23","78","429","177","1000003214.17","0","","max-age=31536000; immutable","100","211011_2K_3D","-1","MEDIUM","63640","","-1","65","100","-1","100","30335048","2273","","HTTP/2","100","3","https://s.yimg.com/oa/build/images/en-GB-home_f0badd867efa6720.jpeg","-1","63640","63640","","image/jpeg","Low","","","-1","-1","parser","3CDD47425880D0A808436663E8C40F9C","s.yimg.com","63895","1000003214.17","0","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","-1","166","/oa/build/images/en-GB-home_f0badd867efa6720.jpeg","-1","","GET","-1","-1","","200","-1","gzip","Yahoo","2450","2273","2338","2338","2450","112","2273","2450","177","10","11","1","0","9","147","True","7","","79439","","","","0","1",
"87.248.118.23","29","376","142","1000003214.7","","","","0","211011_2K_3D","-1","LOWEST","","","-1","137","0","-1","-1","0","2313","","HTTP/2","36","3","https://edge-mcdn.secure.yahoo.com/ybar/cerebro_min.js","-1","5188","5188","","application/javascript","Low","","","-1","-1","parser","3CDD47425880D0A808436663E8C40F9C","edge-mcdn.secure.yahoo.com","5451","1000003214.7","3285","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","-1","166","/ybar/cerebro_min.js","-1","","GET","-1","-1","","200","-1","","","2455","2313","2450","2450","2455","5","2313","2455","142","11","12","1","0","11","","","","","5188","","2","1","","",
"87.248.118.23","","388","47","1000003214.22","","","max-age=31536000; immutable","100","211011_2K_3D","-1","MEDIUM","","","-1","46","100","-1","-1","31515882","2467","","HTTP/2","-1","3","https://s.yimg.com/oa/build/images/favicons/yahoo.png","-1","1406","","","image/png","High","","","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","s.yimg.com","1625","1000003214.22","","100","1","-1","","-1","","-1","166","/oa/build/images/favicons/yahoo.png","-1","","GET","-1","-1","","200","-1","","Yahoo","2514","2467","2513","2513","2514","1","2467","2514","47","12","13","1","0","13","220","True","0","","1406","","","","","",
"188.125.72.139","29","435","171","1000003214.16","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","2316","IDLE","","","-1","171","-1","2316","-1","","2526","443","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","2526","511","","pm/ssl/csp.yahoo.com:443","","VeryLow","","-1","-1","-1","parser","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","511","1000003214.16","","-1","1","2271","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","124","199","/beacon/csp?src=guce","2440","38366","POST","45","2440","","204","86","","","2697","2526","2697","2697","2697","0","2271","2697","426","13","14","1","0","1","110","True","0","","","","","","","",
"188.125.72.139","0","435","180","1000003214.20","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","180","-1","-1","-1","","2526","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","941","-1","-1","-1","script","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.20","","-1","1","-1","","-1","https://edge-mcdn.secure.yahoo.com/ybar/cerebro_min.js","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2706","2526","2706","2706","2706","0","2526","2706","180","14","15","1","0","3","","","","","","","","","","",
"87.248.118.23","0","382","59","1000003214.21","","","","0","211011_2K_3D","2313","MEDIUM","","","-1","54","0","2459","-1","0","2568","443","HTTP/2","14","3","https://edge-mcdn.secure.yahoo.com/ybar/exp.json","2567","3731","3731","pm/ssl/edge-mcdn.secure.yahoo.com:443","application/json","High","941","","-1","-1","script","3CDD47425880D0A808436663E8C40F9C","edge-mcdn.secure.yahoo.com","4219","1000003214.21","3183","100","1","2265","","-1","https://edge-mcdn.secure.yahoo.com/ybar/cerebro_min.js","47","215","/ybar/exp.json","2506","48234","GET","48","2506","","200","61","","","2627","2568","2622","2622","2627","5","2265","2627","215","15","16","1","0","1","220","True","0","","3731","","","","","",
"188.125.72.139","","435","328","1000003214.24","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","328","-1","-1","-1","","2637","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.24","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2965","2637","2965","2965","2965","0","2637","2965","328","16","17","1","0","5","110","True","3","","","","","","","",
"188.125.72.139","","435","178","1000003214.26","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","178","-1","-1","-1","","2640","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.26","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2818","2640","2818","2818","2818","0","2640","2818","178","17","18","1","0","7","110","True","5","","","","","","","",
"188.125.72.139","","435","186","1000003214.28","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","186","-1","-1","-1","","2641","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","97","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","97","1000003214.28","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2827","2641","2827","2827","2827","0","2641","2827","186","18","19","1","0","9","110","True","7","","","","","","","",
"188.125.72.139","","435","188","1000003214.30","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","188","-1","-1","-1","","2641","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.30","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2829","2641","2829","2829","2829","0","2641","2829","188","19","20","1","0","11","110","True","9","","","","","","","",
"188.125.72.139","","435","249","1000003214.32","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","249","-1","-1","-1","","2641","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","119","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","119","1000003214.32","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2890","2641","2890","2890","2890","0","2641","2890","249","20","21","1","0","13","110","True","11","","","","","","","",
"188.125.72.139","","435","249","1000003214.34","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","249","-1","-1","-1","","2641","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.34","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2890","2641","2890","2890","2890","0","2641","2890","249","21","22","1","0","15","110","True","13","","","","","","","",
"188.125.72.139","","435","249","1000003214.36","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","249","-1","-1","-1","","2641","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.36","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2890","2641","2890","2890","2890","0","2641","2890","249","22","23","1","0","17","110","True","15","","","","","","","",
