"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","score_progressive_jpeg","jpeg_scan_count","cpu.FunctionCall","initiator_function",
"203.205.224.59","2987","352","381","1000020334.106","","","max-age=600","0","211011_X6_38","-1","LOW","","","-1","380","0","-1","-1","600","3098","","HTTP/2","100","3","https://statics.itc.cn/index/reyzar.statistics-0.02-min.js","-1","3022","3022","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:35:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","3676","1000020334.106","0","100","1","-1","","-1","https://www.sohu.com/","-1","182","/index/reyzar.statistics-0.02-min.js","-1","","GET","-1","-1","","200","-1","gzip","","3479","3098","3478","3478","3479","1","3098","3479","381","10","11","1","0","11","183","True","9188","","9","","1","","","","",
"203.205.224.59","2914","410","405","1000020334.199","0","","max-age=600","0","211011_X6_38","-1","MEDIUM","24208","","-1","391","0","-1","100","600","3123","","HTTP/2","-1","3","https://statics.itc.cn/pc_home/choice.png","-1","24208","","","image/png","Low","","Mon, 11 Oct 2021 19:35:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","24896","1000020334.199","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/pc_home/choice.png","-1","","GET","-1","-1","","200","-1","","","3528","3123","3514","3514","3528","14","3123","3528","405","11","12","1","0","13","147","True","24208","","11","","","","","","",
"47.246.43.228","292","408","87","1000020334.7","0","","max-age=7776000","0","211011_X6_38","-1","LOWEST","12524","","-1","69","100","3097","100","7737387","3135","80","http/1.1","-1","3","http://29e5534ea20a8.cdn.sohucs.com/c_zoom,h_213/c_cut,x_0,y_0,w_927,h_618/os/news/a3a241b7aee767d72300715797006519.jpg","-1","12524","","29e5534ea20a8.cdn.sohucs.com:80","image/jpeg","Low","","","-1","-1","parser","607A84E7D0496A82E765C3D363954162","29e5534ea20a8.cdn.sohucs.com","13310","1000020334.7","","100","0","-1","","-1","https://www.sohu.com/","38","251","/c_zoom,h_213/c_cut,x_0,y_0,w_927,h_618/os/news/a3a241b7aee767d72300715797006519.jpg","-1","56850","GET","-1","3135","","200","-1","","","3222","3135","3204","3204","3222","18","3097","3222","125","12","13","1","0","","","","12524","","","","","0","1","","",
"163.171.129.134","2915","352","166","1000020334.95","","","max-age=7776000","0","211011_X6_38","3010","LOW","","","-1","143","100","3010","-1","7775999","3136","443","HTTP/2","33","3","https://39d0825d09f05.cdn.sohucs.com/sdk/passport-4.0.3.js","3135","13128","13128","ssl/39d0825d09f05.cdn.sohucs.com:443","application/x-javascript","Medium","","","-1","-1","parser","607A84E7D0496A82E765C3D363954162","39d0825d09f05.cdn.sohucs.com","13620","1000020334.95","8776","100","1","2637","","-1","https://www.sohu.com/","57","193","/sdk/passport-4.0.3.js","3067","43284","GET","373","3067","","200","68","","","3302","3136","3279","3279","3302","23","2637","3302","664","13","14","1","0","1","183","True","13128","","0","","2","","","","",
"47.246.43.228","311","408","102","1000020334.8","0","","max-age=7776000","0","211011_X6_38","-1","LOWEST","3199","","-1","101","100","3097","100","7740418","3137","80","http/1.1","-1","3","http://29e5534ea20a8.cdn.sohucs.com/c_cut,x_0,y_0,w_699,h_466,c_zoom,h_103/os/news/71112c6aa9fc450d790bab5a7189ebe3.jpg","-1","3199","","29e5534ea20a8.cdn.sohucs.com:80","image/jpeg","Low","","","-1","-1","parser","607A84E7D0496A82E765C3D363954162","29e5534ea20a8.cdn.sohucs.com","3982","1000020334.8","","100","0","-1","","-1","https://www.sohu.com/","39","263","/c_cut,x_0,y_0,w_699,h_466,c_zoom,h_103/os/news/71112c6aa9fc450d790bab5a7189ebe3.jpg","-1","56856","GET","-1","3136","","200","-1","","","3239","3137","3238","3238","3239","1","3097","3239","141","14","15","1","0","","","","3199","","","","","50","1","","",
"47.246.43.228","319","410","116","1000020334.9","0","","max-age=7776000","0","211011_X6_38","-1","LOWEST","4537","","-1","112","100","3097","100","7737387","3137","80","http/1.1","-1","3","http://29e5534ea20a8.cdn.sohucs.com/c_cut,x_109,y_0,w_591,h_394,c_zoom,h_103/os/news/e5f9fdf531f627ba25b7c4cc2358ad0a.jpg","-1","4537","","29e5534ea20a8.cdn.sohucs.com:80","image/jpeg","Low","","","-1","-1","parser","607A84E7D0496A82E765C3D363954162","29e5534ea20a8.cdn.sohucs.com","5321","1000020334.9","","100","0","-1","","-1","https://www.sohu.com/","40","255","/c_cut,x_109,y_0,w_591,h_394,c_zoom,h_103/os/news/e5f9fdf531f627ba25b7c4cc2358ad0a.jpg","-1","56852","GET","-1","3137","","200","-1","","","3253","3137","3249","3249","3253","4","3097","3253","156","15","16","1","0","","","","4537","","","","","50","1","","",
"47.246.43.228","327","410","137","1000020334.10","0","","max-age=7776000","0","211011_X6_38","-1","LOWEST","4110","","-1","126","100","3097","100","7743533","3138","80","http/1.1","-1","3","http://29e5534ea20a8.cdn.sohucs.com/c_cut,x_108,y_3,w_671,h_447,c_zoom,h_103/os/news/3071099ab38acd7fee925e8ec143456e.jpg","-1","4110","","29e5534ea20a8.cdn.sohucs.com:80","image/jpeg","Low","","","-1","-1","parser","607A84E7D0496A82E765C3D363954162","29e5534ea20a8.cdn.sohucs.com","4893","1000020334.10","","100","0","-1","","-1","https://www.sohu.com/","40","259","/c_cut,x_108,y_3,w_671,h_447,c_zoom,h_103/os/news/3071099ab38acd7fee925e8ec143456e.jpg","-1","56854","GET","-1","3137","","200","-1","","","3275","3138","3264","3264","3275","11","3097","3275","177","16","17","1","0","","","","4110","","","","","50","1","","",
"47.246.43.228","335","408","145","1000020334.11","0","","max-age=7776000","0","211011_X6_38","-1","LOWEST","4488","","-1","141","100","-1","100","7748845","3171","80","http/1.1","-1","3","http://29e5534ea20a8.cdn.sohucs.com/c_cut,x_6,y_6,w_744,h_496,c_zoom,h_103/os/news/a6aeddf56658c7ab09c4587a04c6b746.jpg","-1","4488","","29e5534ea20a8.cdn.sohucs.com:80","image/jpeg","Low","","","-1","-1","parser","607A84E7D0496A82E765C3D363954162","29e5534ea20a8.cdn.sohucs.com","5272","1000020334.11","","100","0","-1","","-1","https://www.sohu.com/","-1","175","/c_cut,x_6,y_6,w_744,h_496,c_zoom,h_103/os/news/a6aeddf56658c7ab09c4587a04c6b746.jpg","-1","56842","GET","-1","-1","","200","-1","","","3316","3171","3312","3312","3316","4","3171","3316","145","17","18","1","0","","","","4488","","","","","50","1","","",
"203.205.224.59","847","386","220","1000020334.19","0","","max-age=86400","0","211011_X6_38","-1","LOWEST","2063","","-1","220","50","-1","100","86400","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/static/images/pic/preload.png","-1","2063","","","image/png","Low","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","2735","1000020334.19","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/static/images/pic/preload.png","-1","","GET","-1","-1","","200","-1","","","3538","3318","3538","3538","3538","0","3318","3538","220","18","19","1","0","15","147","True","2063","","13","","","","","","",
"203.205.224.59","1776","390","222","1000020334.58","0","","max-age=600","0","211011_X6_38","-1","LOWEST","992","","-1","221","0","-1","100","600","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/static/images/pic/preload_2_1.png","-1","992","","","image/png","Low","","Mon, 11 Oct 2021 19:35:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","1656","1000020334.58","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/static/images/pic/preload_2_1.png","-1","","GET","-1","-1","","200","-1","","","3540","3318","3539","3539","3540","1","3318","3540","222","19","20","1","0","17","147","True","992","","15","","","","","","",
