"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","score_cookies","docTime","domContentLoadedEventEnd","image_savings","cpu.XHRReadyStateChange","requestsDoc","cpu.v8.compile","cpu.CommitLoad","firstMeaningfulPaint","cpu.FunctionCall","firstTextPaint","firstPaint","cpu.ParseAuthorStyleSheet","score_cdn","cpu.Idle","cpu.ParseHTML","cpu.TimerFire","optimization_checked","image_total","score_minify","gzip_total","responses_404","cpu.ResourceSendRequest","cpu.Layout","loadTime","URL","score_combine","firstContentfulPaint","cpu.PlatformResourceSendRequest","firstLayout","score_etags","loadEventStart","cpu.EvaluateScript","cpu.XHRLoad","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.ResourceChangePriority","cpu.MinorGC","bytesInDoc","firstImagePaint","score_keep-alive","loadEventEnd","cached","score_cache","cpu.FireIdleCallback","responses_other","cpu.UpdateLayerTree","cpu.FireAnimationFrame","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","fullyLoadedCPUms","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","eventName","base_page_cname","document_URL","date","PerformancePaintTiming.first-paint","domElements","browserVersion","document_origin","browser_name","fullyLoadedCPUpct","domComplete","document_hostname","userTime.HeadEnd","userTime.HeaderAreaBegin","userTime.frame","userTime.HeaderAreaEnd","userTime.MainAreaBegin","userTime.MainAreaEnd","userTime.FooterAreaBegin","userTime.FooterAreaEnd","userTimingMeasure.HtmlDuration","userTimingMeasure.HeadDuration","userTimingMeasure.BodyDuration","userTimingMeasure.HeaderAreaDuration","userTimingMeasure.MainAreaDuration","userTimingMeasure.FooterAreaDuration","userTimingMeasure.PostFooterDuration","userTime","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.fetchStart","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.responseEnd","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","FirstInteractive","TTIMeasurementEnd","LastInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","chromeUserTiming.InteractiveTime","TimeToInteractive",
"-1","39","0","21518","16616","41","0","11","Akamai","27","15591","0","9C8A097061C534A7568A464BCE01FC1E-2","-1","1906","1554","0","0","30","28","0","1450","151","1403","1402.9999990016","14","92","3337","21","7","1","326297","-1","410489","0","0","65","1906","http://microsoft.com","-1","1403","2","1400","-1","1906","55","0","-1","-1","1459","96","19","100","1544","https://www.microsoft.com/cs-cz/","0","8","517598","1450","100","1912","0","63","2","2","13","26","0F4A967909A41EB07F6DC3F10A4796FA","3858","41","2","797","81","848277","8259","68.0.3440.75","ns1-205.azure-dns.com","2490","1402.9999990016","a184-51-10-83.deploy.static.akamaitechnologies.com","Step_1","www.microsoft.com-c-3.edgekey.net","https://www.microsoft.com/cs-cz/","1633981981.6908","1402.9999990016","632","68.0.3440.75","https://www.microsoft.com","Chrome","3.8009464208","1906","www.microsoft.com","1351","1352","6549","1401","1401","1438","1439","1458","662","554","108","49","37","19","1","6549","1900","1900","1400","1600","1600","1800","1900","1900","1","648","648","800","800","803","858","1399","1403","1403","1403","1450","1450","1450","1458","1544","1553","1905","1905","1911","1554","5865","1554","1","1","277124","466724","0","0","0","0","0","14","2","0","45120","3","185067","298997","10","1126412","56118","2","483084","334228","18","328514","0","0","0","94625","3","93372","0","0","0","1457","4","306","211011_SK_3N","","",
"-1","37","0","20006","16616","39","0","10","Akamai","27","15591","0","E88745747462992E1F8E607375D508AF-2","-1","1877","1523","0","0","30","29","0","1410","154","1365","1364.8999985307","15","97","3015","18","9","1","326297","-1","410466","0","0","66","1877","http://microsoft.com","-1","1365","2","1362","-1","1877","57","","-1","-1","1413","96","18","100","1512","https://www.microsoft.com/cs-cz/","0","9","517619","1410","100","1885","0","67","3","2","12","22","762B0F5CE3470C1362BB9FFFE0D8F34C","3527","39","2","739","72","846832","8833","68.0.3440.75","ns4-205.azure-dns.info","3959","1364.8999985307","a184-51-10-83.deploy.static.akamaitechnologies.com","Step_1","www.microsoft.com-c-3.edgekey.net","https://www.microsoft.com/cs-cz/","1633982018.6753","1364.8999985307","632","68.0.3440.75","https://www.microsoft.com","Chrome","6.2549360296","1877","www.microsoft.com","1318","1318","6248","1364","1364","1405","1405","1412","674","579","95","45","41","7","1","6248","1900","1900","1400","1551","1600","1800","1900","1900","2","609","609","742","742","745","800","1362","1365","1365","1365","1409","1409","1409","1412","1512","1522","1877","1877","1884","1523","5537","1523","2","1","303741","454849","0","0","0","0","0","14","2","0","45120","3","185067","299001","10","1126412","56118","2","483084","334237","18","328514","0","0","0","94624","3","93372","0","0","0","0","2","0","211011_SK_3N","","",
"-1","39","0","21471","16616","41","0","11","Akamai","30","15591","0","474B1F96CF84720525F1AC1E15A57BFD-2","-1","1866","1431","0","0","30","34","0","1370","184","1328","1328.0999995768","14","92","7677","19","13","1","326297","-1","410555","0","0","65","1866","http://microsoft.com","-1","1328","2","1326","-1","1866","44","0","-1","-1","1385","96","20","100","1430","https://www.microsoft.com/cs-cz/","0","8","517555","1370","100","1874","0","63","3","2","25","44","B791DAA7CEAB2D448C286B5B0D3FE94C","8263","41","2","733","82","848891","13278","68.0.3440.75","ns4-205.azure-dns.info","3409","1328.0999995768","a184-51-10-83.deploy.static.akamaitechnologies.com","Step_1","www.microsoft.com-c-3.edgekey.net","https://www.microsoft.com/cs-cz/","1633982034.4409","1328.0999995768","632","68.0.3440.75","https://www.microsoft.com","Chrome","3.77337612","1866","www.microsoft.com","1281","1282","11315","1327","1327","1365","1366","1383","652","548","104","45","38","18","2","11315","8700","8000","1400","1828","1500","1900","1900","8000","2","579","579","735","735","739","793","1325","1328","1328","1328","1370","1370","1370","1384","1429","1431","1865","1865","1873","1431","10315","1431","3","1","112734","456800","0","0","0","0","0","14","2","0","45797","3","185734","298937","10","1126412","56118","2","483084","334224","18","328514","0","0","0","94626","3","93372","0","0","0","1457","4","306","211011_SK_3N","1431","1431",
