"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","score_cookies","basePageSSLTime","docTime","domContentLoadedEventEnd","image_savings","cpu.ParseHTML","requestsDoc","cpu.v8.compile","cpu.CommitLoad","firstMeaningfulPaint","cpu.FunctionCall","firstTextPaint","firstPaint","cpu.ParseAuthorStyleSheet","score_cdn","cpu.Idle","optimization_checked","image_total","score_minify","gzip_total","cpu.MajorGC","responses_404","cpu.TimerFire","cpu.Layout","loadTime","URL","score_combine","firstContentfulPaint","cpu.PlatformResourceSendRequest","firstLayout","score_etags","loadEventStart","cpu.EvaluateScript","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.ResourceChangePriority","cpu.MinorGC","bytesInDoc","firstImagePaint","score_keep-alive","loadEventEnd","cached","score_cache","responses_other","cpu.UpdateLayerTree","cpu.ResourceSendRequest","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","fullyLoadedCPUms","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","eventName","base_page_cname","document_URL","date","PerformancePaintTiming.first-paint","domElements","browserVersion","document_origin","browser_name","fullyLoadedCPUpct","domComplete","document_hostname","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.fetchStart","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.responseEnd","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","FirstInteractive","TTIMeasurementEnd","LastInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id",
"-1","327","0","161478","5107","328","0","38","Akamai","5","123457","0","F2D6929FB4E51046CEC15F68FD3F7C9D-1","-1","70","12432","4273","3122","11","253","55","0","1850","47","1850","1850.1999992877","3","10","16520","1","625424","-1","320222","7","0","55","81","12432","http://qq.com","-1","1850","13","1820","-1","12431","198","-1","0","4264","99","26","100","4264","https://www.qq.com/","0","11","1017570","1850","100","12432","0","11","1","10","0","F35487A892CF342F218A9EAF874D625C","17057","328","1","918","17","1050154","23565","68.0.3440.75","ns2.qq.com","5179","1850.1999992877","a92-122-223-25.deploy.static.akamaitechnologies.com","Step_1","news.qq.com.edgekey.net","https://www.qq.com/","1633980094.1484","1850.1999992877","1565","68.0.3440.75","https://www.qq.com","Chrome","3.6049829493","12431","www.qq.com","18600","9300","1800","2797","3700","6600","9300","9300","1","685","685","921","921","923","972","1819","1850","1850","1850","1850","1850","1850","4264","4264","4272","12431","12431","12431","4273","19071","4273","1","1","65069","88376","0","0","0","0","0","20","0","0","25201","6","128662","280201","20","1138701","14707","1","80785","648047","85","629802","0","0","0","0","0","0","0","0","0","81998","216","22260","211011_KV_36",
"-1","44","0","19092","1742","45","0","15","Akamai","3","17372","0","B96C4FBDC7A305A6B602364E79A9BC0B-1","-1","54","5495","2861","0","10","44","16","0","841","18","841","841.099999845","0","60","6897","1","581816","-1","124144","","0","2","77","5495","http://qq.com","-1","841","3","836","-1","5495","43","-1","-1","2856","99","19","100","2856","https://www.qq.com/","0","3","718798","924","100","5495","0","67","1","17","0","90E113F43FADCF82924C57BB9E3AE5AD","7120","45","1","795","13","719145","14503","68.0.3440.75","ns1.qq.com","2080","841.099999845","a104-96-155-101.deploy.static.akamaitechnologies.com","Step_1","news.qq.com.edgekey.net","https://www.qq.com/","1633980178.5093","841.099999845","1222","68.0.3440.75","https://www.qq.com","Chrome","2.4464831805","5495","www.qq.com","1100","1100","800","1023","1100","1100","1100","1100","1","611","611","798","798","801","835","835","841","841","841","923","841","841","2856","2856","2861","5495","5495","5495","2861","7121","2861","2","1","113698","152935","0","0","0","0","0","10","0","0","24987","5","128662","100726","12","315865","0","0","0","590099","27","581816","0","0","0","0","0","0","0","0","0","3333","1","2854","211011_KV_36",
"-1","40","0","16983","1742","41","0","11","Akamai","3","15264","0","D4C4F12ADD81C3ED09B750D4CFF9FA0B-1","-1","53","5773","2837","0","11","40","16","0","856","18","856","856.3000001013","0","67","6843","1","581816","-1","124144","","0","2","82","5773","http://qq.com","-1","856","3","845","-1","5773","38","-1","-1","2832","99","13","100","2832","https://www.qq.com/","0","2","718120","977","100","5773","0","75","1","12","0","A56FBA737EA0D170F9A7214A1C58FC07","7058","41","1","798","13","718467","12496","68.0.3440.75","ns1.qq.com","2339","856.3000001013","a104-96-155-101.deploy.static.akamaitechnologies.com","Step_1","news.qq.com.edgekey.net","https://www.qq.com/","1633980199.9954","856.3000001013","1222","68.0.3440.75","https://www.qq.com","Chrome","2.7574829131","5773","www.qq.com","1000","1000","800","952","1000","1000","1000","1000","2","606","606","801","801","804","841","845","856","856","856","977","856","856","2832","2832","2837","5773","5773","5773","2837","7059","2837","3","1","114771","144345","0","0","0","0","0","10","0","0","24987","5","128662","99984","8","315821","0","0","0","590163","27","581816","0","0","0","0","0","0","0","0","0","3333","1","2854","211011_KV_36",
