time,power_consumption.power,url,starttime
2021-11-13T23:56:25.782+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:26.283+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:26.785+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:27.286+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:27.787+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:28.288+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:28.790+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:29.291+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:29.793+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:30.294+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:30.795+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:31.297+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:31.798+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:32.299+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:32.800+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:33.302+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:33.803+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:34.304+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:34.806+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:35.307+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:35.808+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:36.310+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:36.811+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:37.312+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:37.814+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:38.315+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:38.816+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:39.318+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:39.819+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:40.321+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:40.822+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:41.324+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:41.825+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:42.326+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:42.828+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:43.329+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
2021-11-13T23:56:43.831+05:00,0,WARMUP,2021-11-13T23:56:25.782+05:00
