time,power_consumption.power,url,start
2021-11-14T01:30:00.343+05:00,8.82948058,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:00.845+05:00,3.687600781,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:01.348+05:00,3.486034109,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:01.851+05:00,0,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:02.354+05:00,1.261352705,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:02.857+05:00,0,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:03.360+05:00,0.224362004,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:03.863+05:00,0.859776637,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:04.365+05:00,3.992762413,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:04.867+05:00,0,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:05.369+05:00,0.978402564,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:05.872+05:00,0.086989051,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:06.375+05:00,0.683364896,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:06.878+05:00,0.449111698,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:07.380+05:00,0.756739006,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:07.883+05:00,0,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:08.385+05:00,0.859201748,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:08.888+05:00,0.647381967,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:09.390+05:00,0.165870579,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:09.893+05:00,0.188577701,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:10.407+05:00,2.791023057,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:10.909+05:00,0,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:11.413+05:00,0.096504347,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:11.916+05:00,0,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:12.419+05:00,0.095025169,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:12.922+05:00,0.166060158,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:13.425+05:00,0.106823327,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:13.928+05:00,0,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:14.431+05:00,0.16262986,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:14.933+05:00,0,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:15.436+05:00,2.846155772,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:15.939+05:00,0.769731325,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:16.442+05:00,0.048167174,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:16.945+05:00,1.156152711,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:17.448+05:00,0.090844503,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:17.950+05:00,0.59340497,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:18.453+05:00,0.114491122,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:18.956+05:00,0.189527346,WARMUP,2021-11-14T01:30:00.343+05:00
2021-11-14T01:30:19.459+05:00,0.150357625,WARMUP,2021-11-14T01:30:00.343+05:00
