time,power_consumption.power,url,start
2021-11-14T02:55:00.022+05:00,17.62347898,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:00.523+05:00,24.72505742,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:01.024+05:00,21.52096264,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:01.525+05:00,17.05851704,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:02.026+05:00,17.07898201,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:02.527+05:00,16.88744898,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:03.028+05:00,16.02828903,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:03.529+05:00,18.38053355,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:04.031+05:00,16.71573941,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:04.532+05:00,17.97560072,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:05.033+05:00,18.10893479,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:05.534+05:00,17.15828346,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:06.035+05:00,18.32859456,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:06.536+05:00,18.07133514,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:07.037+05:00,20.36768004,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:07.538+05:00,17.2211392,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:08.040+05:00,20.28259414,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:08.541+05:00,18.05581374,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:09.042+05:00,18.36971508,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:09.543+05:00,18.18394568,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:10.044+05:00,16.72157321,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:10.545+05:00,20.30254903,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:11.047+05:00,17.86206532,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:11.548+05:00,18.3764283,WARMUP,2021-11-14T02:55:00.022+05:00
2021-11-14T02:55:12.050+05:00,16.66495189,WARMUP,2021-11-14T02:55:00.022+05:00
