_id,groups.core.0.0.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.0.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.0.INSTRUCTIONS_RETIRED,groups.core.0.0.LLC_MISSES,groups.core.0.0.time_enabled,groups.core.0.0.time_running,groups.core.0.1.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.1.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.1.INSTRUCTIONS_RETIRED,groups.core.0.1.LLC_MISSES,groups.core.0.1.time_enabled,groups.core.0.1.time_running,groups.core.0.2.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.2.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.2.INSTRUCTIONS_RETIRED,groups.core.0.2.LLC_MISSES,groups.core.0.2.time_enabled,groups.core.0.2.time_running,groups.core.0.3.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.3.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.3.INSTRUCTIONS_RETIRED,groups.core.0.3.LLC_MISSES,groups.core.0.3.time_enabled,groups.core.0.3.time_running,groups.hwpc.0.0.CYCLES,groups.hwpc.0.0.LLC_MISSES,groups.hwpc.0.0.time_enabled,groups.hwpc.0.0.time_running,groups.hwpc.0.1.CYCLES,groups.hwpc.0.1.LLC_MISSES,groups.hwpc.0.1.time_enabled,groups.hwpc.0.1.time_running,groups.hwpc.0.2.CYCLES,groups.hwpc.0.2.LLC_MISSES,groups.hwpc.0.2.time_enabled,groups.hwpc.0.2.time_running,groups.hwpc.0.3.CYCLES,groups.hwpc.0.3.LLC_MISSES,groups.hwpc.0.3.time_enabled,groups.hwpc.0.3.time_running,groups.msr.0.0.APERF,groups.msr.0.0.MPERF,groups.msr.0.0.TSC,groups.msr.0.0.time_enabled,groups.msr.0.0.time_running,groups.msr.0.1.APERF,groups.msr.0.1.MPERF,groups.msr.0.1.TSC,groups.msr.0.1.time_enabled,groups.msr.0.1.time_running,groups.msr.0.2.APERF,groups.msr.0.2.MPERF,groups.msr.0.2.TSC,groups.msr.0.2.time_enabled,groups.msr.0.2.time_running,groups.msr.0.3.APERF,groups.msr.0.3.MPERF,groups.msr.0.3.TSC,groups.msr.0.3.time_enabled,groups.msr.0.3.time_running,groups.rapl.0.3.RAPL_ENERGY_PKG,groups.rapl.0.3.time_enabled,groups.rapl.0.3.time_running,sensor,target,timestamp
61680dfd5cffb904bc3bc1dd,2966513,35973724,12585064,405917,1976697214,1976697214,3775037,44166129,17228717,604159,2005063115,2005063115,4270987,47198309,19659046,716213,2004554516,2004554516,3837189,39322489,14986098,553896,2005120313,2005120313,,,,,,,,,,,,,,,,,33660830,90677057,3298344954,2005812102,2005812102,40847786,114362430,3298318302,2005813555,2005813555,43648094,130502721,3298376871,2005831017,2005831017,35282502,113498795,3298349868,2005791961,2005791961,14264041472,2005846698,2005846698,sensor-test,all,2021-10-14T11:01:17.396Z
61680dfd5cffb904bc3bc1de,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:17.396Z
61680dfe5cffb904bc3bc1df,,,,,,,,,,,,,,,,,,,,,,,,,1271955,17634,7152806,7152806,6196831,51774,21803098,21803098,2462192,43071,8041938,8041938,968282,13856,4779623,4779623,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:18.398Z
61680dfe5cffb904bc3bc1e0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:18.398Z
61680dfe5cffb904bc3bc1e1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,101913,101913,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:18.398Z
61680dfe5cffb904bc3bc1e2,,,,,,,,,,,,,,,,,,,,,,,,,1270621,1446,3079964,3079964,288345,1065,1465063,1465063,500738,3294,1000542,1000542,3003500,11590,7009169,7009169,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:18.398Z
61680dfe5cffb904bc3bc1e3,21822577,406135600,257446819,2588994,2978290841,2978290841,19714116,346381286,185961121,2522008,3006592261,3006592261,19230470,331660393,188099050,2319678,3005867094,3005867094,19270054,327237663,184694542,2182505,3006677979,3006677979,,,,,,,,,,,,,,,,,388076918,684143492,3298119403,3007560203,3007560203,327746678,613918170,3298102555,3007558454,3007558454,315455067,603024039,3297970329,3007541560,3007541560,308972601,599155915,3298132230,3007546492,3007546492,36409704448,3007553199,3007553199,sensor-test,all,2021-10-14T11:01:18.398Z
61680dff5cffb904bc3bc1e4,,,,,,,,,,,,,,,,,,,,,,,,,1000030,11154,7908579,7908579,6089425,62207,26680210,26680210,2208660,37999,9626758,9626758,578331,5103,5190059,5190059,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:19.399Z
61680dff5cffb904bc3bc1e5,,,,,,,,,,,,,,,,,,,,,,,,,242410,2117,430348,430348,101997,2259,149461,149461,720787,12473,791517,791517,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:19.399Z
61680dff5cffb904bc3bc1e6,19498487,371858953,293216484,2029195,3979358112,3979358112,17127829,307034735,187341087,2007258,4007466203,4007466203,20496969,380115710,289260854,2182106,4006626587,4006626587,19691503,376858773,282879675,1981398,4007725095,4007725095,,,,,,,,,,,,,,,,,355133185,611281110,3296198718,4008723993,4008723993,290063268,531798501,3296177582,4008717346,4008717346,363850806,645691728,3296158352,4008693732,4008693732,362488111,620147771,3296215117,4008716454,4008716454,38133563392,4008700921,4008700921,sensor-test,all,2021-10-14T11:01:19.399Z
