time,power_consumption.power
2021-11-25T02:47:26.029+05:00,0
2021-11-25T02:47:29.550+05:00,0
2021-11-25T02:47:32.068+05:00,0
2021-11-25T02:47:32.572+05:00,0
2021-11-25T02:47:33.074+05:00,0
2021-11-25T02:47:34.079+05:00,0
2021-11-25T02:47:35.083+05:00,0
2021-11-25T02:47:37.602+05:00,0
2021-11-25T02:47:38.106+05:00,0
2021-11-25T02:47:41.124+05:00,0.025261023
2021-11-25T02:47:42.132+05:00,0.180067452
2021-11-25T02:47:43.139+05:00,0.044102402
2021-11-25T02:47:44.145+05:00,0.028828423
2021-11-25T02:47:44.649+05:00,0
2021-11-25T02:47:45.656+05:00,0.015196669
2021-11-25T02:47:46.160+05:00,0.319418538
2021-11-25T02:47:47.167+05:00,0.024243283
2021-11-25T02:47:48.174+05:00,0.025652396
2021-11-25T02:47:48.677+05:00,0.046928389
2021-11-25T02:47:49.181+05:00,0.059421027
2021-11-25T02:47:50.691+05:00,0
2021-11-25T02:47:51.195+05:00,0.055639837
2021-11-25T02:47:51.699+05:00,0
2021-11-25T02:47:52.707+05:00,0
2021-11-25T02:47:53.210+05:00,0.154178248
2021-11-25T02:47:54.218+05:00,0.064730772
2021-11-25T02:47:54.721+05:00,0.018007982
2021-11-25T02:47:55.226+05:00,0.047374826
2021-11-25T02:47:56.736+05:00,0.038058076
2021-11-25T02:47:57.740+05:00,0.051142102
2021-11-25T02:47:59.754+05:00,0
2021-11-25T02:48:00.762+05:00,0
2021-11-25T02:48:01.767+05:00,0.010008707
2021-11-25T02:48:02.269+05:00,0.168128398
2021-11-25T02:48:02.772+05:00,0.026169072
2021-11-25T02:48:03.275+05:00,0.086551111
2021-11-25T02:48:03.780+05:00,0
2021-11-25T02:48:04.788+05:00,0.03665943
2021-11-25T02:48:05.795+05:00,0.100175396
2021-11-25T02:48:07.304+05:00,0.351724632
2021-11-25T02:48:07.808+05:00,0.190346692
2021-11-25T02:48:08.311+05:00,0.066508493
2021-11-25T02:48:08.814+05:00,0
2021-11-25T02:48:09.318+05:00,0.041444632
2021-11-25T02:48:09.822+05:00,0
2021-11-25T02:48:11.332+05:00,0
2021-11-25T02:48:11.834+05:00,0.06418081
2021-11-25T02:48:12.842+05:00,0.680471744
2021-11-25T02:48:13.346+05:00,0
2021-11-25T02:48:13.849+05:00,0.063871482
2021-11-25T02:48:14.352+05:00,0.010304445
2021-11-25T02:48:14.856+05:00,0.090947049
2021-11-25T02:48:15.359+05:00,0
2021-11-25T02:48:15.861+05:00,0.031656325
2021-11-25T02:48:16.365+05:00,0.302420809
2021-11-25T02:48:16.868+05:00,0.0465501
2021-11-25T02:48:17.372+05:00,0
2021-11-25T02:48:17.876+05:00,0.056599724
2021-11-25T02:48:18.879+05:00,0.076609348
2021-11-25T02:48:19.884+05:00,0.070263222
2021-11-25T02:48:21.392+05:00,0
2021-11-25T02:48:23.402+05:00,0
2021-11-25T02:48:24.409+05:00,0
2021-11-25T02:48:24.911+05:00,0.042617786
2021-11-25T02:48:25.414+05:00,0
2021-11-25T02:48:25.917+05:00,0.298824013
2021-11-25T02:48:26.421+05:00,0.302290776
2021-11-25T02:48:26.925+05:00,1.362878485
2021-11-25T02:48:27.429+05:00,0.122417358
2021-11-25T02:48:27.933+05:00,0.182614361
2021-11-25T02:48:28.436+05:00,0
2021-11-25T02:48:28.937+05:00,0.135705498
2021-11-25T02:48:29.441+05:00,0
2021-11-25T02:48:29.944+05:00,0.067069348
2021-11-25T02:48:30.447+05:00,0
2021-11-25T02:48:30.948+05:00,0.035632591
2021-11-25T02:48:31.955+05:00,0.065621325
2021-11-25T02:48:32.459+05:00,0.275607473
2021-11-25T02:48:33.466+05:00,0.229042438
2021-11-25T02:48:33.970+05:00,0.069501309
2021-11-25T02:48:34.473+05:00,0
2021-11-25T02:48:34.977+05:00,0.034037585
2021-11-25T02:48:35.480+05:00,0
2021-11-25T02:48:35.984+05:00,0.100563074
2021-11-25T02:48:36.488+05:00,1.523924485
2021-11-25T02:48:36.991+05:00,0.02658635
2021-11-25T02:48:37.494+05:00,0
2021-11-25T02:48:37.998+05:00,0.691371566
2021-11-25T02:48:38.500+05:00,0.022003608
2021-11-25T02:48:39.003+05:00,0.075606741
2021-11-25T02:48:39.505+05:00,0
2021-11-25T02:48:40.007+05:00,0.070878734
2021-11-25T02:48:41.012+05:00,0.055084624
2021-11-25T02:48:41.515+05:00,0.031705995
2021-11-25T02:48:42.521+05:00,6.97009087
2021-11-25T02:48:54.054+05:00,1.799593232
2021-11-25T02:49:00.068+05:00,1.019543701
2021-11-25T02:49:03.080+05:00,51.83676827
2021-11-25T02:49:03.581+05:00,29.6765751
2021-11-25T02:49:04.586+05:00,11.31791821
2021-11-25T02:49:06.593+05:00,13.89067911
2021-11-25T02:49:07.598+05:00,2.976127815
2021-11-25T02:49:08.603+05:00,6.294424477
2021-11-25T02:49:10.609+05:00,27.93010051
2021-11-25T02:49:11.615+05:00,4.33010136
2021-11-25T02:49:12.619+05:00,7.904110044
2021-11-25T02:49:13.120+05:00,5.061564691
2021-11-25T02:49:14.125+05:00,3.137877314
2021-11-25T02:49:14.627+05:00,3.883367985
2021-11-25T02:49:17.137+05:00,29.8799211
2021-11-25T02:49:17.638+05:00,24.52602754
2021-11-25T02:49:18.642+05:00,5.135250883
2021-11-25T02:49:19.645+05:00,3.167686065
2021-11-25T02:49:21.654+05:00,1.592247458
2021-11-25T02:49:22.658+05:00,3.820238989
2021-11-25T02:49:24.165+05:00,5.781931266
2021-11-25T02:49:26.673+05:00,5.485366976
2021-11-25T02:49:27.676+05:00,5.711868338
2021-11-25T02:49:29.185+05:00,2.967130751
2021-11-25T02:49:30.187+05:00,20.82343313
2021-11-25T02:49:31.190+05:00,32.33428107
2021-11-25T02:49:31.691+05:00,26.83659152
2021-11-25T02:49:34.704+05:00,21.32594405
2021-11-25T02:49:35.207+05:00,26.58226457
2021-11-25T02:49:38.218+05:00,5.661994088
2021-11-25T02:49:38.719+05:00,2.001721629
2021-11-25T02:49:39.221+05:00,2.947870945
2021-11-25T02:49:39.724+05:00,4.28759437
2021-11-25T02:49:42.735+05:00,3.53242364
2021-11-25T02:49:43.741+05:00,4.041501267
2021-11-25T02:49:44.244+05:00,13.6954898
2021-11-25T02:49:46.253+05:00,4.987036107
2021-11-25T02:49:46.756+05:00,1.387437005
2021-11-25T02:49:47.257+05:00,1.638296902
2021-11-25T02:49:49.263+05:00,2.609442148
2021-11-25T02:49:49.765+05:00,4.183035209
2021-11-25T02:49:50.771+05:00,4.717544039
2021-11-25T02:49:52.277+05:00,10.65558751
2021-11-25T02:49:52.780+05:00,2.639193745
2021-11-25T02:49:54.788+05:00,7.211868719
2021-11-25T02:49:55.289+05:00,4.32173061
2021-11-25T02:49:56.292+05:00,10.21974945
2021-11-25T02:49:57.295+05:00,4.49617054
2021-11-25T02:49:57.796+05:00,6.242006446
2021-11-25T02:49:58.800+05:00,11.34082597
2021-11-25T02:49:59.301+05:00,8.470798295
2021-11-25T02:50:00.305+05:00,3.777327053
2021-11-25T02:50:00.808+05:00,3.711825537
2021-11-25T02:50:01.311+05:00,3.991571901
2021-11-25T02:50:02.817+05:00,7.047171314
2021-11-25T02:50:03.320+05:00,0.804623419
2021-11-25T02:50:04.327+05:00,2.44616113
2021-11-25T02:50:05.333+05:00,3.994936093
2021-11-25T02:50:05.836+05:00,3.409478649
2021-11-25T02:50:06.838+05:00,5.779682007
2021-11-25T02:50:07.341+05:00,3.221907854
2021-11-25T02:50:07.842+05:00,2.784162083
2021-11-25T02:50:08.346+05:00,6.536091693
2021-11-25T02:50:09.352+05:00,7.397758017
2021-11-25T02:50:09.856+05:00,7.587300833
2021-11-25T02:50:10.360+05:00,7.065853075
2021-11-25T02:50:10.864+05:00,1.068797275
2021-11-25T02:50:11.367+05:00,0.365027744
2021-11-25T02:50:12.374+05:00,7.217714425
2021-11-25T02:50:12.877+05:00,3.410708928
2021-11-25T02:50:13.381+05:00,1.967303255
2021-11-25T02:50:14.384+05:00,3.211554136
2021-11-25T02:50:15.890+05:00,1.840878074
2021-11-25T02:50:16.392+05:00,7.860660155
2021-11-25T02:50:16.894+05:00,4.815611178
2021-11-25T02:50:17.396+05:00,4.98668401
2021-11-25T02:50:18.401+05:00,3.736965115
2021-11-25T02:50:18.903+05:00,3.010612589
2021-11-25T02:50:19.406+05:00,4.372631778
2021-11-25T02:50:19.909+05:00,2.28401129
2021-11-25T02:50:20.412+05:00,2.404788139
2021-11-25T02:50:20.915+05:00,6.979088214
2021-11-25T02:50:22.423+05:00,8.339859394
2021-11-25T02:50:22.925+05:00,2.522234265
2021-11-25T02:50:23.428+05:00,5.735901269
2021-11-25T02:50:23.931+05:00,3.290972603
2021-11-25T02:50:24.434+05:00,3.915997855
2021-11-25T02:50:24.936+05:00,2.592025046
2021-11-25T02:50:25.437+05:00,4.653177142
2021-11-25T02:50:25.941+05:00,2.133489396
2021-11-25T02:50:26.444+05:00,4.776293641
2021-11-25T02:50:26.945+05:00,6.946522952
2021-11-25T02:50:27.448+05:00,5.053159637
2021-11-25T02:50:27.954+05:00,2.185843697
2021-11-25T02:50:28.957+05:00,8.297883782
2021-11-25T02:50:29.961+05:00,4.859768002
2021-11-25T02:50:30.463+05:00,5.302861136
2021-11-25T02:50:30.964+05:00,9.555379737
2021-11-25T02:50:32.468+05:00,12.94458505
2021-11-25T02:50:32.969+05:00,16.77684176
2021-11-25T02:50:34.473+05:00,34.0830451
2021-11-25T02:50:34.974+05:00,16.301723
2021-11-25T02:50:35.476+05:00,17.32443055
2021-11-25T02:50:36.980+05:00,13.32033213
2021-11-25T02:50:37.482+05:00,16.5248303
2021-11-25T02:50:37.984+05:00,9.523875331
2021-11-25T02:50:38.485+05:00,12.00938027
2021-11-25T02:50:38.987+05:00,10.17417217
2021-11-25T02:50:39.490+05:00,6.231318808
2021-11-25T02:50:39.991+05:00,1.614650087
2021-11-25T02:50:40.493+05:00,2.551910171
2021-11-25T02:50:40.994+05:00,9.902581165
2021-11-25T02:50:41.998+05:00,11.83649512
2021-11-25T02:50:42.501+05:00,9.838084216
2021-11-25T02:50:43.003+05:00,3.561633275
2021-11-25T02:50:43.506+05:00,3.170276507
2021-11-25T02:50:44.008+05:00,0.263749003
2021-11-25T02:50:44.510+05:00,1.464348692
2021-11-25T02:50:45.012+05:00,0.208346898
2021-11-25T02:50:45.514+05:00,6.920819207
2021-11-25T02:50:46.015+05:00,0.181480771
2021-11-25T02:50:46.517+05:00,3.045536192
2021-11-25T02:50:47.019+05:00,4.474878582
2021-11-25T02:50:48.526+05:00,0.482803085
2021-11-25T02:50:49.035+05:00,2.607761634
2021-11-25T02:50:49.537+05:00,0.440492833
2021-11-25T02:50:50.038+05:00,0.210507525
2021-11-25T02:50:50.541+05:00,0.051848579
2021-11-25T02:50:51.545+05:00,0.121243158
2021-11-25T02:50:52.047+05:00,1.740479035
2021-11-25T02:50:52.549+05:00,3.285084911
2021-11-25T02:50:53.051+05:00,2.529895702
2021-11-25T02:50:53.553+05:00,3.7804888
2021-11-25T02:50:54.054+05:00,4.540009596
