_id,dispatcher_report_id,metadata.formula,metadata.predict,metadata.ratio,metadata.scope,metadata.socket,power,sender_name,sensor,target,timestamp
61753c356a126a6974348a2e,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.453857421875,null,sensor,rapl,2021-10-24T10:57:13.801Z
61753c366a126a6974348a2f,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.584228515625,null,sensor,rapl,2021-10-24T10:57:14.304Z
61753c386a126a6974348a30,null,RAPL_ENERGY_PKG,0,1,cpu,0,5.8558349609375,null,sensor,rapl,2021-10-24T10:57:14.807Z
61753c396a126a6974348a31,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.3292236328125,null,sensor,rapl,2021-10-24T10:57:15.310Z
61753c3b6a126a6974348a32,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.32177734375,null,sensor,rapl,2021-10-24T10:57:15.812Z
61753c3c6a126a6974348a33,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.714111328125,null,sensor,rapl,2021-10-24T10:57:16.315Z
61753c3e6a126a6974348a34,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.26220703125,null,sensor,rapl,2021-10-24T10:57:16.819Z
61753c3f6a126a6974348a35,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.2802734375,null,sensor,rapl,2021-10-24T10:57:17.322Z
61753c416a126a6974348a36,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.4957275390625,null,sensor,rapl,2021-10-24T10:57:17.825Z
61753c436a126a6974348a37,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.45458984375,null,sensor,rapl,2021-10-24T10:57:18.327Z
61753c446a126a6974348a38,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.91650390625,null,sensor,rapl,2021-10-24T10:57:18.829Z
61753c466a126a6974348a39,null,RAPL_ENERGY_PKG,0,1,cpu,0,4.4202880859375,null,sensor,rapl,2021-10-24T10:57:19.331Z
