timestamp,sensor,target,socket,cpu,CYCLES,time_enabled,time_running
1633966105006,hwpc-sensor,,0,3,63525,231284,231284
1633966105006,hwpc-sensor,,0,0,44357,231006,231006
1633966105006,hwpc-sensor,,0,1,253287,235533,235533
1633966105006,hwpc-sensor,,0,2,104350,231053,231053
1633966106006,hwpc-sensor,,0,3,12027547,967909073,967909073
1633966106006,hwpc-sensor,,0,0,6527225,967924615,967924615
1633966106006,hwpc-sensor,,0,1,11869359,967926941,967926941
1633966106006,hwpc-sensor,,0,2,9520582,967928331,967928331
1633966107007,hwpc-sensor,,0,3,15381018,1968151563,1968151563
1633966107007,hwpc-sensor,,0,0,10459148,1968161477,1968161477
1633966107007,hwpc-sensor,,0,1,7644162,1968164615,1968164615
1633966107007,hwpc-sensor,,0,2,8340833,1968167004,1968167004
1633966108007,hwpc-sensor,,0,3,124248308,2968319134,2968319134
1633966108007,hwpc-sensor,,0,0,178587685,2968312315,2968312315
1633966108007,hwpc-sensor,,0,1,107090060,2968308281,2968308281
1633966108007,hwpc-sensor,,0,2,128264178,2968297366,2968297366
1633966109007,hwpc-sensor,,0,3,314859060,3968532815,3968532815
1633966109007,hwpc-sensor,,0,0,313796181,3968544742,3968544742
1633966109007,hwpc-sensor,,0,1,482060710,3968576854,3968576854
1633966109007,hwpc-sensor,,0,2,305743017,3968577030,3968577030
1633966110007,hwpc-sensor,,0,3,58203073,4968906316,4968906316
1633966110007,hwpc-sensor,,0,0,22253311,4968929578,4968929578
1633966110007,hwpc-sensor,,0,1,53361015,4968932208,4968932208
1633966110007,hwpc-sensor,,0,2,61446456,4968934141,4968934141
1633966111008,hwpc-sensor,,0,3,70885138,5969200502,5969200502
1633966111008,hwpc-sensor,,0,0,102727781,5969213748,5969213748
1633966111008,hwpc-sensor,,0,1,95403915,5969214393,5969214393
1633966111008,hwpc-sensor,,0,2,59064136,5969211708,5969211708
1633966112008,hwpc-sensor,,0,3,35368182,6969386700,6969386700
1633966112008,hwpc-sensor,,0,0,146976784,6969385260,6969385260
1633966112008,hwpc-sensor,,0,1,157308667,6969380608,6969380608
1633966112008,hwpc-sensor,,0,2,171944278,6969368756,6969368756
1633966113008,hwpc-sensor,,0,3,144783981,7969652576,7969652576
1633966113008,hwpc-sensor,,0,0,268535301,7969653317,7969653317
1633966113008,hwpc-sensor,,0,1,387352541,7969648907,7969648907
1633966113008,hwpc-sensor,,0,2,240020459,7969639554,7969639554
1633966114008,hwpc-sensor,,0,3,212250456,8969913147,8969913147
1633966114008,hwpc-sensor,,0,0,299093605,8969918021,8969918021
1633966114008,hwpc-sensor,,0,1,406419795,8969918373,8969918373
1633966114008,hwpc-sensor,,0,2,253340975,8969916664,8969916664
1633966115009,hwpc-sensor,,0,3,41557036,9970121585,9970121585
1633966115009,hwpc-sensor,,0,0,36322959,9970144574,9970144574
1633966115009,hwpc-sensor,,0,1,36666142,9970146002,9970146002
1633966115009,hwpc-sensor,,0,2,22231431,9970151371,9970151371
