requestedUrl,finalUrl,category,name,title,type,score
"https://cna.com.tw/","https://cna.com.tw/","Performance","performance-score","Overall Performance Category Score","numeric","0.48"
"https://cna.com.tw/","https://cna.com.tw/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.61"
"https://cna.com.tw/","https://cna.com.tw/","Performance","speed-index","Speed Index","numeric","0.4"
"https://cna.com.tw/","https://cna.com.tw/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.34"
"https://cna.com.tw/","https://cna.com.tw/","Performance","interactive","Time to Interactive","numeric","0.37"
"https://cna.com.tw/","https://cna.com.tw/","Performance","total-blocking-time","Total Blocking Time","numeric","0.38"
"https://cna.com.tw/","https://cna.com.tw/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.93"
"https://cna.com.tw/","https://cna.com.tw/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.29"
"https://cna.com.tw/","https://cna.com.tw/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.83"
"https://cna.com.tw/","https://cna.com.tw/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","unminified-css","Minify CSS","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.69"
"https://cna.com.tw/","https://cna.com.tw/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","server-response-time","Initial server response time was short","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","uses-long-cache-ttl","Uses efficient cache policy on static assets","numeric","0.96"
"https://cna.com.tw/","https://cna.com.tw/","Performance","dom-size","Avoid an excessive DOM size","numeric","0.38"
"https://cna.com.tw/","https://cna.com.tw/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","bootup-time","JavaScript execution time","numeric","0.92"
"https://cna.com.tw/","https://cna.com.tw/","Performance","mainthread-work-breakdown","Minimize main-thread work","numeric","0.53"
"https://cna.com.tw/","https://cna.com.tw/","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","third-party-summary","Reduce the impact of third-party code","binary","0"
"https://cna.com.tw/","https://cna.com.tw/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","layout-shift-elements","Avoid large layout shifts","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","no-document-write","Avoids `document.write()`","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","non-composited-animations","Avoid non-composited animations","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","unsized-images","Image elements have explicit `width` and `height`","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","network-requests","Network Requests","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","main-thread-tasks","Tasks","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","diagnostics","Diagnostics","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","metrics","Metrics","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Performance","script-treemap-data","Script Treemap Data","informative","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","0.97"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-allowed-attr","`[aria-*]` attributes match their roles","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-command-name","`button`, `link`, and `menuitem` elements have accessible names","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-input-field-name","ARIA input fields have accessible names","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-meter-name","ARIA `meter` elements have accessible names","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-progressbar-name","ARIA `progressbar` elements have accessible names","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-required-attr","`[role]`s have all required `[aria-*]` attributes","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-roles","`[role]` values are valid","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-toggle-field-name","ARIA toggle fields have accessible names","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-tooltip-name","ARIA `tooltip` elements have accessible names","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-treeitem-name","ARIA `treeitem` elements have accessible names","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-valid-attr-value","`[aria-*]` attributes have valid values","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","aria-valid-attr","`[aria-*]` attributes are valid and not misspelled","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","button-name","Buttons have an accessible name","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","bypass","The page contains a heading, skip link, or landmark region","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","color-contrast","Background and foreground colors have a sufficient contrast ratio","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","dlitem","Definition list items are wrapped in `<dl>` elements","notApplicable","-1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","document-title","Document has a `<title>` element","binary","1"
"https://cna.com.tw/","https://cna.com.tw/","Accessibility","duplicate-id-active","`[id]` attributes on active, focusable elements are unique","notApplicable","-1"
